ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN
ANIMAL, HEMODERIVADOS)"
,,2a DE FRANCISCO GARCIA SALINAS # 101,SIERRA DE ÁLICA,98000,ZACATECAS,ZACATECAS,32 056 09 0064,27/10/15,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,RAMÓN LOPEZ VELARDE NO. 304,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0065,06/11/15,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AVENIDA UNIVERSIDAD #112,PROGRESO,98066,ZACATECAS,ZACATECAS,32 056 09 0066,22/02/16,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,BLVD. FRANCISCO GARCÍA SALINAS #102,MEDICO VETERINARIOS,98097,ZACATECAS,ZACATECAS,32 056 09 0067,09/12/19,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALZADA FRANCISCO GARCIA SALINAS #503 INT. 22,TAHONA,98097,ZACATECAS,ZACATECAS,32 056 09 0068,22/08/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALLE GUERRERO #131,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0069,13/03/17,
,,AV. LAS CUMBRES #124,COLINAS DEL PADRE TERCERA SECCION,98085,ZACATECAS,ZACATECAS,32 056 09 0070,13/09/17,
,,AV. SIERRA MADRE #101,COLINAS DEL PADRE SEGUNDA SECCION,98085,ZACATECAS,ZACATECAS,32 056 09 0071,16/02/18,
,,AVENIDA VENTURA SALAZAR #305,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0072,03/12/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AVENIDA GONZÁLEZ ORTEGA #112,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 09 0073,03/12/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,BLVD. ADOLFO LÓPEZ MATEOS #108,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 10 0003,23/06/17,"I, II, III VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,DOMICILIO CONOCIDO,BENITO JUÁREZ,98080,ZACATECAS,ZACATECAS,32 056 10 0004,06/07/99,"II, III, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,DOMICILIO CONOCIDO,EL VISITADOR,98000,ZACATECAS,ZACATECAS,32 056 10 0005,06/07/99,"II, III, VACUNAS, TOXOIDES, SUEROS"
,,AV. TORREÓN Y DOVALI JAIME,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 10 0006,23/05/83,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,BASILIO PÉREZ GALLARDO,GONZÁLEZ ORTEGA,98180,ZACATECAS,ZACATECAS,32 056 10 0007,10/06/99,"II, III, SUEROS, TOXOIDES"
,,AV. MÉXICO T-12-C,FOVISSSTE,98064,ZACATECAS,ZACATECAS,32 056 10 0008,17/09/99,II Y III
,,ANTIGUA CARR. PANAMERICANA #202,LAS PALMAS,98040,ZACATECAS,ZACATECAS,32 056 10 0009,14/12/99,"II, III, SUEROS, ANTITOXINAS, TOXOIDES"
,,AV. CONSTELACIÓN #308,ESTRELLA DE ORO,98087,ZACATECAS,ZACATECAS,32 056 10 0010,18/12/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. UNIVERSIDAD #102,CENTRO,98060,ZACATECAS,ZACATECAS,32 056 10 0011,17/12/04,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. REYES HEROLES S/N.,ISABELICA,98080,ZACATECAS,ZACATECAS,32 056 10 0012,03/12/18,II Y III
,,RINCONADA LA ISABELICA SIN NUMERO,FRACCIONAMIENTO LOMAS DE LA ISABELICA,98099,ZACATECAS,ZACATECAS,32 056 10 0013,02/05/18,II Y III
,,CIRCUITO CIUDAD GOBIERNO #410,CIUDAD GOBIERNO,98000,ZACATECAS,ZACATECAS,32 056 10 0014,28/10/10,"I,II,III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. HEROES DE CHAPULTEPEC S/N,LAS PALMAS,98046,ZACATECAS,ZACATECAS,32 053 10 0015,14/03/12,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CIRCUITO CIUDAD GOBIERNO #410,COLONIA CIUDAD GOBIERNO,98000,ZACATECAS,ZACATECAS,32 056 10 0016,02/05/18,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,ANT. CARRETERA PANAMERICANA No. 202,LAS PALMAS,98080,ZACATECAS,ZACATECAS,32 056 10 0018,07/09/15,"I, II, III, TOXOIDES, VACUNAS, HEMODERIVADOS"
,,VIALIDAD SIERRA MADRE #509,FCTO. COLINAS DEL PADRE 3RA. SECCION,98085,ZACATECAS,ZACATECAS,32 056 10 0019,20/09/17,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALLE ADOLFO LOPEZ MATEOS #1,COMUNIDAD CIENEGUILLAS,98150,ZACATECAS,ZACATECAS,32 056 10 0020,03/07/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. LA ESTACIÓN S/N,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 10 0021,16/07/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CALLE SEGUNDA DE MATAMOROS #100-B,COLONIA LA PINTA,98024,ZACATECAS,ZACATECAS,32 056 10 0022,08/01/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,AV. GUERRERO #145,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 11 0002,24/05/69,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,DONATO GUERRA #215,CENTRO,98000,ZACATECAS,ZACATECAS,32 056 11 0006,09/09/04,"VACUNAS, TOXOIDES, HEMODERIVADOS"
,,LÓPEZ MATEOS # 6,CENTRO,98640,TRANCOSO,ZACATECAS,32 057 09 0001,01/08/97,"II, III, TOXOIDES"
,,CALLE GENERAL BARRAGÁN #11 INTERIOR A,LA SIERRA,98640,TRANCOSO,ZACATECAS,32 057 09 0002,03/06/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,HIDALGO # 1,CENTRO,98640,TRANCOSO,ZACATECAS,32 057 10 0001,05/07/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,ADOLFO LÓPEZ MATEOS #15,CENTRO,98640,TRANCOSO,ZACATECAS,32 057 10 0002,10/01/00,II Y III
,,CAMINO REAL #26,CENTRO,98640,TRANCOSO,ZACATECAS,32 057 10 0003,04/04/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
,,CAMINO REAL #26,CENTRO,98640,TRANCOSO,ZACATECAS,32 057 10 0004,08/01/19,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
FARMACIA DEL PUEBLO,FARMACIA,AGUSTÍN DE ITURBIDE #1,CENTRO,98680,CD. CUAUHTÉMOC,ZACATECAS,32 008 09 0002,09/08/99,II y III
SÚPER FARMACIAS SANTA MARIA,FARMACIA,CALLE VICENTE GUERRERO #23,CENTRO,98680,CD. CUAUHTÉMOC,ZACATECAS,32 008 09 0003,06/05/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
BOTICA UNIDAD MEDICO FAMILIAR #38 CD. CUAUHTEMOC,BOTICA,DOMICILIO CONOCIDO,CENTRO,98680,CD. CUAUHTÉMOC,ZACATECAS,32 008 10 0001,19/07/99,II y III
BOTICA UNIDAD MÉDICO FAMILIAR,BOTICA,FRANCISCO VILLA NO. 22,LAZARO CÁRDENAS,98680,CD. CUAUHTÉMOC,ZACATECAS,32 008 10 0003,13/04/00,II y III
BOTICA CENTRO DE SALUD No. 1 CD. CUAUHTEMOC,BOTICA,AUTOPISTA COSIO-GUADALUPE KM. 50,POTRERILLOS,98680,CD. CUAUHTÉMOC,ZACATECAS,32 008 10 0004,15/01/13,"II, III, VACUNAS , TOXOIDES, SUEROS, HEMODERIVADOS"
FARMACIA FÁTIMA,FARMACIA,CONSTITUYENTES #25,CENTRO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 09 0001,19/07/99,"II y III, TOXOIDES,  SUEROS"
FARMACIA EL ÁNGEL,FARMACIA,HIDALGO #10,CENTRO/EL SALADILLO,98750,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 09 0002,06/08/99,"II y III, TOXOIDES, VACUNAS, SUEROS"
FARMACIA SANTA ANA,FARMACIA,HIDALGO #8,CENTRO/SAN JOSÉ EL SALADILLO,98750,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 09 0005,29/04/09,II y III
FARMACIA SAN MIGUEL,FARMACIA,AV. JUVENTUD #57,BARRIO ALTO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 09 0006,10/08/17,"I, II y III"
SÚPER FARMACIAS SANTA MARIA,FARMACIA,CALLE GONZÁLEZ ORTEGA #7,CENTRO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 09 0007,11/07/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS, ANTITOXINAS"
BOTICA U.M.R. GUANAJUATILLO,BOTICA,DOMICILIO CONOCIDO,CENTRO/GUANAJUATILLO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0001,19/07/99,II y III
BOTICA U.M.R. EL SAUCITO,BOTICA,CONOCIDO,CENTRO/EL SAUCITO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0002,19/07/99,II y III
"BOTICA UNIDAD MEDICO FAMILIAR #24, GRAL. PANFILO NATERA",BOTICA,CONOCIDO,CENTRO/GRAL. PÁNFILO NATERA,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0003,19/07/99,Ii y III
"BOTICA CENTRO DE SALUD No.1, SANTA ELENA",BOTICA,CARRETERA PINOS S/N,CENTRO/SANTA ELENA,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0004,02/02/00,"II y III, TOXOIDES, VACUNAS"
BOTICA CENTRO DE SALUD No.  1,BOTICA,HIDALGO S/N,CENTRO/EL SALADILLO,98750,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0005,02/02/00,"II y III, TOXOIDES, VACUNAS, SUEROS, ANTITOXINAS"
"BOTICA CENTRO DE SALUD No. 1, LA TESORERA",BOTICA,CONOCIDO,CENTRO/LA TESORERA,98740,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0006,02/02/00,"II y III, TOXOIDES, VACUNAS, SUEROS, ANTITOXINAS"
"BOTICA CENTRO DE SALUD No. 1, EL TULE",BOTICA,CONOCIDO,CENTRO/EL TULE,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0007,02/02/00,"II y III, TOXOIDES,  VACUNAS"
BOTICA CENTRO DE SALUD No. 1,BOTICA,AV. HIDALGO #7,CENTRO/GRAL. PÁNFILO NATERA,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0008,02/02/00,"II y III, TOXOIDES,  VACUNAS"
BOTICA CENTRO DE SALUD No. 1,BOTICA,CONOCIDO,CENTRO/SAN PABLO,98730,GRAL. PÁNFILO NATERA,ZACATECAS,32 016 10 0009,02/02/00,"II y III, TOXOIDES,  VACUNAS"
FARMACIA GUADALAJARA,FARMACIA,GUADALUPE VICTORIA  #22,CENTRO,98800,LORETO,ZACATECAS,32 024 09 0002,19/07/99,"II y III VACUNAS, TOXIODES,  SUEROS"
FARMACIA OLIMPIA,FARMACIA,H. COLEGIO MILITAR #15,CENTRO,98800,LORETO,ZACATECAS,32 024 09 0004,19/07/99,"II, III, TOXOIDES"
FARMACIA OLIMPIA,FARMACIA,CALLE 20 DE NOVIEMBRE #303-B,CENTRO,98800,LORETO,ZACATECAS,32 024 09 0007,06/08/99,"II, III, TOXOIDES"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,JUÁREZ #203,CENTRO,98800,LORETO,ZACATECAS,32 024 09 0008,19/07/99,"II, III, VACUNAS,TOXOIDES,SUEROS,ANTITOXINAS, HEMODERIVADOS"
FARMACIA DEL AHORRO,FARMACIA,FRANCISCO VILLA #202-203,CENTRO,98800,LORETO,ZACATECAS,32 024 09 0010,29/01/18,"II, III, VACUNAS,TOXOIDES,SUEROS,ANTITOXINAS, HEMODERIVADOS"
SUPER FARMACIAS SANTA MARÍA,FARMACIA,INDEPENDENCIA #314,CENTRO,98830,LORETO,ZACATECAS,32 024 09 0011,15/04/19,"II, III, VACUNAS,TOXOIDES,SUEROS,ANTITOXINAS, HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA LORETO,FARMACIA,MIGUEL AUZA #201,ACEVEDO,98832,LORETO,ZACATECAS,32 024 09 0012,15/04/19,"II, III, VACUNAS,TOXOIDES,SUEROS,ANTITOXINAS, HEMODERIVADOS"
DR. EDGAR MANUEL MACÍAS PÉREZ,FARMACIA,JUVENTINO ROSAS #228-A,CENTRO/TIERRA BLANCA,98815,LORETO,ZACATECAS,32 024 09 0013,15/04/19,II Y III
BOTICA CENTRO DE SALUD No.1 LORETO,BOTICA,INDEPENDENCIA #303,CENTRO,98800,LORETO,ZACATECAS,32 024 10 0002,02/02/00,"I,II,III,VACUNAS,TOXOIDES,SUEROS, HEMODERIVADOS"
BOTICA U.M.R. LA CONCEPCION,BOTICA,DOMICILIO CONOCIDO,CENTRO/LA CONCEPCIÓN,98800,LORETO,ZACATECAS,32 024 10 0003,14/09/99,"II, III"
BOTICA U.M.F. #28,BOTICA,IGNACIO ZARAGOZA,CENTRO,98800,LORETO,ZACATECAS,32 024 10 0004,03/12/99,"II,  III"
BOTICA U.M.F.,BOTICA,JOSÉ MARÍA CURELLA #402,SAN MARCOS/LORETO,98800,LORETO,ZACATECAS,32 024 10 0005,19/01/00,"II, III"
"BOTICA DEL CENTRO DE SALUD #1, SAN BLAS",BOTICA,DOMICILIO CONOCIDO,CENTRO/SAN BLAS,98809,LORETO,ZACATECAS,32 024 10 0006,19/07/04,"II,  III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS"
BOTICA DEL HOSPITAL GENERAL LORETO,BOTICA,SALIDA A AGUASCALIENTES KM. 1.5,/LORETO,98938,LORETO,ZACATECAS,32 024 10 0007,19/03/09,"I, II,  III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
BOTICA DIMESA LORETO,BOTICA,CARRETERA SALIDA A CRISOSTOMO KM 1.5,/LORETO,98800,LORETO,ZACATECAS,32 024 10 0008,10/08/17,"I, II,  III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
BOTICA CENTRO DE SALUD SAN MARCOS,BOTICA,CONOCIDO,SAN MARCOS/LORETO,98800,LORETO,ZACATECAS,32 024 10 0009,05/02/15,"II, III"
BOTICA U.M.R. TIERRA BLANCA,BOTICA,CONOCIDO,CENTRO/TIERRA BLANCA,98808,LORETO,ZACATECAS,32 024 10 0010,16/11/16,"II, III"
FARMACIA SAN JOSÉ,FARMACIA,CASTORENA #61,CENTRO,98770,LUIS MOYA,ZACATECAS,32 025 09 0003,19/07/99,"II, III, TOXOIDES, SUEROS"
SUPER FARMACIAS SANTA MARÍA,FARMACIA,CALLE JUAREZ #92-C,CENTRO,98770,LUIS MOYA,ZACATECAS,32 025 09 0006,16/10/18,"II, III"
BOTICA U.M.F. #29,BOTICA,EMILIANO ZAPATA S/N,LAS FLORES,,LUIS MOYA,ZACATECAS,32 025 10 0001,05/07/00,"II, III"
BOTICA U.M.F.,BOTICA,NICOLÁS BRAVO S/N,CENTRO,98772,LUIS MOYA,ZACATECAS,32 025 10 0002,14/09/99,"II, III"
BOTICA C.S.  #1,BOTICA,JARDÍN ZARAGOZA #1,CENTRO,98770,LUIS MOYA,ZACATECAS,32 025 10 0003,02/02/00,"II, III, VACUNAS, TOXOIDES"
BOTICA U.M.R. LOS GRIEGOS,BOTICA,CONOCIDO,CENTRO/LOS GRIEGOS,98772,LUIS MOYA,ZACATECAS,32 025 10 0004,09/08/99,"II, III"
FARMACIA PATY,FARMACIA,DOMICILIO CONOCIDO,CENTRO/MARAVILLAS,98880,NORIA DE ÁNGELES,ZACATECAS,32 035 09 0001,19/07/99,"II, III"
BOTICA U.M.F.,BOTICA,NIÑOS HÉROES S/N,CENTRO,98880,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0001,14/09/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS,  HEMODERIVADOS"
BOTICA U.M.R. LA HONDA,BOTICA,DOMICILIO CONOCIDO,CENTRO/LA HONDA,98880,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0002,14/09/99,"II, III"
BOTICA CENTRO DE SALUD No. 1,BOTICA,DOMICILIO CONOCIDO,CENTRO/IGNACIO ZARAGOZA,98880,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0003,22/02/00,"II,  III,  VACUNAS, TOXOIDES"
BOTICA CENTRO DE SALUD No. 1,BOTICA,ALAMEDA S/N,CENTRO,98880,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0004,02/02/00,"II, III, VACUNAS, TOXOIDES"
BOTICA CENTRO DE SALUD No. 1,BOTICA,INDEPENDENCIA #115,CENTRO/MARAVILLAS,98800,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0005,02/02/00,"II, III,  VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS"
BOTICA CENTRO DE SALUD RANCHO NUEVO DE MORELOS,BOTICA,CALLE JUAREZ #1-A,CENTRO/RANCHO NUEVO DE MORELOS,98890,NORIA DE ÁNGELES,ZACATECAS,32 035 10 0007,08/08/18,"I, II, VACUNAS Y TOXOIDES."
FARMACIA LA LUZ,FARMACIA,INDEPENDECIA #82,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0001,06/08/99,"II, III"
FARMACIA OJOCALIENTE,FARMACIA,PLAZA PRINCIPAL #29,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0002,19/07/99,"II, III, TOXOIDES, SUEROS"
FARMACIA GUADALUPE,FARMACIA,CERVANTES CORONA #28 PTE.,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0003,06/08/99,"II, III, TOXOIDES"
FARMACIA MEDICAL CENTER,FARMACIA,CARR. PANAMERICANA S/N SALIDA NORTE,CASA BLANCA,98700,OJOCALIENTE,ZACATECAS,32 036 09 0005,19/07/99,"I, II, III, VACUNAS, TOXOIDES, SUEROS, HEMODERIVADOS, ANTITOXINAS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,ZARAGOZA #53,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0006,09/08/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
FARMACIA LA ESPERANZA,FARMACIA,HÉROES DE NACOZARI #17,CENTRO/CERRITO DEL AGUA,98700,OJOCALIENTE,ZACATECAS,32 036 09 0008,06/09/00,"II, III"
FARMACIA SANCHEZ SUCURSAL OJOCALIENTE,FARMACIA,PORFIRIO DÍAZ #26-B,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0010,17/11/03,"II, III"
FARMACIA MI BODEGA AURRERA OJOCALIENTE,FARMACIA,AV. CERVANTES CORONA #41,CENTRO,98710,OJOCALIENTE,ZACATECAS,32 036 09 0011,20/01/16,"II,  III,  VACUNAS,  TOXOIDES,  SUEROS,  ANTITOXINAS,  HEMODERIVADOS"
SUPER FARMACIAS SANTA MARÍA,FARMACIA,AVENIDA CERVANTES CORONA #38-A,CENTRO,98710,OJOCALIENTE,ZACATECAS,32 036 09 0012,22/10/18,II Y III
FARMACIA REGINA,FARMACIA,CERVANTES CORONA #19,CENTRO,98710,OJOCALIENTE,ZACATECAS,32 036 09 0014,29/02/12,II Y III
FARMACIA EXPRESS OJOCALIENTE,FARMACIA,CERVANTES CORONA # 44,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 09 0015,10/08/17,"II Y III, VACUNAS, TOXOIDES,  ANTITOXINAS,  HEMODERIVADOS"
FARMACIA NUESTRA SEÑORA DEL ROSARIO,FARMACIA,INDEPENDENCIA #48-B,CENTRO,98710,OJOCALIENTE,ZACATECAS,32 036 09 0016,09/08/17,II Y III
FARMACIA FÁTIMA,FARMACIA,"CALLE LERDO DE TEJADA #24, INTERIOR B",CENTRO,98710,OJOCALIENTE,ZACATECAS,32 036 09 0017,27/02/20,II Y III
BOTICA U.M.R. PALMILLAS,BOTICA,DOMICILIO CONOCIDO,CENTRO/PALMILLAS,98690,OJOCALIENTE,ZACATECAS,32 036 10 0001,09/08/99,"II, III"
BOTICA U.M.R. LA CONCEPCION,BOTICA,DOMICILIO CONOCIDO,CENTRO/LA CONCEPCIÓN,98700,OJOCALIENTE,ZACATECAS,32 036 10 0002,09/08/99,"II, III"
BOTICA U.M.R. SANTO TOMAS,BOTICA,DOMICILIO CONOCIDO,CENTRO/SANTO TOMÁS,98700,OJOCALIENTE,ZACATECAS,32 036 10 0003,14/09/99,"II, III"
BOTICA U.F.M.,BOTICA,CASTORENA S/N,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 10 0004,09/08/99,"II, III"
BOTICA U.M.F. DEL ISSSTE,BOTICA,BLVD.PRUDENCIANO GARCÍA #77,PÁMANES ESCOBEDO,98700,OJOCALIENTE,ZACATECAS,32 036 10 0005,03/12/99,"II, III"
BOTICA CENTRO DE SALUD No. 1,BOTICA,DOMICILIO CONOCIDO,CENTRO/PASTORÍA,98700,OJOCALIENTE,ZACATECAS,32 036 10 0006,02/02/00,"II, III, VACUNAS, TOXOIDES"
BOTICA HOSPITAL INTEG. OJOCALIENTE,BOTICA,CARRETERA A SAN CRISTOBAL S/N,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 10 0007,02/02/00,"I,  II,  III, VACUNAS, TOXOIDES,  SUEROS"
BOTICA DIF,BOTICA,CASTORENA S/N,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 10 0009,03/03/06,"II, III"
"BOTICA DE LA UNEME EC OJOCALIENTE, ZAC",BOTICA,CARR. A SAN CRISTOBAL S/N,SAN CRISTOBAL,98770,OJOCALIENTE,ZACATECAS,32 036 10 0010,09/05/11,"II, III"
BOTICA DIMESA OJOCALIENTE,BOTICA,CARRETERA SAN CRISTOBAL KILOMETRO 1,CENTRO,98700,OJOCALIENTE,ZACATECAS,32 036 10 0011,10/08/17,"I, II, III, VACUNAS, TOXOIDES,  SUEROS,  ANTITOXINAS, HEMODERIVADOS"
"BOTICA CENTRO DE SALUD No. 1, LA CAPILLA",BOTICA,GARCIA SALINAS #2,CENTRO,98705,OJOCALIENTE,ZACATECAS,32 036 10 0012,11/02/13,"II, III, VACUNAS, TOXOIDES, SUEROS, HEMODERIVADOS"
FARMACIA NUEVA,FARMACIA,GONZÁLEZ ORTEGA #43-B,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0001,01/03/01,"II, III"
FARMACIA DE DIOS,FARMACIA,J. ENCARNACIÓN ORTIZ #7,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0002,19/07/99,"II, III, TOXOIDE, SUEROS, HEMODERIVADOS"
FARMACIA ZACATECAS,FARMACIA,URAGA #4,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0003,06/08/99,"II, III, TOXOIDES"
FARMACIA GUADALUPANA,FARMACIA,URAGA #1-A,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0004,19/07/99,"II,III, VACUNAS,TOXOIDES"
FARMACIA LA PURISIMA,FARMACIA,GONZÁLEZ ORTEGA #91,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0005,19/07/99,"II, III, TOXOIDES"
FARMACIA SAN MATÍAS,FARMACIA,GONZÁLEZ ORTEGA #68,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0006,19/07/99,"II, III, TOXOIDES"
FARMACIA SAN JUDAS TADEO,FARMACIA,JESÚS GONZÁLEZ ORTEGA No. 77,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0007,13/04/00,"II, III"
FARMACIA LA VICTORIA,FARMACIA,GUADALUPE VICTORIA No. 4-B,CENTRO/ LA VICTORIA,98920,PINOS,ZACATECAS,32 038 09 0008,13/04/00,"II, III"
FARMACIA SAN JOSÉ,FARMACIA,FRANCISCO VILLA #2-B,CENTRO/JOSÉ MA. PINO SUÁREZ,98960,PINOS,ZACATECAS,32 038 09 0009,01/03/01,"II, III"
FARMACIA NELY,FARMACIA,ZARAGOZA #26,LOC. SAN MARTIN,98969,PINOS,ZACATECAS,32 038 09 0010,14/08/17,II Y III
SUPER FARMACIAS SANTA MARÍA,FARMACIA,CALLE PLAZA PRINCIPAL #6,CENTRO,98920,PINOS,ZACATECAS,32 038 09 0011,15/10/18,"II, III, TOXOIDES, VACUNAS, SUEROS, HEMODERIVADOS Y ANTITOXINAS"
FARMACIA MARIN,FARMACIA,CALLE 20 DE NOVIEMBRE #6,LOCALIDAD EL OBRAJE,98951,PINOS,ZACATECAS,32 038 09 0012,20/01/20,"II, III, TOXOIDES, VACUNAS, SUEROS, HEMODERIVADOS Y ANTITOXINAS"
BOTICA U.M.F. 320118,BOTICA,TLAXCALA Y CALLEJÓN DE LA CRUZ,CENTRO,98920,PINOS,ZACATECAS,32 038 10 0001,09/08/99,"II, III"
BOTICA PAC ESI #4,BOTICA,DOMICILIO CONOCIDO,CENTRO/OJO DE AGUA DE LA PALMA,98979,PINOS,ZACATECAS,32 038 10 0002,30/08/02,"II, III, VACUNAS"
BOTICA U.M.R. ESPIRITU SANTO,BOTICA,DOMICILIO CONOCIDO,CENTRO/ESPÍRITU SANTO,98920,PINOS,ZACATECAS,32 038 10 0003,14/09/99,"II, III"
BOTICA U.M.R. JAULAS DE ABAJO,BOTICA,DOMICILIO CONOCIDO,CENTRO/JAULAS DE ABAJO,98920,PINOS,ZACATECAS,32 038 10 0004,14/09/99,"II, III"
BOTICA U.M.R. EL NIGROMANTE,BOTICA,DOMICILIO CONOCIDO,CENTRO/EL NIGROMANTE,98920,PINOS,ZACATECAS,32 038 10 0006,14/09/99,"II, III"
BOTICA U.M.R. EL OBRAJE,BOTICA,DOMICILIO CONOCIDO,CENTRO/OBRAJE,98920,PINOS,ZACATECAS,32 038 10 0007,14/09/99,"II, III"
BOTICA U.M.R. LA PENDENCIA,BOTICA,DOMICILIO CONOCIDO,CENTRO/LA PENDENCIA,98920,PINOS,ZACATECAS,32 038 10 0008,14/09/99,"II, III"
