PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
FARMACON SA DE CV,"FARMACIA YZA JUAN PABLO 
II",FARMACIA,C 65-A No 999 X 120,XOCLAN,97246,MERIDA,YUCATAN,FA0500634,06-abr-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA FRANCISCO 
DE MONTEJO II",FARMACIA,"C 51 No 265 Y 267 DEPTO. 3 
X 46 Y 48","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0500639,06-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL,  HEMODERIVADOS,"
FARMACON SA DE CV,FARMACIA YZA IZAMAL,FARMACIA,C 28 No 300-C X 31,CENTRO,97540,IZAMAL,YUCATAN,FA0400641,06-abr-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA LAS 
AMERICAS",FARMACIA,"C 21 No 327 LOCAL 8 
CENTRO COMERCIAL 
PLAZA LAS AMERICAS",MIGUEL HIDALGO,97229,MERIDA,YUCATAN,FA0500645,20-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA PINOS II,FARMACIA,"C 40 No 441 Y 443  LOCAL 9 
X 23","RESIDENCIAL LOS 
PINOS",97138,MERIDA,YUCATAN,FA0500652,20-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA SAN TELMO,FARMACIA,C 87 No 351 DEPTO. 1 X 114,"VICENTE 
GUERRERO",97320,PROGRESO,YUCATAN,FA0590660,20-mar-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA TICUL,FARMACIA,"C 23 No 217-D FRACCION 1 
X 28",CENTRO,97860,TICUL,YUCATAN,FA0890661,04-may-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA HUNUCMA,FARMACIA,C 29 No 191 X 28,CENTRO,97350,HUNUCMA,YUCATAN,FA0380664,11-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS."
FARMACON SA DE CV,FARMACIA YZA TIZIMIN II,FARMACIA,C 51 No 396 DEPTO. A X 48,CENTRO,97700,TIZIMIN,YUCATAN,FA0960666,05-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
CV","FARMACIAS BAZAR 
SUCURSAL ALEMAN",FARMACIA,C 29-A No 168 LOC. 1 X 20,ALEMAN,97148,MERIDA,YUCATAN,FA0500668,16-ene-07,"GRUPO I, II, III."
FARMACON SA DE CV,FARMACIA YZA TEKAX I,FARMACIA,"CALLE 51 No 195-B X 48 Y 
50",CENTRO,97970,TEKAX,YUCATAN,FA0791547,06-jun-11,"GRUPO  II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR, SA 
CV.","DEL BAZAR SUC. 
VALLADOLID",FARMACIA,CALLE 39 # 202-G X 46 Y 48,CENTRO,97780,VALLADOLID,YUCATAN,FA1020697,16-ene-07,"GRUPO I, II, III, VACUNAS, SUEROS, ANTTOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS, TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL PENSIONES",FARMACIA,"CALLE 5 No 591 X 21 
DIAGONAL","RESIDENCIAL 
PENSIONES",97217,MERIDA,YUCATAN,FA0500700,07-sep-06,"GRUPO II, III, VACUNAS, TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA 5 COLONIAS,FARMACIA,"C 50 No 925 DEPTO 1 X 137 
Y 139",CINCO COLONIAS,97280,MERIDA,YUCATAN,FA0500703/11,04-may-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL CHUBURNA",FARMACIA,CALLE 20 No 91-E X 13 Y 15,"CHUBURNA DE 
HIDALGO",97205,MERIDA,YUCATAN,FA0500706,10-jul-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAKL, HEMODERIVADOS Y 
TOXOIDES"
"INSTUTO MEXICANO DEL 
SEGURO SOCIAL",U.M.F. # 54,FARMACIA,CALLE 24 S/N X 13,GUADALUPE,97860,TICUL,YUCATAN,FA0890715,04-ago-03,"GRUPO II, III, VACUNAS Y TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV",FARMACIA,"AVENIDA C 18 No 100-C 
LOC. 1 Y 2 X 5 Y 18",MONTECRISTO,97133,MERIDA,YUCATAN,FA0500721,09-jul-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","UNIDAD MEDICA FAMILIAR # 
14""",FARMACIA,CALLE 19 S/N,"CARRETERA 
ACANCEH",97115,KANASIN,YUCATAN,FA0410722,17-MAYO-207,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS, 
TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","FARMACIA ""U.M.F. # 50 
CONKAL""",FARMACIA,CALLE 29 # 205 ESQUINA,CENTRO,97115,CONKAL,YUCATAN,FA0130730,11-oct-06,"GRUPO II, III, VACUNAS Y TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA VALLADOLID 
PALACIO",FARMACIA,C 41 No 201 X 40,CENTRO,97780,VALLADOLID,YUCATAN,FA1020735,13-mar-06,"GRUPO I, II,III,VACUNAS,SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS TOXOIDES"
"TIENDAS CHEDRAUI, S.A. DE 
C.V.","FARMACIA TIENDAS 
CHEDRAUI",FARMACIA,CALLE 57 # 746-A X 4 Y 16,PACABTUN,97160,MERIDA,YUCATAN,FA0500853,26-sep-07,"GRUPO II, III Y TOXOIDES"
"SERVICIOS DE SALUD DE 
YUCATAN",HOSPITAL SAN CARLOS,BOTICA,CALLE 46 # 461 X 65 Y 67,LAZARO CARDENAS,97700,TIZIMIN,YUCATAN,BO0961560,11-ago-11,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","FARMACIA DEL INSTITUTO 
MEXICANO DEL SEGURO 
SOCIAL U.M.F. No 58",FARMACIA,"CALLE 42 SUR No 994 X 127 
Y 127-B",SERAPIO RENDON,97115,MERIDA,YUCATAN,FA0500749,11-ene-10,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CUMBRES,FARMACIA,"C 18 No 299 LOC. 5 X 11 Y 
13","RESIDENCIAL 
CAMARA DE 
COMERCIO NTE.",97133,MERIDA,YUCATAN,FA0500750,06-abr-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"CADENA COMERCIAL NOVA 
S. DE R.L. DE C.V.",NOVA FARMACIAS,FARMACIA,CALLE 79 # 135-D LOC. 1,CENTRO,97320,PROGRESO,YUCATAN,FA0590756,06-abr-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S. DE R.L. C.V.","BODEGA AURRERA 
QUETZALCOATL",FARMACIA,CALLE 65 No102 X 8-A Y 8-B,MISNE II,97176,MERIDA,YUCATAN,FA0500759,01-abr-06,"GRUPO II, III,VACUNAS, TOXOIDES,SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
CV","FARMACIA DEL BAZAR 
PENSIONES DORADA",FARMACIA,C 7 No 350 X 52 Y 54,"RESIDENCIAL 
PENSIONES",97217,MERIDA,YUCATAN,FA0500762,30-may-06,"GRUPO, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",FARMACIA U.M.F. No 59,FARMACIA,"CALLE 55 # 726 X 16 
ESQUINA","FRACC DEL 
PARQUE",97160,MERIDA,YUCATAN,FA0500769,07-ago-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA TIZIMIN 8 
CALLES",FARMACIA,C 48-B No 377 X 39,8 CALLES,97700,TIZIMIN,YUCATAN,FA0960773,"11/04/2006,","GRUPO I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA  DE CV,FARMACIA YZA MUNA,FARMACIA,C 25 No 185-B X 22 Y 24,CENTRO,97840,MUNA,YUCATAN,FA0530776,05-abr-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, , HEMODERIVADOS"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DECV","FARMACIA DEL BAZAR 
MONTEJO II",FARMACIA,"CALLE 50 # 313 LOCAL 5 X 
51 Y 53-B","FRANCISCO DE 
MONTEJO",97203,MERIDA,YUCATAN,FA0500780,16-ene-06,"GRUPOS I,II,III,VACUNAS, TOXOIDES, VACUNAS Y 
HEMODERIVADOS"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 60 No 275 Y 279-B X 
CIRCUITO COLONIAS","LAS AGUILAS DE 
CHUBURNA",97200,MERIDA,YUCATAN,FA0500783,14-jun-06,GRUPO II Y III
FARMACON SA DE CV,FARMACIA YZA HALACHO,FARMACIA,C 20 No 80,CENTRO,97830,HALACHO,YUCATAN,FA0330784,06-abr-06,"GRUPOS II,III,VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"TIENDAS CHEDRAUI SA DE 
CV",TIENDAS CHEDRAUI,FARMACIA,CALLE 21 # 329 -A X 50 Y 52,MIGUEL HIDALGO,97229,MERIDA,YUCATAN,FA0500785,08-sep-06,"GRUPO I, II, III, VACUNAS, TOXOIDES Y MEDICAMENTOS DE 
PSEUDOEFEDRINA"
FARMACON SA DE CV,FARMACIA YZA TECOH,FARMACIA,"C 28 No  102 INTERIOR 2 X 
29",SANTA JULIA,97820,TECOH,YUCATAN,FA0760786,04-abr-06,"GRUP II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL CIRCUITO",FARMACIA,"C 9 No 230-B X CIRCUITO 
COLONIAS",GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500788,04-ago-06,"GRUPO I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA CRUZ ROJA 
ORIENTE",FARMACIA,C 27 No 127-A X 24 Y 26,CHICHEN ITZA,97170,MERIDA,YUCATAN,FA0500791,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL Y HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA UMAN II,FARMACIA,C 18 No 96 X 19-A,CENTRO,97390,UMAN,YUCATAN,FA1010793,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA ACANCEH,FARMACIA,C 20 No 100 X 23 Y 25,CENTRO,97380,ACANCEH,YUCATAN,FA0020795,05-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL,  HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA TIZIMIN I,FARMACIA,C 51 No  403-A X 50 Y 52,CENTRO,97700,TIZIMIN,YUCATAN,FA0960798,17-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
"SERVICIOS DE SALUD 
YUCATAN","FARMACIA DEL HOSPITAL  
MATERNO INFANTIL",FARMACIA,CALLE 50 S/N X 65 Y 67,CENTRO,97000,MERIDA,YUCATAN,FA0500896,13-ago-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL ITZAES",FARMACIA,C 86 No 466-A X 47 Y 90-A,CENTRO,97000,MERIDA,YUCATAN,FA0500803,29-mar-07,"GRUPO II, III, VACUNAS., PSEUDOEFEDRINA, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACIA TELEFONICA 
PENINSULAR SA DE CV","FARMACIA TELEFONICA 
PENINSULAR SA DE CV",FARMACIA,"C 7 No 532 LOCAL 1  X 22 Y 
24",MAYA,97134,MERIDA,YUCATAN,FA0500804,06-mar-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"CENTRO DE 
ESPECIALIDADES MEDICAS 
DEL SURESTE S.A. DE CV.","CENTRO DE ESP. MEDICAS 
DEL SURESTE SA. DE C.V.",BOTICA,"CALLE 60 # 329-B X 35 Y AV. 
COLON",CENTRO,97115,MERIDA,YUCATAN,FA0500808,29-mar-06,"GRUPO I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
FARMACON SA DE CV,"FARMACIA YZA CIUDAD 
INDUSTRIAL",FARMACIA,CALLE 33 No 448 X 26-A,CIUDAD INDUSTRIAL,97288,MERIDA,YUCATAN,FA0500809,05-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL,  HEMODERIVADOS"
"TIENDAS SORIANA SA DE 
CV.",FARMACIA SORIANA,FARMACIA,"C 6 No 400-B X AVENIDA 
JOSE DIAZ BOLIO Y CALLE 
13",DIAZ ORDAZ,97130,MERIDA,YUCATAN,FA0500821,01-mar-08,GRUPO II Y III
STAR MEDICA S.A DE C.V.,STAR MEDICA,FARMACIA,CALLE 26 # 199 X 15 Y 7,ALTABRISA,97133,MERIDA,YUCATAN,FA0500805,31-may-06,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIA BAZAR SUC 
ALTABRISA",FARMACIA,C 7 No 600 X 28 Y 30,MAYA,97134,MERIDA,YUCATAN,FA0500806,24-nov-06,"GRUPO  II Y III,"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,CALLE 56 No 514 X 63 Y 65,CENTRO,97000,MERIDA,YUCATAN,FA0500816,01-mar-08,GRUPO II Y III
"MENDOZA OSORIO BEATRIZ 
DEL SOCORRO",FARMATODO,FARMACIA,C 39 No 209 X 42 Y 44,CENTRO,97780,VALLADOLID,YUCATAN,FA1020869,31-ago-07,"GRUPO I, II, III"
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,C 50 No 143 -B X 15 Y 21,"FRACCIONAMIENTO
HIDALGO",97220,MERIDA,YUCATAN,FA0500818,01-mar-06,GRUPO  II Y  III
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 65 No 197-A INT A X 63-C 
Y AVENIDA QUETZALCOATL","CORTES 
SARMIENTO",97167,MERIDA,YUCATAN,FA0500819,01-mar-08,GRUPO II Y III
TIENDAS SORIANA SA DE CV,FARMACIA SORIANA,FARMACIA,"C 60 No 306 X CIRCUITO 
COLONIAS Y C 13",BUENAVISTA,97127,MERIDA,YUCATAN,FA0500820,01-mar-08,"GRUPO  II, III"
"DESARROLLO COMERCIAL 
ALCOCER SA DE CV",EL OASIS SANTIAGO,FARMACIA,CALLE 59 # 565 X 72 Y 74,CENTRO,97000,MERIDA,YUCATAN,FA0500824,09-mar-07,"GRUPO I,II, III, VACUNAS Y PSEUDOEFEDRINA"
FARMACON SA DE CV,FARMACIA YZA PETO,FARMACIA,C 31 No 201 X 30 Y 32,CENTRO,97930,PETO,YUCATAN,FA0580829,13-nov-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS."
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL","FARMACIA UMAE 
ESPECIALIDADES IGNACIO 
GARCIA TELLEZ",FARMACIA,C 41 No 439  X 34,INDUSTRIAL,97150,MERIDA,YUCATAN,FA0500833,11-abr-07,"GRUPO I, II, III, HEMODERIVADOS"
"SOCIEDAD MEDICA GARCIA 
GINERES, S.A.","CENTRO MEDICO 
PENSIONES",FARMACIA,"CALLE 7 # 215-A INTERIOR 
12 X 32 Y 34",GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500834,23-abr-07,"GRUPO I, II, III,VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
IS.S.S.T.E.,FARMACIA UMF. TICUL,FARMACIA,CALLE 24 S/N,"ANTERIOR 
CARRETERA 
SACALUM",97860,TICUL,YUCATAN,FA0890846,10-ene-08,"GRUPO II, III, VACUNAS"
"SUPER SAN FRANCISCO DE 
ASIS, S.A.",FAMA SUC. VISTA ALEGRE,FARMACIA,CALLE 20 # 301 X 17,"VISTA ALEGRE 
NORTE",97115,MERIDA,YUCATAN,FA0500850,18-jul-07,"GRUPO II, III, VACUNAS Y TOXOIDES"
"TIENDAS  CHEDRAUI SA DE 
CV","FARMACIAS CHEDRAUI SA 
DE CV",FARMACIA,"CALLE 60 # 301-A X 21 Y AV 
XCUMPICH","REVOLUCION 
CORDEMEX",97110,MERIDA,YUCATAN,FA0500852,29-jun-07,"GRUPO II, III Y TOXOIDES"
I.S.S.S.T.E.,"UNIDAD DE MEDICINA 
FAMILIAR TIZIMIN",FARMACIA,CALLE 31 S/N X 44 Y 48-B,CENTRO,97700,TIZIMIN,YUCATAN,FA0960854,10/12/2013,"GRUPO II, III, VACUNAS"
I.S.S.S.T.E.,"CLINICA DE MEDICINA 
FAMILIAR MERIDA",FARMACIA,"CALLE  19-B # 372 X 44 Y 44-
A","PEDREGALES DE 
LINDAVISTA",97115,MERIDA,YUCATAN,FA0500859,13-oct-11,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO, S DE R L","FARMACIA BODEGA 
AURRERA JUAN PABLO II",FARMACIA,C 61 No 364 X 20 A Y 22,JUAN PABLO II,97246,MERIDA,YUCATAN,FA0500862,19-dic-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR  
MONTECRISTO",FARMACIA,C 5 S/N X 8 Y ESQ.,MONTECRISTO,97133,MERIDA,YUCATAN,FA0500865,18-jul-07,"GRUPO I, II, III"
"MENDOZA OSORIO BEATRIZ 
DEL SOCORRO",FARMATODO,FARMACIA,C 39 No 209 X 42 Y 44,CENTRO,97780,VALLADOLID,YUCATAN,FA1020869,31-ago-07,"GRUPO I, II, III"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL BRISAS",FARMACIA,C 24 No 612 X 43 Y 45,BRISAS,97144,MERIDA,YUCATAN,FA0500871,10-ene-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"COMERCIALIZADORA 
FARMACEUTICA DE CHIAPAS 
SAPI DE CV","FARMACIAS DEL AHORRO 
SUCURSAL VERGEL",FARMACIA,CALLE 65 No. 623 X 8 Y 4-A,EMILIO PORTES GIL,97157,MERIDA,YUCATAN,FA0501555,28-jul-11,"GRUPO II.III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES."
FARMACON  SA DE CV,"FARMACIA YZA J PABLO 
NORA",FARMACIA,"C 41 No 297 INTERIOR 3 X 
20-A Y 22",JUAN PABLO II,97246,MERIDA,YUCATAN,FA0500872,01-mar-08,GRUPO  II Y III
FARMACON SA DE CV,"FARMACIA YZA FRACC. LAS 
AMERICAS",FARMACIA,C 74-A S/N X 59 Y 59-D,LAS AMERICAS,97302,MERIDA,YUCATAN,FA0500876,10-ene-08,"GRUPO  II, III, VACUNAS, , SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"FARMACOS 
ESPECIALIZADOS SUC. 
MERIDA 2","FARMACOS 
ESPECIALIZADOS, S.A. DE 
C.V.",FARMACIA,CALLE 26 # 199 X 15 Y 7,ALTABRISA,97133,MERIDA,YUCATAN,FA0500889,26-dic-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV",WAL MART PENSIONES,FARMACIA,"CALLE 21 No 371 INTERIOR 
A X 60 Y 62",MIGUEL HIDALGO,97220,MERIDA,YUCATAN,FA0500892,13-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"FARMACIA DEL HOSPITAL 
O'HORAN","SERVICIOS DE SALUD DE 
YUCATAN",FARMACIA,"AV. ITZAES S/N X AV. 
JACINTO CANEK",CENTRO,97000,MERIDA,YUCATAN,FA0500893,06-ago-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO, S. DE R. L.","MI BODEGA MOTUL 
CENTRO",FARMACIA,CALLE 33 # 308 X 28 Y 30,CENTRO,97430,MOTUL,YUCATAN,FA0520904,10-ene-08,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CEMA,FARMACIA,C  54 No 371 X 33 Y 35,CENTRO,97000,MERIDA,YUCATAN,FA0500912,29-nov-07,"GRUPO   II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL,  HEMODERIVADOS"
"TIENDAS CHEDRAUI S.A. DE 
C.V.",SUPER CHE,FARMACIA,CALLE 21 # 213 X 28 Y 30,CENTRO,97860,TICUL,YUCATAN,FA0891523,29-jun-10,"GRUPO II, III Y TOXOIDES"
"NUEVA WAL MART DE 
MEXICO, S. DE R. L.","FARMACIA  WAL MART 
POLIGONO",FARMACIA,CALLE 33 #  200-C X 44,"CHICHI SUAREZ 
ITZIMNA 108",97143,MERIDA,YUCATAN,FA0500915,07/12/2007,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"SUPER SAN FRANCISCO DE 
ASIS SA DE CV","FARMACIA FAMA  
SUCURSAL MERCADO",FARMACIA,CALLE 52 # 529 INT. X 67,CENTRO,97000,MERIDA,YUCATAN,FA05000451,13-abr-09,"GRUPO II, III, VACUNAS Y TOXOIDES"
"SUPER SAN FRANCISCO DE 
ASIS, S.A.","FARMACIA FAMA SUC. 
SANTA ROSA",FARMACIA,CALLE 115 # 404-A X 48-B,SANTA ROSA,97115,MERIDA,YUCATAN,FA0501531,07-oct-10,"GRUPO II, III, VACUNAS Y TOXOIDES"
"SUPER SAN FRANCISCO DE 
ASIS, S.A. DE C.V.","FARMACIA FAMA SUCURSAL 
ALEMAN",FARMACIA,CALLE 23 # 262-C X 24 Y 26,MIGUEL ALEMAN,97115,MERIDA,YUCATAN,FA0501527,19-ago-10,"GRUPO II, III, VACUNAS, TOXOIDES"
FARMACON SA DE CV,YZA ALTABRISA,FARMACIA,C  7 No 451 X 22 Y 24,ALTABRISA,97133,MERIDA,YUCATAN,FA0500919,14-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
DE CV","FARMACIAS BAZAR  
SUCURSAL STAR PLAZA",FARMACIA,"C 26No 210, 212 Y 214 X 7 Y 
15",ALTABRISA,97133,MERIDA,YUCATAN,FA0500922,20-dic-07,"GRUPO II, III, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
