ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"GRUPO DE ESPECIALIDADES FARMACEUTICAS 
GENESIS S.A.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. GREGORIO MENDEZ NUM. 707-A,CENTRO,86000,CENTRO,TABASCO,27 004 01 0458,08/03/2012,
"FARMACIAS DEL AHORRO SUCURSAL CIUDAD 
INDUSTRIAL","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AVENIDA CIUDAD INDUSTRIAL 
NACIONAL MEXICANA ESQ. CON 
CIUDAD INDUSTRIAL",CIUDAD INDUSTRIAL,86010,CENTRO,TABASCO,27 004 01 0391,09/05/2011,
FARMACIA YZA VILLAHERMOSA GAVIOTAS II,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
62B30IO11L OCGOIMCEORSC YIO H AELM OPODRER MIVEANDOORS DE","AV. LAS TORRES MANZANA 12 LOTE 16 
LOCAL 1",TRIUNFO DE LA MANGA II,86090,CENTRO,TABASCO,27004010668,08/11/2016,
FARMACIAS DE DESCUENTO UNION,"PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y",AV. MARATON S/N,ATASTA DE SERRA,86100,CENTRO,TABASCO,27 004 01 0453,02/02/2012,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. NUEVA IMAGEN # 303,"FRACCIONAMIENTO 
BONANZAS",86000,CENTRO,TABASCO,27004010332,,
FARMACIA DC MART,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. NUEVA IMAGEN ESQUINA CON 
CALLE  5 # 231",FRACCIONAMIENTO BONANZA,86030,CENTRO,TABASCO,27004010507,31/10/2013,
"PSICOFARMACIA ""PRINCIPAL DEL CENTRO""","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PAGES LLERGO NUM 130 -A,CENTRO,86000,CENTRO,TABASCO,27 004 01 0386,29/06/2011,
FARMACIAS DEL AHORRO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PASEO TABASCO # 801,JESUS GARCIA,86040,CENTRO,TABASCO,27 004 01 0303,06/05/2011,
"FARMACIA YZA  VILLAHERMOSA PASEO 
TABASCO","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. PASEO TABASCO NO. 402,CENTRO,86000,CENTRO,TABASCO,27004010660,03/11/2016,
FARMACIA CLINICA AIR MEDICA 2000,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PASEO TABASCO NUM 1114,JESUS GARCIA,86040,CENTRO,TABASCO,27 004 01 0293,30/06/2011,
MEDICA DE TABASCO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PASEO TABASCO NUM 808,JESUS GARCIA,86040,CENTRO,TABASCO,27 004 01 0350,12/12/2008,
FARMACIA DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",AV. PASEO USUMACINTA SN.,COL. GUAYABAL,86090,CENTRO,TABASCO,27004010583,04/03/2016,
"FARMACIAS DEL AHORRO SUCURSAL 
PERIFERICO","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. PERIFERICO CARLOS PELLICER 
CAMARA S/N, LOCAL 26, 27 Y 28","TAMULTE DE LAS 
BARRANCAS",86180,CENTRO,TABASCO,27 004 01 0292,11/05/2011,
FARMACIA DERMOCUTANEA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PROL. 27 DE FEBRERO NUM 405 L-2,FRACC. GALAXIAS,86035,CENTRO,TABASCO,27 004 01 0459,22/03/2012,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA SANBORNS VILLAHERMOSA 
AMERICAS","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RAMON MENDOZA # 102,JOSE MARIA PINO SUAREZ,86029,CENTRO,TABASCO,27004010150,,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. RAMON MENDOZA HERRERA NO. 
144",JOSE MARIA PINO SUAREZ,86029,CENTRO,TABASCO,27 004 01 0362,15/05/2009,
"FARMACIAS DEL AHORRO SUCURSAL TIERRA 
COLORADA","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RAMON MENDOZA NUM 138,JOSE MARIA PINO SUAREZ,86029,CENTRO,TABASCO,27 004 01 0080,11/05/2011,
TIENDAS CHEDRAUI,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. RAMON MENDOZA NUM. 102 ESQ. 
UNIVERSIDAD",EL RECREO,86020,CENTRO,TABASCO,27 004 01 0137,06/12/2006,
"FARMACIA DEL HOSPITAL REGIONAL DE ALTA 
ESPECIALIDAD  SALUD MENTAL","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RAMON MENDOZA S/N,JOSE MARIA PINO SUAREZ,86029,CENTRO,TABASCO,27 004 01 0313,06/09/2006,
"FARMACIAS DEL AHORRO SUCURSAL SAN 
JOAQUIN","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. REVOLUCION ESQ. TRINIDAD 
MALPICA # 801",18 DE MARZO,86140,CENTRO,TABASCO,27 004 01 0058,,
FARMACIAS DEL AHORRO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RUIZ CORTINES # 1335 - C,CENTRO,86040,CENTRO,TABASCO,27 004 01 0324,,
FARMACIA DE WAL MART,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. RUIZ CORTINES # 496,CASA BLANCA 1A. SECCION,86040,CENTRO,TABASCO,27 004 01 0105,31/08/2006,
"FARMACIAS DE TIENDAS CHEDRAUI, S.A. DE 
C.V.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. RUIZ CORTINES ESQ. PERIFERICO 
S/N",CARRIZAL,86038,CENTRO,TABASCO,27 004 01 0071,07/07/2006,
"FARMACIA BODEGA AURRERA CIUDAD 
INDUSTRIAL","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","PROLONGACION AVENIDA 
UNIVERSIDAD 634",CASA BLANCA,86060,CENTRO,TABASCO,27004010715,12/04/2017,
FARMACIAS DEL AHORRO SUC. CASA BLANCA,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. UNIVERSIDAD NUM. 214,COL. CASA BLANCA,86060,CENTRO,TABASCO,27004010577,24/02/2016,
"HOSPITAL NUESTRA SEÑORA DE GUADALUPE 
S.A DE C.V","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. UNIVERSIDAD S/N,CASA BLANCA,86060,CENTRO,TABASCO,27004010340,22/06/2008,
FARMACIA YZA VILLAHERMOSA GAVIOTAS II,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","AV.LAS TORRES MZA 12, LOTE 16 
LOCAL 1",COL.TRIUNFO DE LA MANGA II,86090,CENTRO,TABASCO,27004010668,08/11/2016,
FARMACIA DC MART,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV.NUEVA IMAGEN ESQ. CALLE 5 
NUM.231",FRACC. BONANZA,,CENTRO,TABASCO,27004010549,26/02/2016,
FARMACIA GUADALAJARA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV.PASEO USUMACINTA NUM. 139,COL. PRIMERO DE MAYO,86190,CENTRO,TABASCO,27004010575,16/02/2016,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"FARMACIA GUADALAJARA SUCURSAL ALTOS 
HORNOS","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV.ALTOS HORNOS 102,"OTRA NO ESPECIFICADA EN 
EL CATALOGO",86015,CENTRO,TABASCO,27004010720,31/05/2017,
FARMACIA GUADALAJARA S.A. DE C.V.,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE PASEO USUMACINTA 1104,GALAXIA/TABASCO 2000,86035,CENTRO,TABASCO,27004010713,12/07/2018,
"FARMACIA DEL HOSPITAL GRAL. DE ZONA 
No.46","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV.UNIVERSIDAD S/N,CASA BLANCA,86060,CENTRO,TABASCO,27004010307,26/03/2008,
"FARMACIA YZA CONSTITUCION 
VILLAHERMOSA","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","AVENIDA CONSTITUCION NUM. 211 COL. 
CENTRO",COL. CENTRO,86000,CENTRO,TABASCO,27004010568,11/03/2016,
LA PROVIDENCIA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",BENITO JUAREZ #100,VILLA LUIS GIL PEREZ,86280,CENTRO,TABASCO,27 004 01 0296,28/11/2006,
"FARMACIA  WALMART SUPER CENTER 
BOULEVARD RUIZ CORTINEZ","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",BLVD. ADOLFO RUIZ CORTINES 1450,ATASTA DE SERRA,86100,CENTRO,TABASCO,27004010452,02/02/2012,
UNIDAD DE MEDICINA FAMILIAR NUMERO 38,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV. BOULEVARD DEL CENTRO ESQUINA 
PARAISO S/N","FRACCIONAMIENTO 
ELECTRICISTAS",86030,CENTRO,TABASCO,27004010108,04/09/2006,
FARMACIA ESPECIALIAZADA LA PAZ,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 1 # 124 LOTE 10 MANZANA 1,CARLOS A MADRAZO,86280,CENTRO,TABASCO,24004010512,,
FARMACIA IDEALES DEL SURESTE SA DE CV,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 1 # 353 LOCAL A,MIGUEL HIDALGO,86126,CENTRO,TABASCO,27004010547,13/02/2015,
FARMACIA DE ESPECIALIDADES MAYA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE UNO NO.355,MIGUEL HIDALGO,86126,CENTRO,TABASCO,27004010455,09/02/2012,
"FARMACIA DEL HOSPITAL DE ALTA 
ESPECIALIDAD  DR. JUAN GRAHAM CASASUS","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CALLE 1 S/N CARRETERA A LA ISLA KM. 
1+300",RANCHERIA MIGUEL HIDALGO,86126,CENTRO,TABASCO,27 004 01 0121,16/07/2015,
FARMACIA LA SALUD,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 27 DE FEBRERO #34,VILLA LUIS GIL PEREZ,86000,CENTRO,TABASCO,27 004 01 0104,24/11/2006,
"FARMACIA HOSPITAL REGIONAL DE ALTA 
ESPECIALIDAD DR. GUSTAVO A. ROVIROSA 
PEREZ","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE 3 S/N,EL RECREO,86020,CENTRO,TABASCO,27 004 01 0094,,
MI FARMACIA,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",LA COLZA 7,"ANACLETO CANABAL 2DA. 
SECCION",86103,CENTRO,TABASCO,27004010719,08/05/2017,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
"GRUPO DE ESPECIALIDADES FARMACEUTICAS 
GENESIS S.A.","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CALLE 4 S/N FRENTE AL HOSPITAL 
ROVIROSA",EL RECREO,86020,CENTRO,TABASCO,27 004 01 0367,06/11/2006,
FARMACIA YZA VILLAHERMOSA ALDAMA,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE ALDAMA NUM. 511,COL. CENTRO,86000,CENTRO,TABASCO,27004010588,14/03/2016,
FARMACIA YZA GAVIOTAS NORTE,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS","CALLE ALFONSO VICENS SALDIVAR 
NUM. 301","COL. GAVIOTAS NORTE 
SECTOR EXPLANADA",86090,CENTRO,TABASCO,27004010581,04/03/2016,
FARMACIAS DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","CALLE CARLOS A. MADRAZO BECERRA 
No.206 L4",PARRILLA,86280,CENTRO,TABASCO,27004010597,08/07/2016,
FARMACIAS DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CALLE LINO MERINO NUM.401,COL.CENTRO,86000,CENTRO,TABASCO,27004010574,16/02/2016,
"FARMACIAS DEL AHORRO SUCURSAL 
REFORMA","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CALLE REFORMA #414,CENTRO,86000,CENTRO,TABASCO,27004010102,11/05/2011,
UNIDAD MEDICA DEL REFUGIO S.A. DE C.V.,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CAMPECHE NUM.102 INT.3,GUADALUPE,86180,CENTRO,TABASCO,27004010468,,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARLOS A. MADRAZO NO. 206,VILLA PARRILLA IRA SECC,86280,CENTRO,TABASCO,27004010370,,
FARMACIAS YZA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARRET. VHSA A FRONTERA KM. 5+200,LAGUNAS,86019,CENTRO,TABASCO,27 004 01 0408,,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARRETERA A LA ISLA KM.1.5 S/N,CARLOS A MADRAZO,86280,CENTRO,TABASCO,27 004 01 0269,29/04/2008,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CARRETERA A LA ISLA KM.2.5 S/N,MIGUEL HIDALGO,86126,CENTRO,TABASCO,27004010477,08/11/2012,
FARMACIA DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CARRETERA VHSA-TEAPA KM. 11,VILLA PARRILLA,86280,CENTRO,TABASCO,27004010587,14/03/2016,
"FARMACIA MI BODEGA AURRERA VILLA 
PARRILLA","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CARRETERA VILLAHERMOSA - TEAPA 
S/N",VILLA PARRILLA,86280,CENTRO,TABASCO,27004010377,25/02/2010,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CARRETERA VILLAHERMOSA-
BOQUERON KM. 1",IXTACOMITAN 1RA SECCION,86143,CENTRO,TABASCO,27 004 01 0446,21/06/2018,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CARRETERA VILLAHERMOSA-REFORMA 
KM. 0500",RIO VIEJO 1RA SECC,86127,CENTRO,TABASCO,27 004 01 0445,13/01/2012,
FARMACIA ISSET,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",CERRADA LA CEIBA S/N,ATASTA,86100,CENTRO,TABASCO,27 004 01 0059,17/09/2019,
"FARMACIA SORIANA SENDERO 
VILLAHERMOSA","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","CIRCUITO INTERIO CARLOS PELLICER 
CAMARA # 1020",JOSE MARIA PINO SUAREZ,86029,CENTRO,TABASCO,27004010515,16/01/2014,
FARMACIA SAGRADO CORAZON,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",CONSTITUCION ESQ. REVOLUCION #4,VILLA OCUILTZAPOTLAN,86250,CENTRO,TABASCO,27 004 01 0285,06/12/2006,
"FARMACIA DEL AHORRO SUCURSAL 
CASTILLO","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","EUSEBIO CASTILLO ESQ. BASTAR 
ZOZAYA S/N.",CENTRO,86000,CENTRO,TABASCO,27 004 01 0271,06/05/2011,
FARMACIA DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. FCO. I. MADERO NUM.  1112,CENTRO,86000,CENTRO,TABASCO,27 004 01 0438,04/10/2011,
"FARMACIA YZA VILLAHERMOSA PARQUE 
JUAREZ","464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",FRANCISCO I. MADERO NUM. 602,CENTRO,86000,CENTRO,TABASCO,27004010749,15/01/2018,
FARMACIA YZA VILLAHERMOSA MINA,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",FRANCISCO JAVIER MINA #110,CENTRO,86000,CENTRO,TABASCO,27004010654,28/10/2016,
FARMACIAS DE DESCUENTO UNION,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","GENERAL PLUTARCO ELIAS CALLES 
S/N",PLAYAS DEL ROSARIO,86291,CENTRO,TABASCO,27 004 01 0450,24/01/2012,
