"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CAMINO A VANEGAS No. 149,EMILIANO ZAPATA,76901,CORREGIDORA,QUERÉTARO,11 22 06 F 0051,2011,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,GUTIERREZ  NAJERA 60,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 063,2011,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA HOSPITAL GENERAL IMEDIC,FARMACIA,"AV. 5 DE FEBERRO 101 SUR,",VIRREYES,76175,QUERÉTARO,QUERÉTARO,11 22 14F 0048,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA JUANITO,FARMACIA,MIGUEL HIDALGO 63-A,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,11 22 16 F 0049,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA DEL AHORRO PARQUE CENTRAL,FARMACIA,AV. JUAREZ No. 47 NORTE,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0057,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA MI BODEGA AURRERA DE CADEREYTA,FARMACIA,JOSE MA. MORELOS No. 37,CENTRO,76500,CADEREYTA,QUERÉTARO,11 22 14 F 007,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA MI BODEGA AURRERA PEDRO ESCOBEDO,FARMACIA,CARRETERA PANAMERICANA 56,CENTRO,76700,PEDRO ESCOBEDO,QUERÉTARO,11 22 12 F 0052,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMAOFERTAS,FARMACIA,AV. LOMAS DE SAN  JUAN No. 1,LOMAS DE SAN JUAN,76806,SAN JUAN  DEL RIO,QUERÉTARO,11 22 14 F 064,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA SAN PABLO,FARMACIA,"ISLA DE CRETA 116, PLANTA 
ALTA",LOMA LINDA,76000,QUERÉTARO,QUERÉTARO,11 22 14 F-005,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA TEC 100,FARMACIA,"PRIVADA IGNACIO PEREZ No. 50-
6",CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0011,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA WAL MART SUPERCENTER,FARMACIA,BLV BERNARDO QUINTANA 4113,SAN PABLO,76130,QUERÉTARO,QUERÉTARO,11 22 14 F-004,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA Y DEPÓSITO DENTAL SAN RAFAEL,FARMACIA,"SENDA DE LA INSPIRACIÓN 6 C -
005,",MILENIO III,76060,QUERÉTARO,QUERÉTARO,11 22 14 F-003,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL “CAMPESTRE”,FARMACIA,HACIENDA DEL JACAL No. 103,JARDINES DE LA HACIENDA,76180,QUERÉTARO,QUERÉTARO,11 22 14 F 0023,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL “FUENTES”,FARMACIA,AV. DE LAS FUENTES No. 440,SATELITE,76110,QUERÉTARO,QUERÉTARO,11 22 14 F 0016,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL “ZARAGOZA”,FARMACIA,IGNACIO ZARAGOZA No. 23 PTE,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0021,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL 5 DE FEBRERO,FARMACIA,5 DE FEBRERO  106,NIÑOS HEROES,76010,QUERÉTARO,QUERÉTARO,11 22 14 F 0046,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL ALAMEDA,FARMACIA,COLÓN No. 5-A,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0026,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL ARCOS,FARMACIA,"BOULEVARD BERNARDO 
QUINTANA No. 116-A",CARRETAS,76020,QUERÉTARO,QUERÉTARO,1122 14 F 0025,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL AV. DE LA LUZ,FARMACIA,AV. DE LA LUZ No. 1218 A Y B,CERRITO COLORADO,76116,QUERÉTARO,QUERÉTARO,11 22 14 F 0028,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIAS DEL AHORRO SUCURSAL BOULEVARD DE LAS 
AMERICAS",FARMACIA,"BOULEVARD DE LAS AMERICAS 
No. 101",REFORMA AGRARIA,76086,QUERÉTARO,QUERÉTARO,11 22 14 F 0027,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CAMINO REAL,FARMACIA,AV. CAMINO REAL No. 496-A,CAMINO REAL,76903,CORREGIDORA,QUERÉTARO,11 22 06 F 0044,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CANDILES,FARMACIA,MONTERREY 74,SAN JOSE DE LOS OLVERA,76902,CORREGIDORA,QUERÉTARO,11 22 06 F 0024,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CAPILLA,FARMACIA,PROL. ZARAGOZA No. 1002,PRADOS DE LA CAPILLA,76176,QUERÉTARO,QUERÉTARO,11 22 14 F 0041,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CARRILLO,FARMACIA,AV. VALLARTA N° 1,FELIPE CARRILLO PUERTO,76138,QUERÉTARO,QUERÉTARO,11 22 14 F 0029,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CASA BLANCA,FARMACIA,CALLE 27 No. 602,LOMAS DE CASA BLANCA,76080,QUERÉTARO,QUERÉTARO,11 22 14 F 0030,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CIMATARIO,FARMACIA,AV. CIMATARIO No. 601,PLAZAS DEL SOL,76099,QUERÉTARO,QUERÉTARO,11 22 14 F 0032,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CIRCUNVALACION,FARMACIA,AV. CIRCUNVALACION No. 30-1,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0034,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL CORREGIDORA,FARMACIA,"AV. PROLONGACION 
CORREGIDORA NORTE  No. 1-A",QUINTA LA LABORCILLA,76140,QUERÉTARO,QUERÉTARO,11 22 14 F 0035,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL HERCULES,FARMACIA,AV. HERCULES No. 216 A,HERCULES,76069,QUERÉTARO,QUERÉTARO,11 22 14 F 0036,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL HUIMILPAN,FARMACIA,AV. DEL PARQUE 539-A,VISTA ALEGRE,76074,QUERÉTARO,QUERÉTARO,11 22 14 F 0038,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL JUAREZ,FARMACIA,JUAREZ 12 SUR,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 F 0037,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA CEJAIM,FARMACIA,PRIV. LAS CAMPANAS 106,LAS CAMPANAS,76010,QUERÉTARO,QUERÉTARO,11 22 14 F 0055,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL PASTEUR,FARMACIA,PROL. PASTEUR No. 606,BURÓCRATA,76070,QUERÉTARO,QUERÉTARO,11 22 14 F 0043,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL PEÑUELAS,FARMACIA,AV. PIE DE LA CUESTA No. 2422,LOMAS DE SAN PEDRITO PEÑUELAS,76148,QUERÉTARO,QUERÉTARO,11 22 14 F 0040,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL PIE DE LA CUESTA,FARMACIA,AV. PIE DE LA CUESTA No.302,DESARROLLO SAN PABLO,76125,QUERÉTARO,QUERÉTARO,11 22 14 F 0017,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSAL PUEBLITO,FARMACIA,"JOSEFA ORTIZ DE DOMINGUEZ 
No. 84",EL PUEBLITO,76900,CORREGIDORA,QUERÉTARO,11 22 14 F 0045,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIAS DEL AHORRO SUCURSAL SAUCES”,FARMACIA,AV. REVOLUCION No. 170,CARRILLO PUERTO,76138,QUERÉTARO,QUERÉTARO,11 22 14 F 0019,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSALCONSTITUYENTES,FARMACIA,AV. CONSTITUYENTES No. 1202,LAS  PALMAS,76040,QUERÉTARO,QUERÉTARO,11 22 14 F 0033,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO SUCURSALJURIQUILLA,FARMACIA,"BLVD. UNIVERSITARIO No. 506 
LOCALES 1,2 Y 3","JURICA ACUEDUCTO, PROVINCIA 
JURIQUILLA",76230,QUERÉTARO,QUERÉTARO,11 22 14 F 0042,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS GUADALAJARA,FARMACIA,"AV. REVOLUCION No. 1220,",EL ROCIO,76116,QUERÉTARO,QUERÉTARO,11 22 14 F 0010,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS GUADALAJARA S.A. DE C.V.,FARMACIA,AV. DEL SOL 79-2,EL SOL,76113,QUERÉTARO,QUERÉTARO,11 22 14 F-002,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIAS GUADALAJARA,FARMACIA,"CAMINO REAL DE CARRETAS No. 
196-16",MILENIO III,76060,QUERÉTARO,QUERÉTARO,11 22 14 F  009,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"HOSPITAL DE ESPECIALIDADES EN SALUD MENTAL JUAN PABLO 
SEGUNDO, S.A. DE C.V.",FARMACIA,"CARR. QUERETARO-SLP No. 
20100","FRACC. MICROEMPRESARIAL SANTA ROSA 
JAUREGUI",76220,QUERÉTARO,QUERÉTARO,11 22 14 F 0054,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
HOSPITAL GENERAL REGIONAL No. 1,BOTICA,AV. 5 DE FEBRERO No. 102,CENTRO,76000,QUERÉTARO,QUERÉTARO,11 22 14 B 0013,2011,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"ORTHO PHARMA, S.A. DE C.V.",BOTICA,"PASEO JURICA No. 109 
INTERIOR3-A,",JURICA,76110,QUERÉTARO,QUERÉTARO,11 22 14 B 0050,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SUPERAMA JURIQUILLA SANTA FE,FARMACIA,"ANILLO VIAL II FRAY JUNIPERO 
SERRA No. 2701, MANZANA 2 
LOTE 9",RESIDENCIAL JURIQUILLA SANTA FE,76230,QUERÉTARO,QUERÉTARO,11 22 14 F 061,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
WALMART SUPERCENTER PONIENTE,FARMACIA,"PROLONGACIÒN BERNARDO 
QUINTANA No. 2930, FRACCION A-
1",CERRITO COLORADO COMEVI,76116,QUERÉTARO,QUERÉTARO,11 22 14 F 062,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
EMK EMERGENCY MEDICAL KITS,FARMACIA,RICARDO FLORES MAGON 304,ESTRELLA,76030,QUERÉTARO,QUERÉTARO,11 22 14 F 0056,2011,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
SAMS CLUB,FARMACIA,BERNARDO QUINTANA 4115,SAN PABLO,76130,QUERÉTARO,QUERÉTARO,22014090001,11/10/2000,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
BOTICA CLINICA MEDICA Y DE SERVICIOS CER,BOTICA,PROL. CONSTITUYENTES # 15,PUEBLO NUEVO,76190,CORREGIDORA,QUERÉTARO,22006100001,17/10/2000,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA DEL PERPETUO SOCORRO,FARMACIA,INVIERNO NO. 58-a,LINDAVISTA,76160,QUERÉTARO,QUERÉTARO,1400010552,16/11/2000,FARMACIA ALOPATICA
CENTRO INTEGRAL DE CIRUGÍA ESTÉTICA AVANZADA,BOTICA,"BERNARDO QUINTANA  # 124-
107.",CARRETAS,76050,QUERÉTARO,QUERÉTARO,22014100015,21/11/2000,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"BLV. BERNARDO QUINTANA 532-
B COL.ARBOLEDAS",ARBOLEDAS DEL PARQUE,76140,QUERÉTARO,QUERÉTARO,22014090016,28/11/2000,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CRUZ ROJA MEXICANA DELEGACIÓN QUERÉTARO,BOTICA,"AV. BALAUSTRADAS ESQ. 
ESTADIO",BALAUSTRADAS,76079,QUERÉTARO,QUERÉTARO,22014100018,15/01/2001,PSICOTROPICOS
FARMACIA BARNIE,FARMACIA,PANAMERICANA 31 PTE,CENTRO,76700,PEDRO ESCOBEDO,QUERÉTARO,22 012 09 0001,20/02/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
BODEGA AURRERA,FARMACIA,AV. CONSTITUYENTES No. 34,LAS ALAMEDAS,76040,QUERÉTARO,QUERÉTARO,22014090038,23/02/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA CRUZ ROSA,FARMACIA,NIÑOS HEROES No. 3,CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,22 017 09 0003,06/03/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
OPERADORADEL HOSPITAL SAN PEDRO S.C,BOTICA,"PANADEROS No. 2 ,",SAN PEDRITO PEÑUELAS,76130,QUERÉTARO,QUERÉTARO,22014100040,04/04/2001,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR No. 2,BOTICA,AV. HERCULES No.  25 PTE,HERCULES,76209,QUERÉTARO,QUERÉTARO,22 014 10 0069,25/05/2001,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"UNIDAD DE MEDICINA FAMILIAR ""c"" MR2",BOTICA,PINO SUAREZ 43 NORTE,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,22 016 10 0009,05/09/2001,"ESTUPEFACIENTES, PSICOTRÓPICOS, HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTOTIXINAS, SUEROS DE ORIGEN ANIMAL"
"RESIDENCIA PARA ANCIANOS"" LUZ AL OCASO""",BOTICA,PROL.CUAUHTEMOC #179,SANTA BÁRBARA,76906,CORREGIDORA,QUERÉTARO,22006100004,13/09/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
HOSPITAL DE LA SANTA CRUZ,BOTICA,PRIV. CIRCUNVALACIÓN No. 6,JARDINES DE QRO,76020,QUERÉTARO,QUERÉTARO,22014100010,25/09/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
HOSPITAL TEQUISQUIAPAN S.A. DE C.V,BOTICA,"CARRETERA A EZEQUIEL 
MONTES NO.221 COL. ADOLFO 
LOPEZ MATEOS",ADOLFO LOPEZ MATEOS,76750,TEQUISQUIAPAN,QUERÉTARO,22014100004,09/11/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD MED. FAMILIAR No. 15 IMSS,BOTICA,PLAYA CONDENSA 502,DESARROLLO SAN PABLO,76130,QUERÉTARO,QUERÉTARO,22 014 10 0044,01/12/2001,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
EN LINEA FARMACIA,FARMACIA,ZARAGOZA  OTE No.181,SAN FRANCISQUITO,76020,QUERÉTARO,QUERÉTARO,2214090063,07/02/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
DE JESUS,DROGUERIA,"VIRREY DE REVILLAGIGEDO 124 
VIRREYES",VIRREYES,76175,QUERÉTARO,QUERÉTARO,22014110072,23/04/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL, FORMULAS 
MAGISTRALES Y OFICINALES"
FARMACIA ARGOS,FARMACIA,"PROL. CORREGIDORA SUR No. 
178",ESTRELLA,76030,QUERÉTARO,QUERÉTARO,22 14 100 206,02/05/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CENTRO DE SALUD DE DONICA,BOTICA,COMUNIDAD DONICÁ,DONICA,76850,AMEALCO,QUERÉTARO,22011000109,26/06/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CENTRO DE SALUD COLON,BOTICA,"CALLE VENUSTIANO CARRANZA 
N° 6",CENTRO,76270,COLÓN,QUERÉTARO,22 005 09 0114,27/06/2002,"ESTUPEFACIENTES, PSICOTRÓPICOS, HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTOTIXINAS, SUEROS DE ORIGEN ANIMAL"
CENTRO DE SALUD RURAL TEQUISQUIAPAN,BOTICA,CARRETERA A TEQUISQUIAPAN,CENTRO,76750,TEQUISQUIAPAN,QUERÉTARO,22 017 09 0119,02/07/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
UNIDAD DE MEDICINA FAMILIAR No. 57,BOTICA,AQUILES SERDAN No. 30,CENTRO,76500,COLÓN,QUERÉTARO,22 005 09 0159,17/07/2002,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
DERMOFARMACIA SAN FRANCISCO,DROGUERIA,"JUAN CABALLERO Y OSIO 
No.397-300",EL CORTIJO,76020,QUERÉTARO,QUERÉTARO,22014080161,31/07/2002,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL, FORMULAS 
MAGISTRALES Y OFICINALES"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AV. CONSTITUYENTES # 17 PTE.,CIMATARIO,76030,QUERÉTARO,QUERÉTARO,22014100164,09/08/2002,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,"AV. DE LA LUZ # 1202,",CERRITO COLORADO,76116,QUERÉTARO,QUERÉTARO,22014100170,02/10/2002,"ESTUPEFACIENTES, PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, 
TOXOIDES, BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
