ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
"FARMACIA ALOPATICA ""SAN FELIPE""",FARMACIA,5 DE FEBRERO NO. 102,S/C,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090002,18/08/00,"(PSICOTRÓPICOS  II, III),  TOXOIDES, 
SUEROS DE ORIGEN ANIMAL,"
"FARMACIA ALOPATICA ""GANDHI""",FARMACIA,HIDALGO # 108,S/C,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090004,15/01/03,"(PSICOTRÓPICOS  II, III),"
FARMACIA ALOPATICA,FARMACIA,DENTRO DEL HOSPITAL GRAL. DE S.F.P.,S/C,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,6109,----,
FARMACIA DEL AHORRO,FARMACIA,"PLAZUELA MORELOS NO. 109,",CENTRO,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090007,01/02/07,"(PSICOTRÓPICOS  II, III),"
FARMACIA DISUR,FARMACIA,"AV. INSURGENTES S/N,",EJIDAL,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,1507409008,02/04/08,"(ESTUPEFACIENTES), (PSICOTRÓPICOS I,  II, 
III), VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
"FARMACIA ""MI BODEGA AURRERA TENERIA""",FARMACIA,"AV. NICOLAS BRAVO S/N, COL. TENERIA",TENERIA,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090010,04/04/11,"(ESTUPEFACIENTES), (PSICOTRÓPICOS I,   II, 
III),"
"FARMACIA ""MAZAHUA""",FARMACIA,"DOM. CONOCIDO, SANTA ANA NICHI",S/C,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090011,08/12/11,"(PSICOTRÓPICOS  II, III),"
BOTICA HOSPITAL GENERAL,BOTICA,AV. INSURGENTES S/N,CENTRO,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074100003,06/11/01,"(ESTUPEFACIENTES), (PSICOTRÓPICOS I,  II, 
III), VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
BOTICA UMF,BOTICA,GERVACIO CONTRERAS GASCA S/N,EL SALTO,50640,"SAN FELIPE DEL 
PROGRESO",ESTADO DE MÉXICO,15074090012,17/12/11,"(PSICOTRÓPICOS  II, III),"
FARMACIA DISUR (HOSP. MATERNO INFANTIL),FARMACIA,"KM. 35.5 CARR. ORO-V. VICTORIA, STA CRUZ DEL RI",NSC/OCN,50640,SAN JOSE DEL RINCON,ESTADO DE MÉXICO,15124090001,20/12/10,"PSICOTRÓPICOS  II, III, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA DISUR (INTRAHOSP. CEAPS),FARMACIA,"KM. 35.5 CARR. ORO-V. VICTORIA, STA CRUZ DEL RI",NSC/OCN,50640,SAN JOSE DEL RINCON,ESTADO DE MÉXICO,15124090002,04/04/11,"PSICOTRÓPICOS  II, III, VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS 
DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA (HOSP. RURAL OPORTUNIDADES 1),FARMACIA,"CARR. ORO-V. VICTORIA KM. 35.5, STA CRUZ DEL RI",NSC/OCN,50640,SAN JOSE DEL RINCON,ESTADO DE MÉXICO,15124090003,29/05/11,"(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL"
"FARMACIA ALOPATICA ""NUEVA""",FARMACIA,JOSE MA. VELASCO No 10-A,S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090005,15/08/00,"(ESTUPEFACIENTES), (PSICOTRÓPICOS  I, II, 
III)"
FARMACIA ALOPATICA,FARMACIA,AV. ALFREDO DEL MAZO NUM. 236,S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,18341,---,
"FARMACIA ALOPATICA "" BELL """,FARMACIA,ALFREDO DEL MAZO NUM. 2220-B,S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090004,14/08/00,"(ESTUPEFACIENTES), (PSICOTRÓPICOS  I, II, 
III), TOXOIDES,"
"FARMACIA ALOPATICA  ""ARA""",FARMACIA,VILLADA No 14,S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090003,14/08/00,"PSICOTRÓPICOS   II, III)"
"FARMACIA ALOPATICA ""DE JESUS""",FARMACIA,INDEPENDENCIA NUM. 12,S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090002,14/08/00,"(ESTUPEFACIENTES), (PSICOTRÓPICOS  I, II, 
III), TOXOIDES,"
FARMACIA DISUR,FARMACIA,ALFREDO DEL MAZO NO. 234,CENTRO,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090007,07/11/08,"ESTUPEFACIENTES), (PSICOTRÓPICOS I,   II, 
III), VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
FARMACIA DISUR  (CEAPS),FARMACIA,"CONOCIDO, EX HACIENDA SOLIS, INT. CEAPS",S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090008,23/10/09,"(PSICOTRÓPICOS    II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA (HOSP. UN KIÑO DE AYUDA),FARMACIA,"LIBRAMIENTO ATA S/N, PARAJE LA CORTINA",S/C,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090009,08/12/11,"ESTUPEFACIENTES), (PSICOTRÓPICOS I,   II, 
III), VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
"FARMACIA ""MI IBODEGA  AURRERA""",FARMACIA,"AV. FELIPE DE JESUS CHAPARRO S/N,",CENTRO,50400,TEMASCALCINGO,ESTADO DE MÉXICO,15085090010,24/04/12,"PSICOTRÓPICOS  II, III,  VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
"BOTICA DISUR (INTRAHOSP. DEL CEAPS JOCOTITLAN “DR. 
ADRIAN CORREA CEDILLO”)",FARMACIA,BLVD. EMILIO CHUAYFETT S/N,BARRIÓ LA TENERIA,,JOCOTITLAN,ESTADO DE MEXICO.,15 048 10 0012,09-Sep-15,"Estupefacientes Fracción I
Psicotrópicos Fracción II y III
Toxoides,Antitoxinas de Origen Animal, Vacunas, 
Hemoderivados, Sueros de Origen Animal"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,"AV. JOSÉ MARÍA MORELOS Y PAVON 
No. 2",CENTRO,,ATLACOMULCO,ESTADO DE MEXICO,15 106 09 0019,04/03/16,"Psicotrópicos Fracción II y III,"
100%  FARMA,FARMACIA,AV. MORELOS No. 124,CENTRO,,"SAN FELIPE DEL 
PROGRESO, 
ATLACOMULCO",ESTADO DE MEXICO,15 074 09 0030,20/06/16,"Psicotropicos fraccion II y III, Toxoides, Vacunas; 
Hemoderivados, Sueros de Origen Animal."
FARMACIA VIVE,FARMACIA,AV. MARIO COLIN SANCHEZ No. 607- A,CUATRO MILPAS,,ATLACOMULCO,ESTADO DE MEXICO,15 014 09 0031,18/04/16,"Psicotropicos fraccion II y III, Toxoides, Vacunas; 
Hemoderivados, Sueros de Origen Animal."
ROGELIO MARTINEZ CONTRERAS,FARMACIA,ALAMO No.10,CENTRO,,TEMASCALCINGO,ESTADO DE MEXICO,15 085 10 0037,04/07/16,"Estupefacientes Fracción I, Psicotropicos fraccion 
II y III, Toxoides, Vacunas; Hemoderivados, 
Sueros de Origen Animal."
"FARMACIA DEL HOSPITAL MATERNO INFANTIL ""JOSÉ MARIA 
MORELOS Y PAVÓN"" BICENTENARIO SAN JOSÉ DEL RINCÓN",FARMACIA,"CARRETERA VILLA VICTORIA EL ORO, 
KILIMETRO 35.5",SANTA CRUZ DEL RINCÓN,,SAN JOSÉ DEL RINCÓN,ESTADO DE MEXICO,15 124 09 0045,20/09/16,Estupefacientes Fracción I
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,"AV. JOSÉ MARÍA VELASCO No. 19, CP: 
50400",CENTRO,,TEMASCALCINGO,ESTADO DE MÉXICO,15 085 09 0051,17/11/16,Psicotropicos fraccion II y III
,,,,,,,,,
FARMACIA VIDA NUEVA,FARMACIA,MARGARITAS NO. 16-A,JARDINES HIDALGO,4560,CALVILLO,AGUASCALIENTES,24020090002,16-abr-16,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIAS DEL AHORRO,FARMACIA,CALZADA DE GUADALUPE #242,GUADALUPE,54800,CUAUTITLAN,ESTADO DE MEXICO,1502409 0001,01-Mar-16,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO 
MEDICO S.A. DE C.V.",FARMACIA,AV. PEDRO RAMIREZ S/N,PARQUE SAN MATEO,54830,CUAUTITLAN,ESTADO DE MEXICO,1502409 0002,02-Mar-16,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
CLINICA PRIVADA PERINORTE S.A. DE C.V.,FARMACIA,"BOULEVARD  LOMAS DE CARTAGENA 
#154",LOMAS DE CARTAGENA,54958,TULTITLAN,ESTADO DE MEXICO,15109 090001,02-Mar-16,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE C.V.,FARMACIA,AV. ISLA COZUMEL MZ.29 LT.1,VILLA ESMERALDA,54958,TULTITLAN,ESTADO DE MEXICO,1502409 0002,06-Jun-16,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
"COMERCIALIZADORA CITY FRESKO, S. DE R.L. DE C.V.",FARMACIA,AV. PRADOS S/N,SAN PABLO DE LAS SALINAS,54943,TULTITLAN,ESTADO DE MEXICO,15109090003,06-Jun-16,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA A.B.C. DE MEXICO,FARMACIA,AV. DOCTOR JIMENEZ CANTU S7n,CENTRO,54730,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,15121090171,06-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA A.B.C. DE MEXICO,FARMACIA,CARR. MELCHOR OCAMPO LT.3,FRACC. LOS MORALES,54800,CUAUTITLAN,ESTADO DE MEXICO,15024090173,06-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA A.B.C. DE MEXICO,FARMACIA,AV.1 ro. DE MAYO LT.25,CENTRO,54730,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,15 121 090174,06-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA POPULAR EL MOLINITO,FARMACIA,AV. CENTRO URBANO PONIENTE 18,BOSQUES DE LA HACIENDA,54768,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,15121090166,07-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA POPULAR EL MOLINITO,FARMACIA,AV. PASEOS DE ALBA #240,JARDINES DEL ALBA,54750,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,1.51211E+11,07-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
FARMACIA POPULAR EL MOLINITO,FARMACIA,BLVD. REFORMA #101,SANTA CLARA CHILPAN,54944,TULTITLAN,ESTADO DE MEXICO,15109040168,07-abr-15,"PSICOTROPICOS, VACUNAS Y TOXOIDES, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS."
COMERCIO DE PRODUCTOS FARMACEUTICOS,FARMACIA,AMAPOLA S/N,EJIDOS DEL SOCORRO,54714,"CUAUTITLAN IZCALLI 
(121)",ESTADO DE MÉXICO,15 121 09 001,25-Nov-16,"Estupefacientes Fracción I, Psicotrópicos 
Fracción II y III"
,,,,,,,,,
UNIDAD DE MEDICINA FAMILIAR NO.95,BOTICA,AV.MARIO COLIN PORTON 2,"FRACCIONAMIENTO LA 
COMUNIDAD",54017,TLALENPATNLA,EDO. DE MEXICO,15104100016,14-ago-00,PSICOTROPICOS
HOSPITAL GENERAL DE ZONA Y M.F. 58,BOTICA,"BOULEVARD MANUEL AVILA CAMACHO 
S/N",LAS MARGARITAS,54050,TLALENPATNLA,EDO. DE MEXICO,15104100065,16-Mar-01,"ESTUPEFACIENTES,PSICOTROPICOS,VACUN
AS Y TOXOIDES"
"NUEVA WAL MART DE MEXICO DE R.L. DE C.V. FARMACIA 
SUPERAMA",FARMACIA,AUTOPISTA MEXICO QUERETARO NO.1,VIVEROS DEL VALLE,54060,TLALENPATNLA,EDO. DE MEXICO,15104090066,16-Mar-01,"ESTUPEFACIENTES PSICOTROPICOS, 
VACUNAS Y TOXOIDES"
"NUEVA WAL MART DE MEXICO DE R.L. DE C.V. FARMACIA 
AURRERA",FARMACIA,"AUTOPISTA MEXICO QUERETARO 
NO2550",FRACCIONAMIENTO LOS PIRULES,54040,TLALENPATNLA,EDO. DE MEXICO,15104090068,16-Mar-01,"ESTUPEFACIENTES,PSICOTROPICOS,VACUN
AS Y TOXOIDES"
NUEVA FARMACIA SAN MARTIN DE PORRES S.A. DE C.V.,FARMACIA,AV.VOLCANES NO.1020,LAZARO CARDENAS,,TLALENPATNLA,EDO. DE MEXICO,15104090075,30-May-01,"PSICOTROPICOS,VACUNAS Y TOXOIDES"
FARMACIA COSTCO DE MEXICO S.A. DE C.V.,FARMACIA,AV.SAN NICOLAS NO.10,"FRACCIONAMIENTO INDUSTRIAL 
SAN NICOLAS",54030,TLALENPATNLA,EDO. DE MEXICO,15104090115,01-dic-04,"PSICOTROPICOS,VACUNAS,TOXOIDES,SUER
OS,ANTI TOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
TEINDAS CHEDARUI,FARMACIA,"BOULEVARD MANUEL AVILA CAMACHO 
NO.1007",SAN LUCAS TEPETLACALCO,554055,TLALENPATNLA,EDO. DE MEXICO,15104090123,08-Jul-05,"PSICOTROPICOS,VACUNAS,TOXOIDES,SUER
OS,ANTI TOXINAS DE ORIEGEN ANIMAL Y 
HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR NO.51,BOTICA,CONVENTO DE LA MERCED S/N,JARDINES DE SANTA MONICA,54050,TLALENPATNLA,EDO. DE MEXICO,15104100121,11-Oct-05,PSICOTROPICOS
FARMACIA SAN PABLO,FARMACIA,CONVENTO DE SANTA MONICA NO.48,FRACC. SANTA MONICA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090081,10-Oct-05,"PSICOTROPICOS,VACUNAS,TOXOIDES Y 
ANTITOXINAS DE ORIGEN ANIMAL"
LA LUPITA,FARMACIA,AV.SANTA CECILIA MZ.19 LT 273,EL TENAYO CENTRO,54140,TLALENPATNLA,EDO. DE MEXICO,15104090148,18-Oct-05,PSICOTROPICOS
FARMACIAS ABC DE MEXICO S.A. DE C.V.,FARMACIA,AV.EJIDOS NO.274,LOS REYES IXTACALA,54090,TLALENPATNLA,EDO. DE MEXICO,15104090172,02-Oct-16,"PSICOTROPICOS,VACUNAS TOXOIDES Y 
HEMODERIVADOS"
FARMACIAS SAGRADO CROAZON,FARMACIA,TENOCHTITLAN NO.3,SAN JUAN IXHUATEPEC,54180,TLALENPATNLA,EDO. DE MEXICO,15104090173,10-Oct-07,"PSICOTROPICOS,VACUNAS Y TOXOIDES"
FARMACIA WALMART SUPERCENTER PLAZA ARBOLEDAS,FARMACIA,"AUTOPISTA MEXICO QUERETARO 
NO.3985",CENTRO INDUSTRIAL,54030,TLALENPATNLA,EDO. DE MEXICO,15104090155,08-ene-07,PSICOTROPICOS
FARMACIA,FARMACIA,PLAZA NUÑEZ DE BALBOA NO 25,EL ROSARIO,54090,TLALENPATNLA,EDO. DE MEXICO,15104090164,27-abr-07,PSICOTROPICOS VACUNAS Y TOXOIDES
FARMACIA SAN PABLO,FARMACIA,HIDALGO NO.1-5,CENTRO,54000,TLALENPATNLA,EDO. DE MEXICO,15104090158,17-dic-07,"PSICOTROPICOS VACUNAS TOXOIDES 
BIOLOGICOS Y HEMODERIVADOS SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA WAL MART SUPER CENTER LAGO DE GUADALUPE,FARMACIA,CARR.LAGO DE GUADALUPE S/N LT-2,SAN PEDRO BARRIENTOS,54010,TLALENPATNLA,EDO. DE MEXICO,15104090210,24-May-10,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA SAMS CLUB LAGO DE GUADALUPE,FARMACIA,CARR.LAGO DE GUADALUPE S/N LT-2,SAN PEDRO BARRIENTOS,54010,TLALENPATNLA,EDO. DE MEXICO,15104090209,24-May-10,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA CON VENTA DE MEDICAMENTOS  CONTROLADOS,FARMACIA,JOSEFA ORTIZ DE DOMINGUEZ NO.9,SANTA ROSA,54160,TLALENPATNLA,EDO. DE MEXICO,15104090218,23-ene-11,"PSICOTROPICOS VACUNAS TOXOIDES 
HEMODERIVADOS"
FARMACIA DE DIOS,FARMACIA,AV. DE LAS FUENTES NO.1,JARDINES DE BELLA VISTA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090200,23-Mar-11,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA DE AHORRO,FARMACIA,GUSTAVO BAZ NO.2201,CENTRO INDUSTRIAL,54030,TLALENPATNLA,EDO. DE MEXICO,15104090105,11-Mar-11,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA DE DIOS,FARMACIA,HIDALGO NO.9,MIGUEL HIDALGO,54060,TLALENPATNLA,EDO. DE MEXICO,15104090102,22-Mar-11,"PSICOTROPICOS VACUNAS TOXOIDES 
HEMODERIVADOS"
CONTROLADORA DE FARMACIAS SAPI DE C.V.,FARMACIA,"BLVD.QUERETARO FRACC A CALLE8 
LOC 217 218 219",VIVEROS DEL VALLE,54060,TLALENPATNLA,EDO. DE MEXICO,15104090020,23-Mar-11,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
CONTROLADORA DE FARMACIAS SAPI DE C.V.,FARMACIA,"AV.CONVENTO DE SANTA MONICA 
NO.55",JARDINES DE SANTA MONICA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090025,23-Mar-11,"PSICOTROPICOS VACUNAS TOXOIDES 
HEMODERIVADOS"
FARMACIA,FARMACIA,AV.POPOCATEPETL NO.96,FRACCIONAMIENTO LOS PIRULES,54040,TLALENPATNLA,EDO. DE MEXICO,15104090239,28-Nov-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
HOSPITAL GENERAL REGIONAL NO 72,BOTICA,AVENIDA FILIBERTO GOMEZ S/N,INDUSTRIAL TLALNEPANTLA,54030,TLALENPATNLA,EDO. DE MEXICO,15104100237,12-Nov-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA INTRAHOSPITALARIA DE CLINICA LEO,FARMACIA INTRAHOSPIT,AALAVRENIAIDA CUAUHTEMOC NO 40,SAN JAVIER,54030,TLALENPATNLA,EDO. DE MEXICO,15104090236,07-Nov-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIAS DEL AHORRO,FARMACIA,AVENIDA HIDALGO NO.1020,LA ROMANA,54030,TLALENPATNLA,EDO. DE MEXICO,15104090235,08-Oct-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
"FARMACIAS ELVIRA CON VENTA DE MEDICAMENTOS 
CONTROLADOS",FARMACIA,AVENIDA SAN MIGUEL CHALMA NO.32,SAN MIGUEL CHALAM,54140,TLALENPATNLA,EDO. DE MEXICO,15104090234,28-ago-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
BOTICA,BOTICA,BLVD.MANUEL AVILA CAMACHO S/N,SAN LUCAS TEPETLACALCO,54055,TLALENPATNLA,EDO. DE MEXICO,15104090231,24-abr-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA CON VENTA DE MEDICAMENTOS CONTROLADOS,FARMACIA,"CONVENTO DE ACOLMAN NO 90 LOCAL 
2",JARDINES DE SANTA MONICA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090227,29-Feb-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA CON VETA DE MEDICAMENTOS CONTROLADOS,FARMACIA,AVENIDA DE LOS MAESTROS NO 56,"AMPLIACION SAN ANDRES 
ATENCO",54040,TLALENPATNLA,EDO. DE MEXICO,15104090229,21-Mar-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA CON VETA DE MEDICAMENTOS CONTROLADOS,FARMACIA,"AVENIDA DE LAS FUENTES NO 1 LOTE 7 
LOCAL 7",JARDINES DE BELLA VISTA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090228,21-Mar-12,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA FARMATODO SUCURSAL LACAÑADA,FARMACIA,AVENIDA DE LAS FUENTES NO 1,JARDINES DE BELLA VISTA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090254,31-May-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA FARMATODO SUCURSAL VIVEROS,FARMACIA,"BOULEVARD QUERETARO FRACCION A 
CALLE 8 LOCAL 217 218 219",VIVEROS DEL VALLE,54060,TLALENPATNLA,EDO. DE MEXICO,15104090253,31-May-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA FARMATODO SUCURSAL SANTA MONICA,FARMACIA,"AV.CONVENTO DE SANTA MONICA NO 
55",JARDINES DE SANTA MONICA,54050,TLALENPATNLA,EDO. DE MEXICO,15104090252,31-May-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA LIFESTYLE S.A. DE C.V.,FARMACIA,AVENIDA JALISCO NO 210,FRACCIONAMIENTO JACARANDAS,54050,TLALENPATNLA,EDO. DE MEXICO,15104090250,30-May-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
PHARMA CLUB S.A. DE C.V. SUCURSAL SANTA MONICA,FARMACIA,"AVENIDA CONVENTOS DE SANTA 
MONICA NO.50-C","FRACCIONAMIENTO JARDINES DE 
SANTA MONICA",54050,TLALENPATNLA,EDO. DE MEXICO,15104090249,16-May-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA LUPITA,FARMACIA,PUERTOS MEXICANOS NUMERO 8,"AMPLIACION LOMAS DE SAN 
ANDRES TENCO",54040,TLALENPATNLA,EDO. DE MEXICO,15104090248,24-abr-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA MEDIBRYS,FARMACIA,LERDO DE TEJADA NUMERO 43,SAN JUAN IXHUATEPEC,54180,TLALENPATNLA,EDO. DE MEXICO,15104090246,21-Mar-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA ANGELA DALILA OROZCO HERNANDEZ,FARMACIA,ABASOLO  NUM 20,MIGUEL HIDALGO,54060,TLALENPATNLA,EDO. DE MEXICO,15104090245,01-Mar-13,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA GUDALAJARA S.A. DEC.V.,FARMACIA,"AVENIDA GUSTAVO BAZ NUMERO 22 
LOCALES 1,2 Y 3",TEQUESQUINAHUAC,54020,TLALENPATNLA,EDO. DE MEXICO,15104090244,26-Feb-16,"ESTUPEFACEINTES PSICOTROPICOS 
VACUNAS TOXOIDES HEMODERIVADOS 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
