"BOTICA UNIDAD DE MEDICINA 
FAMILIAR NO. 35.",BOTICA,"GRACIANO SANCHEZ S/N E/MANUEL 
M. DIEGUEZ 
Y BENJAMIN HILL.","ZONA EJIDAL, PUEBLO 
YAQUI.",85200,CAJEME,SONORA,26-018-10-0027,28-oct.-14,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"UNIDAD DE MEDICINA FAMILIAR NO. 
36 QUETCHEHUECA",BOTICA,"GRAL. LAZARO CARDENAS Y 
CALLEJON 31 DE OCTUBRE S/N.",QUETCHEHUECA.,85207,CAJEME,SONORA,26-018-10-0020,12-mar.-09,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA
 DE LA UNIDAD 
ATENCION INTEGRAL",BOTICA,"CALLE BASE KM. 3.5 TRAMO 
PROVIDENCIA-BACUM.","PROVIDENCIA,",85000,CAJEME,SONORA,26-018-10-0025,31-may.-12,PSICOTRÒPICOS (GRUPO II Y III).
"A LAS 
FARMACIA SANTAFE SUC. VICAM",FARMACIA,"AVE. NAINARI Y LAZARO MERCADO 
S/N.","CENTRO, VICAM.",85510,CAJEME,SONORA,26-018-09-0156,17-may.-13,"PSICOTRÒPICOS (GRUPO II y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMASNTE,FARMACIA,"BLVD. CASA BLANCA #2701 ESQ. 
CASANOVA.",CASA BLANCA.,85134,CAJEME,SONORA,26-018-09-0178,05-sep.-15,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA WALMART CARRETERA 
INTERNACIONAL OBREGON",FARMACIA,"SUFRAGIO EFECTIVO #901 SUR ESQ. 
CARRETERA INTERNACIONAL.","URBANIZABLE 1 
AMPLIACION.",85000,CAJEME,SONORA,26-018-09-0147,22-dic.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
DROGUERIA SIFARMA,DROGUERIA,"CALIFORNIA #601 ESQ. CON NIÑOS 
HEROES",CENTRO,85000,CAJEME,SONORA,26-018-11-0008,28-sep.-16,PSICOTRÒPICOS (GRUPO II Y III).
"FARMACIAS BENAVIDES SUC. LA 
CAMPAÑA.",FARMACIA,"BLVD. LAZARO GUTIERREZ DE LARA 
NO. M1 E/PINALITO Y ELISA.",MINERA II.,84624,CANANEA,SONORA,26-019-09-0020,06-ene.-15,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
CANANEA CENTRO.",FARMACIA,AVENIDA JUAREZ Y SEPTIMA S/N.,CENTRO.,84620,CANANEA,SONORA,26-019-09-0019,04-sep.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA DEL COBRE, S.A. DE 
C.V.",FARMACIA,"CALLE TERCERA ESTE Y CALLEJON 
MORELOS S/N.",CENTRO.,84620,CANANEA,SONORA,26-019-09-0005,31-oct.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIAS BENAVIDES SUC. 
CANANEA.",FARMACIA,QUINTA ESTE #20.,CENTRO.,84620,CANANEA,SONORA,26-019-09-0012,16-ago.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DE LA UNIDAD DE 
CONSULTA EXTERNA Y DE 
MEDICINA GENERAL.",FARMACIA,AVE. JUAREZ #7.,CENTRO.,84620,CANANEA,SONORA,26-019-10-0005,27-feb.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DEL HOSPITAL 
COMUNITARIO DE CANANEA.",FARMACIA,"AVE. OBREGON S/N E/PRIMERA Y 
SEGUNDA.",CENTRO.,84620,CANANEA,SONORA,26-019-10-0007,11-abr.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
CANANEA DEL COBRE.",FARMACIA,"CARRETERA CANANEA-AGUA PRIETA 
S/N E/CALLE 4 Y CALLE 5.",INDUSTRIAL.,84623,CANANEA,SONORA,26-019-09-0018,30-ago.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA MI BODEGA AURRERA 
LAZARO GUTIERREZ.",FARMACIA,"BLVD. LAZARO GUTIERREZ DE LARA 
S/N E/CALLE 14 Y 15.",LINDAVISTA.,84623,CANANEA,SONORA,26-019-09-0015,01-nov.-10,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIAS CANANEA.,FARMACIA,"AVE. JUAREZ Y SEPTIMA ESTE NO. 
168.",CENTRO.,84620,CANANEA,SONORA,26-019-09-0006,28-ene.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA SONORA.,FARMACIA,"LA COLORADA Y 
MALAQUITA.",CENTRO.,84620,CANANEA,SONORA,26-019-09-0002,10-ene.-02,"PSICOTRÒPICOS(GRUPO II Y III), TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA SAN CARLOS.,FARMACIA,TERCERA OESTE #89.,CENTRO.,84620,CANANEA,SONORA,26-019-09-0008,21-jul.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL."
"FARMACIA GUADALUPANA DE 
CANANEA, S.A. DE C.V.",FARMACIA,"AVE. JUAREZ Y TERCERA OESTE NO. 
49.",RONQUILLO.,84624,CANANEA,SONORA,26-019-09-0007,27-may.-03,PSICOTRÒPICOS (GRUPO II Y III).
"BOTICA HOSPITL ISSSTE 
CANANEA.",BOTICA,"CALLE REPÚBLICA S/N E/CAMPO 
FRIO Y SIERRA DEL COBRE.",MINERA SECCION ESTE.,84624,CANANEA,SONORA,26-019-10-0004,29-ago.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA ISSSTESON CANANEA.,BOTICA,"CALLE TERCERA ESTE S/N E/CJON 
MORELOS Y AVE. JUAREZ.",CENTRO.,84620,CANANEA,SONORA,26-019-10-0006,28-feb.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DE LA UNIDAD DE 
MEDICINA 
FAMILIAR NO. 55.",BOTICA,"CALLE CAMPO FRIO Y SIERRA DEL 
COBRE S/N.",MINERA II.,84624,CANANEA,SONORA,26-019-10-0002,16-oct.-09,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIAS BENAVIDES, SUC. 
TALAMANTES.",FARMACIA,"JOSEFA ORTIZ DE DOMINGUEZ Y 
AVE. SEBERIANO TALAMANTES.",CENTRO.,85820,CANANEA,SONORA,26-042-09-0027,26-abr.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIAS BENAVIDES SUC. 
EMPALME.",FARMACIA,"REFORMA #16 E/NIÑOS HEROES Y 
MORELOS.",MODERNA.,85300,EMPALME,SONORA,26-025-09-0006,14-may.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
REVOLUCION.",FARMACIA,"AVE. REVOLUCION S/N ESQ. CON 
IGNACIO RAMIREZ.",MODERNA.,85330,EMPALME,SONORA,26-025-09-0019,19-nov.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
BOTICA IMSS.,BOTICA,FERROCARIRIL S/N.,MODERNA.,85330,EMPALME,SONORA,26-025-10-0001,14-jul.-04,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS ,TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,
 HEMODERIVADOS."
FARMACIA LUZ.,FARMACIA,"LOTE 17 MANZANA 30 HEROES DE 
NACOZARI E HIDALGO.",MODERNA.,85330,EMPALME,SONORA,26-025-09-0005,05-jul.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA SANTAFE SUC. REGIS 
EMPALME.",FARMACIA,"AVE. REFORMA S/N Y CALLEJON 
ABASOLO.",MODERNA.,85330,EMPALME,SONORA,26-025-09-0018,17-ene.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DE LA UNIDAD DE 
MEDICINA FAMILIAR NO. 13.",BOTICA,"CARRETERA A ORTIZ SALIDA BELL 
S/N.",LA PALMA.,85525,EMPALME,SONORA,26-025-10-0004,09-dic.-13,"PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
"BOTICA CENTRO DE SALUD 
ETCHOJOA.",BOTICA,GUERRERO #23.,ETCHOJOA.,85280,ETCHOJOA,SONORA,26-026-10-0001,21-jun.-02,PSICOTRÒPICOS (GRUPO II Y III).
"FARMACIA PLAZA DEL SOL S.A. DE 
C.V.",FARMACIA,"LAZARO CARDENAS Y 
GUSTAVO 
BELTRAN MARTINEZ.",CENTRO.,85281,ETCHOJOA,SONORA,26-026-09-0002,06-jun.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
ETCHOJOA.",FARMACIA,"BLVD. HIDALGO S/N Y BLVD. 
RAFAELA RODRIGUEZ.",CENTRO.,85280,ETCHOJOA,SONORA,26-026-09-0012,29-ene.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. CENTRO 
BACOBAMPO.",FARMACIA,"ALVARO OBREGON S/N Y 
CHIHUAHUA.",BACOBAMPO.,85281,ETCHOJOA,SONORA,26-026-09-0009,07-mar.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA MI BODEGA AURRERA 
SONOYTA.",FARMACIA,"BLVD. FRANCISCO EUSEBIO KINO #52 
E/
CONSTITUCION 
Y 
2 DE FEBRERO.",CENTRO.,83570,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-09-0015,18-jun.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA DE 
DESCUENTO 
SUC. EUSEBIO KINO.",FARMACIA,"BLVD. FCO. EUSEBIO KINO #44-
BE/LTAR Y GASOLINERA.",CENTRO.,83570,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-09-0008,19-jun.-07,"VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
SONOYTA.",FARMACIA,"BLVD. BENEMERITO DE LAS 
AMERCIAS #878 Y ALTAR.",CENTRO.,83570,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-09-0014,23-mar.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SAN LUIS.,FARMACIA,"BLVD. FRANCISCO EUSEBIO KINO Y 
16 DE SEPTIEMBRE #51.",CENTRO.,83570,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-09-0002,13-dic.-01,"PSICOTRÒPICOS (GRUPO II Y III), VCUNAS, TOXOIDES, HEMODERIVADOS."
BOTICA DEL I.M.S.S.,BOTICA,"CALLE JESUS GARCIA Y CALZADA 
PAPAGO S/N.",CENTRO.,83571,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-10-0001,22-ene.-04,PSICOTRÒPICOS (GRUPO II Y III).
FARMACIA CELIZ.,FARMACIA,"BLVD. BENEMERITO DE LAS 
AMERICAS #30, COL. CENTRO.",SONOYTA.,83570,"GENERAL PLUTARCO ELIAS 
CALLES",SONORA,26-070-09-0001,07-nov.-01,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, HEMODERIVADOS."
BF FARMACIA 24 HORAS.,FARMACIA,CALLE 15 ESQ. AVE. SERDAN.,CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0023,27-jul.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL."
"FARMACIAS BENAVIDES SUC. SAN 
VICENTE.",FARMACIA,"BLVD. BENITO JUAREZ S/N ESQ. AVE. 
10.",SAN VICENTE.,85465,GUAYMAS,SONORA,26-029-09-0030,26-oct.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
VICTOR HUGO LOPEZ LOPEZ,BOTICA,"AVE. ABELARDO L. RODRIGUEZ #180-
3.",CENTRO.,85400,GUAYMAS,SONORA,26-029--10-0010,17-oct.-08,PSICOTRÒPICOS (GRUPO II Y III).
"FARMACIAS BENAVIDES SUC. 
CALLE 12.",FARMACIA,"AVE. SERDAN #454 ESQ. CON CALLE 
12.",CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0026,17-abr.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA BAHIA SAN CARLOS.,FARMACIA,"PLAZA DE LA MAR 3 Y BLVD. 
BELTRONES.",SAN CARLOS.,85506,GUAYMAS,SONORA,26-029-09-0024,07-ago.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
"FARMACIAS BENAVIDES SUC. 
PLAZA LA JOYA.",FARMACIA,"BLVD. AGUSTIN GARCIA LOPEZ #1975 
ESQ. 
BENITO JUAREZ.",LAS JUNTAS.,85440,GUAYMAS,SONORA,26-029-09-0061,18-dic.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIAS BENAVIDES SUC. 
GUAYMAS.",FARMACIA,AVE. SERDAN #144 E/CALLE 18 Y 19.,CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0027,17-abr.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DEL HOSPITAL NAVAL DE 
GUAYMAS.",BOTICA,TETABIATE Y BACATETE.,SAHUARIPA.,85430,GUAYMAS,SONORA,26-029-10-0008,11-oct.-06,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
DADIVITAN A.C.,BOTICA,CALLE 11 AVE. 6.,CENTRO.,85400,GUAYMAS,SONORA,26-029-10-007,19-abr.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
AQUILES SERDAN.",FARMACIA,"AQUILES SERDAN #25 E/CALLES 20 Y 
21.",CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0063,15-may.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
DIANA LAURA.",FARMACIA,MAR DEL NORTE #67 Y DIANA LAURA.,"LUIS DONALDO 
COLOSIO.",85424,GUAYMAS,SONORA,26-029-09-0058,20-jun.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
MIRAMAR.",FARMACIA,"LUIS ENCINAS JHONSON #664 Y 
FELIPE BARCENAS SANTINI.",PETROLERA.,85456,GUAYMAS,SONORA,26-029-09-0057,20-jun.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"FARMACIA GUADALAJARA SUC. 
BLVD. BENITO JUAREZ.",FARMACIA,"BLVD. BENITO JUAREZ #900-A 
E/BRILLANTE Y TURQUESA.",GUADALUPE.,85440,GUAYMAS,SONORA,26-029-09-0064,19-may.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
HOSPITAL BASICO DE GUAYMAS.,BOTICA,"CALLE 12 AVE. 7 Y 8, COL. CENTRO.",CENTRO.,85400,GUAYMAS,SONORA,26-029-10-0001,21-mar.-02,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III)."
BOTICA I.M.S.S. VILLAS.,BOTICA,"BLVD. BENITO 
JUAREZ S/N.",LAS VILLAS.,85440,GUAYMAS,SONORA,26-029-10-0006,05-abr.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, HEMODERIVADOS."
"FARMACIA 
I.S.S.S.T.E.SON.",FARMACIA,"BLVD. BENITO JUAREZ E/RIO MAYO Y 
GILBERTO CALLES.",MIGUEL HIDALGO.,85400,GUAYMAS,SONORA,26-029-09-0028,17-ago.-07,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES, 
HEMODERIVADOS."
"BOTICA DE LA CLINICA HOSPTAL 
""A"" ISSSTE GUAYMAS.",BOTICA,ENSENADA GRANDE Y AGIBAMPO.,FOVISSSTE.,85440,GUAYMAS,SONORA,26-029-10-0004,04-feb.-05,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS ,TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,
 HEMODERIVADOS."
BOTICA I.M.S.S.,BOTICA,CALLE 10 AVENIDA 6.,CENTRO.,85400,GUAYMAS,SONORA,26-029-10-0001,18-oct.-01,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS ,TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL,
 HEMODERIVADOS."
ALMACEN I.S.S.S.T.E.SON.,BOTICA,"GILVERTO CALLES #19 E/BLVD. 
BENITO JUAREZ Y SIN NOMBRE.",MIGUEL HIDALGO.,85440,GUAYMAS,SONORA,26-029-10-0009,17-abr.-08,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA JOIJITTOAM.,FARMACIA,"LAZARO CARDENAS S/N, COL. 
CENTRO.",VICAM.,85510,GUAYMAS,SONORA,26-029-09-0051,10-jun.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA LEON.,FARMACIA,"CARRETERA 
INTERNACIONAL
 KM. 1982 CF.",LAS VILLAS.,85440,GUAYMAS,SONORA,26-029-09-0025,10-ago.-06,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA MERCADO SORIANA 
PLAZA DIEZ.",FARMACIA,VE. XIV #509 E/CALLE 10 Y CALLE 11.,CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0052,06-nov.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA DE LA OFERTA.,FARMACIA,"AQUILES SERDAN #485 E/CALLE 11 Y 
CALLE 12.",CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0041,01-mar.-10,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"DROGUERIA SUPER FARMACIA 
LEON.",DROGUERIA,"SERDAN #102 E/AVE. SERDAN Y 19 
ESQ.",CENTRO.,85400,GUAYMAS,SONORA,26-029-11-0001,13-nov.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA SAM`S GUAYMAS.,FARMACIA,"CARRET. MEXICO-NOG. KM. 1982 
#1400 E/D. CAZADORA Y ELEKTRA.",LOMA LINDA.,85420,GUAYMAS,SONORA,26-029-09-0050,03-mar.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
GIGANTE.",FARMACIA,"AVE. SERDAN #53 INTERIOR TIENDA 
E/CALLE 19 Y CALLE 20.",CENTRO.,85400,GUAYMAS,SONORA,26-029-09-0062,09-abr.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. LOS 
JITOS.",FARMACIA,"BLVD. MANLIO FABIO BELTRONES 
LOC-4 PLAZA LOS JITOS.",COUNTRY CLUB.,85506,GUAYMAS,SONORA,26-0129-09-0054,21-dic.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
DELICIAS.",FARMACIA,"CALZADA AGUSTIN GARCIA LOPEZ 
#630 LOC-1.",AURORA.,85420,GUAYMAS,SONORA,26-029-09-0055,22-dic.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. LAS 
VILLAS.",FARMACIA,"BLVD. BENITO JUAREZ S/N Y PASEO 
LAS VILLAS.",LAS VILLAS.,85440,GUAYMAS,SONORA,26-029-09-0048,22-dic.-10,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
TIENDAS SORIANA.,FARMACIA,BLVD. BENITO JUAREZ NO. 910.,"AMPLIACION 
GUADALUPE.",85440,GUAYMAS,SONORA,26-029-09-009,02-jun.-04,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA U.M.F.C. HOSPITAL NO. 11.,BOTICA,CALLE BENITO JUAREZ NO. 22.,VICAM.,85512,GUAYMAS,SONORA,26-029-10-0008,06-ago.-04,"PSICOTRÒPICOS (GRUPO II Y III), SUEROS DE ORIGEN ANIMAL."
