ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA LOS ANGELES,FARMACIA,LAZARO CARDENAS No. 100,CENTRO,69700,SANTIAGO JUXTLAHUACA,OAXACA,2068010884,23-may.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II"
FARMACIA DE LA UNIDAD DE MEDICINA FAMILIAR No. 30,FARMACIA,16 DE SEPTIEMBRE No. 47,LAS FLORES,70180,SAN PEDRO TAPANATEPEC,OAXACA,2068010885,13-jun.-16,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA INSTITUTO MEXICANO DEL SEGURO SOCIAL,FARMACIA,"CARRETERA A CALPULALPAM KM 
1.5 S/N",COL. BARRIO LA ASUNCION,68725,IXTLAN DE JUAREZ,OAXACA,2068010886,15-jun.-16,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA CONSULTORIO TEHUANTEPEC,FARMACIA,"AV. JUANA C. ROMERO N. 19, 
ESQ. GUERRERO",BARRIO SAN SEBASTIAN,70760,STO. DOMINGO TEHUANTEPEC,OAXACA,2068010249,27-jun.-16,"CON VENTA DE PSICOTROPICOS GRUO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL DE LA COMUNIDAD DE VILLA SOLA DE 
VEGA OAXACA",FARMACIA,DOMICILIO CONOCIDO S/N,PARAJE CHINIGUE,71410,VILLA SOLA DE VEGA,OAXACA,2068010887,14-jul.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"NUEVA WAL MART DE MEXICO S DE R.L. DE C.V./FARMACIA MI 
BODEGA AURRERA MIAHUATLAN",FARMACIA,"SEGUNDA DE 
NETZAHUALCOYOTL No. 202",BARRIO CHICO,70805,MIAHUATLAN DE PORFIRIO DIAZ,OAXACA,2068010888,15-ago.-16,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
SURTIDORA QUIMICA MEDICA,FARMACIA,"20 DE NOVIEMBRE ESQ. NUÑO 
DEL MECADO No. 824",CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010890,20-sep.-16,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
FARMACIA DE JESUS,FARMACIA,BENITO JUAREZ No. 20,SANTIAGO MATATLAN,70440,OAXACA,OAXACA,2068010399,19-abr.-98,CON VENTA DE PSICOTROPICOS
MI FARMACIA OCOTLAN,FARMACIA,AV. MORELOS No. 409-b,CENTRO,71510,OCOTLAN DE MORELOS,OAXACA,2068010889,05-sep.-16,CON VENTA DE PSICOTROPICOS GRUPO II Y III
COMERCIALIZADORA DE MARCAS CASMA S.A. DE C.V.,FARMACIA,"CARRETERA INTERNACIONAL 
CRISTOBAL COLON No. 201-A",SANTA ROSA PANZACOLA,68039,OAXACA,OAXACA,2068010891,03-oct.-16,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VAUNAS, TOXOIDES, 
SUEOS, ANITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
2017,,,,,,,,,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II"
"COMERCIALIZADORA FARMACEUICA DE CHIAPAS SAPI DE 
C.V./FARMACIA DEL AHORRO",FARMACIA,PORTAL HIDALGO No. 2,CENTRO,71150,OCOTLAN DE MORELOS,OAXACA,2068010893,28-feb.-17,"Y III, VACUNAS, TOOIDES, SUEOS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
VIRGINIA ZENAIDA MIGUEL HENANDEZ/FARMACIA ALFA Y OMEGA,FARMACIA,ALFONSO LOPEZ ARENAS S/N,BARRIO LA PEÑA,69600,ASUNCION NOCHIXTLAN,OAXACA,2068010894,28-feb.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS  GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V./FARMACIA MI 
BODEGA AURRERA PUTLA",FARMACIA,TAMAULIPAS S/N,LA ASUNCION,71006,PUTLA VILLA DE GUERRERO,OAXACA,2068010895,24-mar.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"FARMACEUTICA NA BOLON, S.A. DE C.V.",FARMACIA,"BOULEVARD BICENTENARIO NO. 
1745",5 DE FEBRERO,68375,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010897,15-may.-17,CON VENTA DE PSICOTROPICOS GRUPO II Y III Y HEMODERIVADOS
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,"BOULEVARD BENITO JUAREZ No. 
680",LA PIRAGUA,68380,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010898,22-may.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,AV. BENITO JUAREZ No. 111,CENTRO,71600,SANTIAGO PINOTEPA NACIONAL,OAXACA,2068010899,25-may.-17,CON VENTA DE PSICOTROPICOS GRUPOII Y III Y VACUNAS
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,POTAL FLORIDA S/N LOTE 2,CENTRO,70403,TLACOLULA DE MATAMOROS,OAXACA,2068010900,26-may.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
VIRIDIANA MICAELA ESTEVEZ SALAZAR/FARMACIA SAN JORGE,FARMACIA,5 DE FEBRERO No. 9,CENTRO,69000,HUAJUAPAN DE LEON,OAXACA,2068010901,16-jun.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL BASICO COMUNITARIO DE ASUNCION NOCHIXTLAN",FARMACIA,"AV. LAZARO CARDENAS S/NINT. 1-
A",BARRIO LA PEÑA,69600,ASUNCION NOCHIXTLAN,OAXACA,2068010902,14-jul.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCIONES II Y III"
"OFELIA NELIDA ZUÑIGA MARTINEZ/FARMACIA ""FARMA Y MAS""",FARMACIA,AVENIDA OAXACA No. 502-B,SECTOR JUAREZ,71984,"PUERTO ESCONDIDO, SAN 
PEDRO MIXTEPEC",OAXACA,2068010903,14-jul.-17,"CON VENTA DE ESTUPEFACIENTES  FRACCION I Y PSICOTROPICOS 
FRACCIONES II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
CESSA ASUNCION NOCHIXTLAN",FARMACIA,"CALLE FELIX DIAZ No. 04 INT. A,",BARRIO LA PEÑA,69600,ASUNCION NOCHIXTLAN,OAXACA,2068010904,19-jul.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCIONES II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL GENERAL HUAJUAPAN DE LEON",FARMACIA,"AV. VENUSTIANO  CARRANZA  
No. 64 INT. 1-A",ALTAVISTA DE JUAREZ,69000,HUAJUAPAN DE LEON,OAXACA,2068010905,19-jul.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCIONES II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL GENERAL HUAJUAPAN DE LEON",FARMACIA,"AV. VENUSTIANO  CARRANZA  
No. 64 INT. 1-A",ALTAVISTA DE JUAREZ,69000,HUAJUAPAN DE LEON,OAXACA,2068010905,19-jul.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCIONES II Y III"
DISTRIBUIDORA DISUR S.A. DE C.V.,FARMACIA,"DR. JESUS KUMATE RODRIGUEZ 
S/N INT. 1-A",BARRIO DE GUADALUPE,71270,SAN PABLO HUIXTEPEC,OAXACA,2068010906,17-ago.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES FRACCION I, 
PSICOTROPICOS FRACCIONES II Y III."
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,"EDUARDO VASCONCELOS No. 
101",COLONIA PARAISO,68010,OAXACA DE JUAREZ,OAXACA,2068010907,17-ago.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,"AV. UNIVERSIDAD No. 505, 
INTERIR -A",EX HACIENDA CANDIANI,68130,OAXACA DE JUAREZ,OAXACA,2068010908,17-ago.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"COMERCIALIZADORA DE MARCAS CASMA S.A. DE C.V./FARMACIAS 
OMEGA SUCURSAL XOXOCOTLAN",FARMACIA,"BOULEVARD GUADALUPE 
HINOJOSA DE MURAT No. 600 BIS-
1",PALESTINA,71230,SANTA CRUZ XOXOCOTLAN,OAXACA,2068010909,24-ago.-17,PSICOTROPICOS GRUPOS II Y III
"DISTRIBUIDORA DIRUS S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL BASICO COMUNITARIO DE IXTLAN",FARMACIA,"VENUSTIANO CARRANZA S/N INT. 
1-A",BARRIO LA SOLEDAD,68725,IXTLAN DE JUAREZ,OAXACA,2068010910,05-sep.-17,"CON VENTA DE BIOLOGICO, ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL GENERAL DE CIUDAD IXTEPEC",FARMACIA,"CARRETERA A IXTEPEC-
CHIHUITAN KM 2.5 S/N INT. 1-A 
RAYMUNDO MELENDEZ",RAYMUNDO MELENDEZ,70110,CIUDAD IXTEPEC,OAXACA,2068010911,05-sep.-17,"CON VENTA DE BIOLOGICO, ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO II Y III"
"GRUPO HSL SERVICIOS DE SALUD S. DE R.L. DE C.V./HOSPITAL 
SAN LUCAS",FARMACIA,BELISARIO DOMINGUEZ No. 202,REFORMA,68050,OAXACA DE JUAREZ,OAXACA,2068010912,18-sep.-17,"CON VENTA DE ESTUPEFACIENTES FRACCION I, PSICOTROPICOS 
FRACCIONES II Y III, TOXOIDES, VACUNAS, SUEROS, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL GENERAL DE TUXTEPEC",FARMACIA,"SEBASTIAN ORTIZ No. 310 INT. 1-
A",MARIA LUISA,68320,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010913,20-sep.-17,"CON VENTA DE BIOLOGICO, ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL GENERAL DE SALINA CRUZ",FARMACIA,"CAMINO A SAN ANTONIO 
MONTERREY S/N INT. 1-A",SALINA CRUZ,70701,SALINA CRUZ,OAXACA,2068010914,20-sep.-17,"CON VENTA DE BIOLOGICO, ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPO II Y III"
PEDRO JUAREZ CRUZ/FARMACIA JUAREZ,FARMACIA,INSURGENTES No. 155,CENTRO,71050,SANTA MARIA ZACATEPEC,OAXACA,2068010915,28-sep.-17,"ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
CESSA TEOTITLAN DEL VALLE",FARMACIA,"AV. JUAREZ KM 2 S/N, INT. 1-A",SECCION 5TA,70420,TEOTITLAN DEL VALLE,OAXACA,2068010916,28/09/017,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES GRUPO I, 
PSICOTOPICOS GRUPO II Y III"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,CALZADA PORFIRIO DIAZ No. 240,CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010917,07-nov.-17,"CON VENTA DE PSICOTROPICOS FRACCIONES II Y III, TOXOIDES, 
VACUNAS, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.PI. DE C.V. 
/FARMACIAS DEL AHORRO",FARMACIA,"BOULEVARD EDUARDO 
VASCONCELOS No. 521",MODULO I. JALATLACO,68080,OAXACA DE JUAREZ,OAXACA,2068010918,21-nov.-17,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"TIENDAS CHEDRAUI S.A. DE C.V./FARMACIA DE TIENDAS CHEDRAUI 
XOXOCOTLAN",FARMACIA,"BOULEFARD GUADALUPE 
HINOJOSA DE MURAT NO. 215",SANTA CRUZ XOXOCOTLAN,71230,OAXACA DE JUAREZ,OAXACA,2068010919,27-nov.-17,PSICOTROPICOS GRUPO II Y III
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL BASICO COMUNITARIO DE LOMA BONITA",FARMACIA,CUAUHTEMOC S/N INT. 1-A,"JOSEFA ORTIZ DE DOMINGUEZ SEGUNDA 
SECCION",68400,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,2068010920,08-dic.-17,"CON VENTA DE BIOLOGICOS, ESTUPEFACIENTES GRUPO I, 
PSICOTROPICOS GRUPOS II Y III"
2018,,,,,,,,,
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE 
C.V./FARMACIA DEL AHORRO SUCURSAL JUCHITAN",FARMACIA,"AV. 5 DE SEPTIEMBRE S/N,",CUARTA SECCION,70000,"HEROICA CIUDAD DE JUCHITAN 
DE ZARAGOZA",OAXACA,2068010921,16-ene.-18,"CON VENTA DE ESTUPEFACIENTEES GRUPO I, PSICOTROPICOS GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE 
CV/FARMACIAS DEL AHORRO SUCURSAL JUCHITAN II",FARMACIA,"AV. DE PROLONGACION DE 16 DE 
SEPTIEMBRE No. 25",FELIPE PESCADOR,70000,"HEROICA CIUDAD DE JUCHITAN 
DE ZARAGOZA",OAXACA,2068010922,16-ene.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"DISTRIBUIDORA DISUIR S.A. DE C.V./FARMACIA DISUR INT. 
HOSPITAL BASICO COMUNITARIO DE CHALCATONGO",FARMACIA,"AV. INSURGENTES-CARRETERA 
A YOSONDUA S/N, INTERIOR  1-A",CENTRO,71100,CHALCATONGO DE HIDALGO,OAXACA,2068010923,28-mar.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA  DISUR INT. 
HOSPITAL BASICO COMUNITARIO DE SANTIAGO TAMAZOLA",FARMACIA,"AV. INDEPENDENCIA SUR S/N, 
INTERIOR 1-A",BARRIO GUADALUPE,69100,SANTIAGO TAMAZOLA,OAXACA,2068010924,28-mar.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR INT. 
HOSPITAL BASICO COMUNITARIO DE NEJAPA DE MADERO",FARMACIA,"NIÑO ARTILLERO S/N, INT. 1-A",MORELOS,70531,NEJAPA DE MADERO,OAXACA,2068010925,28-mar.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOOIDES, SUEROS ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR INT. 
HOSPITAL GENERAL PUTLA VILLA DE GUERRERO",FARMACIA,"CARRETERA PEREZ GAZGA 
PUTLA-PINOTEPA KM 174.4-A S/N 
1-A",CENTRO,71000,PUTLA  VILLA DE GUERRERO,OAXACA,2068010926,28-mar.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
SILVIA ESTELA ZARATE GONZALEZ/FARMACIA POPULAR,FARMACIA,HIDALGO No. 2,CENTRO,71000,PUTLA VILLA DE GUERRERO,OAXACA,2068010927,06-abr.-18,CON VENTA DE PSICOTROPICOS GRUPOS II Y III
"INSTITUTO MEXICANO DEL SEGURO SOCIAL/FARMACIA DEL 
HOSPITAL RURAL EN SAN ILDEFONSO VILLLA ALTA",FARMACIA,CARRET. A TEMAXCALAPA KM 1.5,CENTRO,68800,SAN ILDEFONSO VILLA ALTA,OAXACA,2068010929,13-abr.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPOS 
II Y III"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL BASICO COMUNITARIO DE SANTA MARIA HUATULCO",FARMACIA,"CARRETERA JUAN DE LA 
BARRERA S/N INT. 1-A",BARRIO NUEVO,70980,SANTA MARIA HUATULCO,OAXACA,2068010930,19-abr.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"INSTITUTO MEXICANO DEL SEGURO SOCIAL/HOSPITAL RURAL 
PROSPERA",FARMACIA,TIERRA Y LIBERTAD No. 202,BARRIO JUAREZ NORTE,70300,MATIAS ROMERO AVENDAÑO,OAXACA,2068010931,19-abr.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE C.V.,FARMACIA,AV. JUAREZ 312 LOCAL 1 Y 2,CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010932,24-abr.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO 1, PSICOTROPICOS GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS."
"SECRETARIA DE GOBERNACION ORGANO ADMINISTRATIVO 
DESCONCENTRADO PREVENCION Y READAPTACION 
SOCIAL/FARMACIA DEL CENTRO FEDERAL DE READAPTACION 
SOCIAL No. 13 ""CPS-OAXACA""",FARMACIA,"CARET. FEDERAL A MENGOLI DE 
MORELOS KM 6. S/N",SAN FELIPE DE YEGACHIN,70800,MIAHUATLAN DE PORFIRIO DIAZ,OAXACA,2068010933,03-may.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE C.V.,FARMACIA,GALEANA No. 38,LA PROVIDENCIA,69000,"HEROICA CIUDAD DE 
HUAJUAPAN DE LEON",OAXACA,2068010934,15-may.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
MANOLO MARTINEZ GARCIA/FARMACIA OMEGA EXPRES,FARMACIA,"CALZ. NIÑOS HEROES DE 
CHAPULTEPEC No. 520-D",CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010935,25-may.-18,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL PSIQUIATRICO ""CRUZ DEL SUR""",FARMACIA,"CARRETERA A SOLA DE VEGA 
KM. 18.5 S/N INT. 1-A",REYES MANTECON,71257,SAN BARTOLO COYOTEPEC,OAXACA,2068010936,06-jun.-18,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
NERY DALILA MAZA GONZALEZ/FARMA OFERTA,FARMACIA,"AV. LIBERTAD No. 586-A,",CENTRO,68300,SAN BAUTISTA TUXTEPEC,OAXACA,2068010937,15-jun.-18,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, SUEROS, TOXOIDES Y 
HEMODERIVADOS"
"DIABE-MED. CLINICA ESPECIALIZADA EN EL TRATAMIENTO DE 
DIABETES Y NUTRICION S.A. DE C.V.",FARMACIA,AV. LAZARO CARDENAS No. 198,SAN SEBASTIAN TUTLA,71246,SAN SEBASTIAN TUTLA,OAXACA,2068010938,25-jun.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO 1, PSICOTROPICOS GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS."
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE 
C.V./FARMACIA DEL AHORRO SUCURSAL JUCHITAN/FARMACIA DEL 
AHORRO SUCURSAL  IXTEPEC",FARMACIA,AV. 16 DE SEPTIEMBRE No. 12,ESTACION,70110,CIUDAD IXTEPEC,OAXACA,2068010939,24-jul.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
VIRGINIA CALVO LOPEZ/FARMACIA ESPERANZA,FARMACIA,16 DE SEPTIEMBRE No. 11,CENTRO,70000,JUCHITAN DE ZARAGOZA,OAXACA,2068010940,25-jul.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A.P.I. DE 
C.V./FARMACIAS DEL AHORRO",FARMACIA,"ZONA MODULAR ORIENTE 
MODULO F LOCAL 68",COSIJOEZA,68090,OAXACA DE JUAREZ,OAXACA,2068010941,10-ago.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,"CARRETERA INTERNACINAL 
CRISTOBAL COLON No. 481",STA. ROSA PANZACOLA,68274,OAXACA DE JUAREZ,OAXACA,2068010942,28-ago.-18,"CON VENTA DE PSICOTROPICOS GRUPO II Y III , VACUNAS TOXOIDES, 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
FARMACIA GUADALAJARA S.A. DE C.V.,FARMACIA,EMILIANO ZAPATA No. 220,REFORMA,68050,OAXACA DE JUAREZ,OAXACA,2068010943,28-ago.-18,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA (INTERIOR) 
HOSPITAL BASICO COMUNITARIO DE VALLE NACIONAL",FARMACIA,"PROLG. DE BENITO JUAREZ S/N 
INT. 1-.A",EJIDO LA GRAN LUCHA,68480,"SAN JUAN BAUTISTA VALLE 
NACIONAL",OAXACA,2068010944,29-ago.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, ,PSICOTROPICOS GRUPO 
II Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"DISTRIBUIDORA DISUR S.A. DE C.V./FARMACIA DISUR (INTERIOR) 
HOSPITAL BASICO COMUNITARIO TEMASCAL SOYALTEPEC",FARMACIA,6 DE ENERO S/N  INT. 1-A,TIERRA Y LIBERTAD,68430,SAN MIGUEL SOYALTEPEC,OAXACA,2068010945,29-ago.-18,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
