ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V.",FARMACIA,"INT. CLINICA H. COMITAN 2A. SUR 
OTE. No. 30, L-A CENTRO",CENTRO,30000,COMITAN,CHIAPAS,07019090041,20/11/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DERMATOLOGICA Y 
BARIATRICA",FARMACIA,"1A. CALLE NORTE PONIENTE No. 68, 
COL. BARRIO DE GUADALUPE",BARRIO DE GUADALUPE,30020,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090042,28/11/2014,"I, II, III,"
"CUIDERM FARMACIA 
DERMATOLOGICA",FARMACIA,"AVENIDA CENTRAL NORTE DR. 
BELISARIO DOMINGUEZ 20B",COL. CENTRO,30000,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090043,28/11/2014,"SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS Y PREPARACIONES 
BACTERIANAS DE USO PARENTAL"
"FARMACIAS DE LA PIEDAD SUC. 
CENTRAL DE ABASTO",FARMACIA,"11 CALLE SUR PONIENTE No. 14, 
COL. CALZADA DEL PANTEON","COL. CALZADA DEL 
PANTEON",30028,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090046,10/06/2015,II Y III
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CATEDRAL COMITAN",FARMACIA,AVENIDA CENTRAL NORTE 1-A,COL. CENTRO,30000,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090048,29/10/2015,"I, II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIAS LA PIEDAD, SUC. SAN 
SEBASTIAN",FARMACIA,2A. AVENIDA ORIENTE SUR No. 110,COL. SAN SEBASTIAN,30029,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090049,21/12/2015,"II, III"
"FARMACIA DEL AHORRO SUCURSAL 
LA PILETA",FARMACIA,"BOULEVARD SUR DOCTOR BELISARIO 
DOMINGUEZ No. 83",COL. BARRIO LA PILETA,30029,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090052,18/04/2016,"II, III"
FARMACIA CON MAS SALUD,FARMACIA,7A. AVENIDA PONIENTE SUR S/N,BARRIO NICALOCOC,30068,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090054,04/07/2017,"I, II, III, VACUNAS Y TOXOIDES"
FARMACIA DERMATOLOGICA,FARMACIA,"9A. AVENIDA PONIENTE NORTE No. 
43",BARRIO SANTA CECILIA,30069,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090055,18/10/2017,"I, II, III,"
FARMACIAS LA PIEDAD,FARMACIA,"3a CALLE NORTE PONIENTE No. 57, 
COLONIA GUADALUPE, COMITÁN DE 
DOMÍNGUEZ.",COLONIA GUADALUPE,30020,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090056,15/03/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS FRACCIÓN II Y III, BIOLÓGICOS HEMODERIVADOS, 
VACUNAS, TOXOIDES, SUEROS Y ANTIXOTINAS DE ORIGEN ANIMAL"
"FARMACIA DEL AHORRO SUCURSAL 
MARIANO RUÍZ",FARMACIA,"BOULEVARD DE LAS 
FEDERACIONES ESQUINA CALLE 
EMILIANO ZAPATA S/N",COL. CENTRO,30077,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019090057,17/07/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: VACUNAS, SUEROS,  TOXOIDES,  ANTITOXINAS DE 
ORIGEN ANIMAL Y/O HEMODERIVADOS"
UNIDAD DE MEDICINA FAMILIAR,FARMACIA,"CALLE TEREZA RAMIREZ S/N,",FRACC. PRADO FLORESTA,,COPAINALA,CHIAPAS,07021090001,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DROGUERIA LA PIEDAD CON 
ELABORACION DE FORMULAS 
MAGISTRALES",FARMACIA,"2A. ORIENTE SUR No. 51 A,",BARRIO DE SAN SEBASTIAN,30029,"COMITAN DE 
DOMINGUEZ",CHIAPAS,07019110002,06/12/2017,"I, II, III"
"FARMACIA HOSPITALARIA HOSPITAL 
COPAINALA",FARMACIA,"2a. NORTE PONIENTE No.6,",BARRIO SANTA ANA,,COPAINALA,CHIAPAS,07021090002,29/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA EL FENIX COPAINALA,FARMACIA,2a. PONIENTE NORTE No.6,,,COPAINALA,CHIAPAS,07021090004,10/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO 
CHALCHIHUITAN",FARMACIA,"INTERIOR DEL HOSPITAL BASICO 
COMUNITARIO CHALCHIHUITAN, 
CALLE CAMPOSANTO S/N",COL. CHALCHIHUITAN,29850,CHALCHIHUITAN,CHIAPAS,07022090003,11/09/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC CHAMULA",FARMACIA,"INT. DEL HBC CHAMULA, AV. 
CUCHULUMTIK S/N",CENTRO,29201,CHAMULA,CHIAPAS,07023090003,15/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO CHAMULA",FARMACIA,"INT. DEL HOSPITAL BASICO 
COMUNITARIO SAN JUAN CHAMULA, 
CARRETERA CHENALO",COL. CENTRO,29320,CHAMULA,CHIAPAS,07023090006,11/09/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
UNIDAD MEDICA FAMILIAR,FARMACIA,"CALLE FRANCISCO SARABIA S/N,",BARRIO SANTA ELENA,,CHIAPA DE CORZO,CHIAPAS,07027090001,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. CHIAPA DE CORZO",FARMACIA,"AV. MEXICANIDAD CHIAPANECA INT. 
LOCAL 2",CENTRO,29160,CHIAPA DE CORZO,CHIAPAS,07027090006,23/07/2003,"II, III"
FARMACIA ESPERANZA,FARMACIA,AV. 21 DE OCTUBRE No.196,,,CHIAPA DE CORZO,CHIAPAS,07027090003,29/09/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA 14 DE 
SEPTIEMBRE",FARMACIA,"AV. DR. BELISARIO DOMINGUEZ S/N, 
CENTRO",CENTRO,,CHIAPA DE CORZO,CHIAPAS,07027090004,22/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA MONTERO,FARMACIA,5 DE FEBRERO No.84-B,,,CHIAPA DE CORZO,CHIAPAS,07027090005,10/02/1999,"I, II, III"
FARMACIA EL BUEN PASTOR,FARMACIA,CALLE 5 DE FEBRERO No. 392,COL. CENTRO.,29160,CHIAPA DE CORZO,CHIAPAS,07027090007,29/10/2013,"II, III"
SUPER CHE,FARMACIA,"CALZADA VICTORICO R. GRAJALES, 
1A. SECCION No. 5, COL. 
NANDAMBUA",NANDAMBUA,29160,CHIAPA DE CORZO,CHIAPAS,07027090008,21/02/2014,"II, III"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.21",FARMACIA,"CARRETERA TUXTLA-CHICOASEN 
KM.33,5",DOMICILIO CONOCIDO,29640,CHICOASEN,CHIAPAS,07029090001,04/09/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD RURAL CHILON",FARMACIA,"DOMICILIO CONOCIDO S/N, AURORA 
GRANDE",,,CHILON,CHIAPAS,07031090001,22/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD RURAL MEQUEJA",FARMACIA,"DOMICILIO CONOCIDO S/N, 
MEQUEJA",,,CHILON,CHIAPAS,07031090002,22/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL CENTRO 
DE SALUD PINABETAL",FARMACIA,"DOMICILIO CONOCIDO S/N, 
PINABETAL",,,CHILON,CHIAPAS,07031090003,22/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
RURAL JUAN SABINES VERAPAZ",FARMACIA,"DOMICILIO CONOCIDO S/N, JUAN 
SABINES VERAPAZ",,,CHILON,CHIAPAS,07031090004,22/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
CONCENTRADO RURAL",FARMACIA,"DOMICILIO CONOCIDO S/N,","BARRIO SAN ANTONIO 
CENTRO",,CHILON,CHIAPAS,07031090005,15/11/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA CENTRO DE 
SALUD RURAL YULUBMAX",FARMACIA,"DOMICILIO CONOCIDO S/N, 
YULUBMAX",,,CHILON,CHIAPAS,07031090006,25/11/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
RURAL DE GOLOTON",FARMACIA,"DOMICILIO CONOCIDO S/N, 
GOLOTON",,,CHILON,CHIAPAS,07031090007,09/12/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL CHILON",FARMACIA,MIGUEL HIDALGO No.37,CENTRO,29940,CHILON,CHIAPAS,07031090008,29/08/2013,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL INTEGRAL 
ESCUINTLA",FARMACIA,"CARRETERA ESCUINTLA-
ACAPETAHUA",,,ESCUINTLA,CHIAPAS,07032090001,19/04/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA EL FENIX ESCUINTLA,FARMACIA,ALVARO OBREGON S/N,,,ESCUINTLA,CHIAPAS,07032090002,04/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA ALOPATICA DE LA UNIDAD 
MEDICA FAMILIAR No. 26",FARMACIA,"CALLE ALLENDE ESQ. 20 DE 
NOVIEMBRE",COL. CENTRO,30600,ESCUINTLA,CHIAPAS,279,22/09/2000,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"FARMACIA INTERHOSPITALARIA DEL 
HOSPITAL INTEGRAL",FARMACIA,"3a. CALLE SUR PONIENTE S/N, 
BARRIO LA ESMERALDA",,,"FRONTERA 
COMALAPA",CHIAPAS,07034090001,21/01/2002,S/L
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.27",FARMACIA,"AV. BELISARIO DOMINGUEZ S/N, 
BARRIO CUERNAVACA",,,"FRONTERA 
COMALAPA",CHIAPAS,07034090002,24/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. FRONTERA COMALAPA",FARMACIA,AV. CENTRAL SUR No.8. CENTRO,CENTRO,30890,"FRONTERA 
COMALAPA",CHIAPAS,07034090003,12/01/2004,"II, III"
FARMACIAS DEL AHORRO,FARMACIA,"AV. CENTRAL NORTE No.10, CENTRO",,,"FRONTERA 
COMALAPA",CHIAPAS,07034090004,13/05/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA MARICRUZ S.A. DE C.V.,FARMACIA,AV. CENTRAL SUR No.8. CENTRO,COL. CENTRO,30140,"FRONTERA 
COMALAPA",CHIAPAS,07034090005,02/09/2013,"I, II, III"
"FARMACIA EL FENIX FRONTERA 
COMALAPA",FARMACIA,"3a. SUR PONIENTE No.61,",BARRIO ESMERALDA,,"FRONTERA 
COMALAPA",CHIAPAS,07034090006,25/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
COMALAPA",FARMACIA,"AV. CENTRAL NORTE S/N,",EL PARAISO,,"FRONTERA 
COMALAPA",CHIAPAS,07034090007,29/07/2010,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DISUR DEL HOSP BASICO 
COMUN FRONTERA COMALAPA",FARMACIA,"CARRETERA FRONTERA COMALAPA-
PASO HONDO LINDAVISTA",LINDA VISTA,30140,"FRONTERA 
COMALAPA",CHIAPAS,07034090011,06/02/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
FRONTERA COMALAPA",FARMACIA,"AV. CENTRAL NORTE No. 10, COL. 
CENTRO",COL. CENTRO,30140,"FRONTERA 
COMALAPA",CHIAPAS,07034090012,21/04/2015,"II, III,"
"FARMACIAS ESQUIVAR, SUCURSAL 
COMALAPA CENTRO",FARMACIA,"AVENIDA CENTRAL SUR No. 23, COL. 
CENTRO",COL. CENTRO,30140,"FRONTERA 
COMALAPA",CHIAPAS,07034090013,21/07/2015,"I, II, III, TOXOIDES, VACUNAS, HEMODERIVADOS, ANTIBIOTICOS"
"FARCIA DEL AHORRO SUCURSAL 1A. 
SUR ORIENTE",FARMACIA,1A. CALLE SUR ORIENTE No. 19,COL. CENTRO,30140,"FRONTERA 
COMALAPA",CHIAPAS,07034090015,21/12/2016,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD DE 
FRONTERA HIDALGO",FARMACIA,"CAMINO VIEJO S/N, CENTRO",CENTRO,,"FRONTERA 
HIDALGO",CHIAPAS,07035090001,13/12/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
ESTACION",FARMACIA,"MARIANO AZUELA S/N COL. 
ESTACION",COL. ESTACION,30670,HUEHUETAN,CHIAPAS,07037090002,10/04/2014,"II, III, HEMODERIVADOS"
HOSPITAL GENERAL HUIXTLA,FARMACIA,"CARRETERA HUIXTLA - MOTOZINTLA 
KM.1, CENTRO",CENTRO,,HUIXTLA,CHIAPAS,07040090003,28/10/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"IMSS HOSPITAL GENERAL SUBZONA 
No.19",FARMACIA,"CALLE ABASOLO ESQ. CARRETERA 
COSTERA, CENTRO",CENTRO,,HUIXTLA,CHIAPAS,07040090004,29/10/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL HUIXTLA ESTACION",FARMACIA,"AV. RAYON NORTE No.14 ENTRE C. 
ZARAGOZA Y C. MADERO, CENTRO",CENTRO,,HUIXTLA,CHIAPAS,07040090005,21/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
ZARAGOZA",FARMACIA,"CENTRAL NORTE Y AV. ZARAGOZA 
S/N",,30640,HUIXTLA,CHIAPAS,07040090006,05/03/2004,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. HUIXTLA CENTRO",FARMACIA,"CENTRAL NORTE, CENTRO",CENTRO,30640,HUIXTLA,CHIAPAS,07040090007,31/01/2005,"II, III"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,NEGRETE ORIENTE No.46,,,HUIXTLA,CHIAPAS,07040090008,07/09/2007,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA MI BODEGA DE HUIXTLA,FARMACIA,NEGRETE ORIENTE S/N,,,HUIXTLA,CHIAPAS,07040090009,03/10/2007,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA EL FENIX HUIXTLA I,FARMACIA,CARRETERA HUIXTLA - MOTOZINTLA,,,HUIXTLA,CHIAPAS,07040090010,01/10/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
MORELOS",FARMACIA,"MORELOS ORIENTE No. 5, CENTRO",CENTRO,30640,HUIXTLA,CHIAPAS,07040090012,18/08/2011,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. SUC. HG HUIXTLA",FARMACIA,"INT. DEL HG HUIXTLA, CARR. 
HUIXTLA-MOTOZINTLA S/N",29 DE DICIEMBRE,30640,HUIXTLA,CHIAPAS,07040090014,24/07/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA SORIANA EXPRESS 
HUIXTLA",FARMACIA,"RODULFO FIGUEROA PONIENTE No. 
2",COL. SAN FRANCISCO,30640,HUIXTLA,CHIAPAS,07040090018,09/11/2015,"II, III, HEMODRIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS"
"FARMACIA DEL AHORRO SUCURSAL 
COLON HUIXTLA",FARMACIA,"AVENIDA CALLE NEGRETE Y AVENIDA 
CENTRAL No. 55",COL. CENTRO,30640,HUIXTLA,CHIAPAS,07040090020,26/08/2016,"I, II, III, VACUNAS Y TOXOIDES"
"FARMACIAS ESQUIVAR SUCURSAL 
CENTRO HUIXTLA 2",FARMACIA,CENTRAL NORTE No. 29,COL. CENTRO,30640,HUIXTLA,CHIAPAS,07040090021,10/03/2017,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS,"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,CALLE MORELOS ORIENTE No. 7,COL. CENTRO,30640,HUIXTLA,CHIAPAS,07040090022,12/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA HUMANA,FARMACIA,"AV. CENTRAL ORIENTE No.5, 
CENTRO",CENTRO,,IXTAPA,CHIAPAS,07044090001,30/09/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"UNIDAD MEDICA FAMILIAR 
JIQUIPILAS",FARMACIA,"AV. CENTRAL ORIENTE No.92, 
SALIDA A COL. QUINTANA ROO",,,JIQUIPILAS,CHIAPAS,07046090001,23/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA SAN ANTONIO,FARMACIA,AV. CENTRAL ORIENTE No.20,,,JITOTOL,CHIAPAS,07047090001,11/09/2007,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.44",FARMACIA,CALLE OLIMPIADA DEL 68 S/N,,,JUAREZ,CHIAPAS,07048090001,11/02/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
MUNICIPAL",FARMACIA,"CARRETERA OSTUACAN S/N, CENTRO",CENTRO,,JUAREZ,CHIAPAS,07048090003,13/08/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA,FARMACIA,"AV. REFORMA No.3,",SAN JUANITO,,JUAREZ,CHIAPAS,07048090004,22/02/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA EL ANGEL,FARMACIA,"CALLE INDEPENDENCIA No.73, 
CENTRO",,,JUAREZ,CHIAPAS,07048090005,,"I, II, III"
FARMACIA ALOPATICA EL ANGEL,FARMACIA,CALLE INDEPENDENCIA No.73,COL. CENTRO,29510,JUAREZ,CHIAPAS,07048090005,15/10/2013,"I, II, III"
FARMACIA EL FENIX JUAREZ,FARMACIA,BLVD. MIRADOR S/N,,,JUAREZ,CHIAPAS,07048090006,11/11/2008,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIAS DE DESCUENTO UNION,FARMACIA,OLIMPIADA 68 S/N,COL. CENTRO,29510,JUAREZ,CHIAPAS,07048090007,15/12/2015,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC LARRAINZAR",FARMACIA,"INT. DEL HBC LARRAINZAR, CARR. A 
PUERTO CATE S/N",CENTRO,29860,LARRAINZAR,CHIAPAS,07049090003,22/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO LARRAINZAR",FARMACIA,"INTERIOR DEL HOSPITAL BASICO 
COMUNITARIO LARRAINZAR, 
CARRETERA PUERTO CATE",COL. CENTRO,29860,"SAN ANDRES 
LARRAINZAR",CHIAPAS,07049090006,04/09/2015,"I, II, III, HEMODERIVADOS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES Y VACUNAS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. MAPASTEPEC",FARMACIA,"AV. FRANCISCO SARABIA SUR 
No.1000-C, CENTRO",CENTRO,30560,MAPASTEPEC,CHIAPAS,07051090001,23/07/2003,"II, III"
"FARMACIA ALOPATICA DEL HOSPITAL 
RURAL S No.80",FARMACIA,"CAMINO A PANTALEON DOMINGUEZ 
S/N",BARRIO EL LLANITO,,MAPASTEPEC,CHIAPAS,07051090002,05/10/2009,"I, II, III"
"FARMACIA ALOPATICA DE LA UNIDAD 
MEDICA FAMILIAR No.29",FARMACIA,AV. FRANCISCO SARABIA S/N,COL. CENTRO,30560,MAPASTEPEC,CHIAPAS,07051090003,20/02/2008,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
SARABIA",FARMACIA,AV. CENTRAL S/N,COL. CENTRO,30560,MAPASTEPEC,CHIAPAS,07051090004,24/10/2013,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
CENTRO DE SALUD MAPASTEPEC,FARMACIA,"AV. FRANCISCO SARABIA S/N, 
CENTRO",CENTRO,,MAPASTEPEC,CHIAPAS,07051090005,29/03/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA 
MAPASTEPEC",FARMACIA,2a. AVENIDA SUR S/N,BARRIO POTRERILLO,30560,MAPASTEPEC,CHIAPAS,07051090006,06/02/2013,"II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,AVENIDA FRANCISCO SARABIA S/N,COL. CENTRO,30560,MAPASTEPEC,CHIAPAS,07051090008,08/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA INTRAHOSPITALARIA DEL 
HOSPITAL INT. PUEBLO NUEVO",FARMACIA,"1a. NORTE PONIENTE No.6, CENTRO",CENTRO,,"PUEBLO NUEVO 
SOLISTAHUACAN",CHIAPAS,07052090001,22/01/2002,S/L
TORRES FARMACIAS MATRIZ,FARMACIA,"1a. AV. ORIENTE NORTE No.2, 
CENTRO",CENTRO,,LAS MARGARITAS,CHIAPAS,07052090002,22/01/2002,S/L
"FARMACIA DEL HOSPITAL RURAL 
GUADALUPE TEPEYAC",FARMACIA,DOMICILIO CONOCIDO S/N,"COL. GUADALUPE 
TEPEYAC",30180,LAS MARGARITAS,CHIAPAS,07052090003,14/08/2012,"I, II, III"
"FARMACIA INTRAHOSPITALARIA DE 
LAS MARGARITAS",FARMACIA,"CALLE CENTRAL No.63,",BARRIO LOS POSITOS,,LAS MARGARITAS,CHIAPAS,07052090004,,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA MI BODEGA AURRERA LAS 
MARGARITAS",FARMACIA,1a. AV. ORIENTE NORTE No.110,BARRIO LA PILA,30185,LAS MARGARITAS,CHIAPAS,07052090005,10/11/2011,"II,III"
FARMACIAS LA PIEDAD,FARMACIA,"1A AVENIDA ORIENTE NORTE No. 7, 
COL. CENTRO",COL. CENTRO,30187,LAS MARGARITAS,CHIAPAS,07052090005,16/06/2015,II Y III
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.7",FARMACIA,"AV. JUAREZ S/N, CENTRO",COL. CENTRO,,MAZATAN,CHIAPAS,07054090001,20/02/2008,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
