LUPITA,FARMACIA,11 SUR Nº 1109,ALVARO OBREGON,74260,Atlixco,PUEBLA,1050190817,19980930,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA ESTRELLA,FARMACIA,RUMANIA Nº 10,VILLA OLIMPICA,72120,Puebla,PUEBLA,1061140818,11/03/1998,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HIDALGO,FARMACIA,AVENIDA OAXACA Nº 5,,74400,Izucar de Matamoros,PUEBLA,1070870819,19980924,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
VICKY,FARMACIA,"AV. LA CALERA S/N LOCALES 
1,2 Y 3",HEROES DE PUEBLA,74380,Puebla,PUEBLA,1601140820,12/02/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL AHORRO,FARMACIA,CALLE 31 PONIENTE Nº 1102,EL VERGEL,72420,Puebla,PUEBLA,1061140821,19960315,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL MERCADO,FARMACIA,CARRILLO PUERTO # 120-A,CENTRO,73200,Juan Galindo,PUEBLA,1010930823,12/04/1998,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GEMELOS II,FARMACIA,CALLE MIGUEL HIDALGO # 3,CENTRO,74710,Jolalpan,PUEBLA,1070890824,19990215,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"SUPER BODEGA DE CORDOVA, S.A. DE C.V.",FARMACIA,"CALZ. ADOLFO LOPEZ 
MATEOS # 3210",PLAZA TEHUACAN,75700,Tehuacán,PUEBLA,1101560826,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,"BOULEVARD VALSEQUILLO # 
115",BOULEVARES RESINDEN.,72440,Puebla,PUEBLA,1061140829,19940418,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BETTY,FARMACIA,REFORMA # 30,,74169,Huejotzingo,PUEBLA,1050740830,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUAN,FARMACIA,REFORMA # 40,SAN JUAN PIAXTLA,74460,Izucar de Matamoros,PUEBLA,1070850831,19980429,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,AV. TECAMACHALCO # 5808,PLAZAS AMALUCAN,72300,Puebla,PUEBLA,1061140832,03/12/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"CENTRAL DE PUEBLA, S.A. DE C.V.",FARMACIA,13 SUR # 1905,SANTIAGO,72580,Puebla,PUEBLA,1061140833,19990216,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"TIENDAS CHEDRAUI, S.A. DE C.V.",FARMACIA,BOULEVARD NORTE # 3622,S.FELIPE HUEYOTLIPAN,72050,Puebla,PUEBLA,1061140835,19961015,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
MADERO,FARMACIA,FRANCISCO SARABIA Nº 3,FRANCISCO I MADERO,72130,Puebla,PUEBLA,1061140836,19990316,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL ROCIO,FARMACIA,3 PONIENTE Nº 440 L-A,CENTRO,75770,Tehuacan,PUEBLA,1101560839,19990819,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AURORA,FARMACIA,"MANUEL P. MONTES SUR Nº 
13",EL MORAL,74129,San Martin Texmelucan,PUEBLA,1051320840,19990128,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BETTY,FARMACIA,"MERCADO MUNICIPAL LOCAL 
Nº 5",BARRIO QUECHOLAC,75160,San Salvador El Seco,PUEBLA,1041420841,19980117,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPANA,FARMACIA,BENITO JUAREZ Nº 22,CENTRO,73510,Tuzamapan de Galeana,PUEBLA,1031920842,12/01/1998,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
CRISTO REY,FARMACIA,2 PONIENTE Nº 52 L-B,GUADALUPE VICTORIA,75040,Guadalupe Victoria,PUEBLA,1040670843,19991026,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
TAXISTLE,FARMACIA,"DOMICILIO CONOCIDO 
ENTRADA PRINCIPAL A 
TETELA",CENTRO,73640,Tetela de Ocampo,PUEBLA,1021720844,19990113,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GUADALUPE,FARMACIA,ZARAGOZA Nº 505,CENTRO,73800,Teziutlan,PUEBLA,1031740847,19990222,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL NIÑO JESUS,FARMACIA,20 ORIENTE Nº 1009-C,RINCON DEL BOSQUE,72290,Puebla,PUEBLA,1061140849,06/10/1997,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NORTE,FARMACIA,7 NORTE # 3001-B,SANTA MARIA,72080,Puebla,PUEBLA,1061140850,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MIGUEL,FARMACIA,AV. REVOLUCION # 8,SAN MATIAS COCOYOTLA,72750,San Pedro Cholula,PUEBLA,1051410851,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HIDALGO,FARMACIA,"AVENIDA HIDALGO Nº 145, 
S/L",CENTRO,73080,Xicotepec,PUEBLA,1011970852,19990618,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE LA UNIDAD DE MEDICINA FAMILIAR Nº 14,FARMACIA,"CARRET. FED. MEX.-PUE. ESQ. 
VICENTE GRO. S/N",IGNACIO ROMERO V.,72120,Puebla,PUEBLA,1061140853,19040427,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL PASTILLERO DE TEHUACAN II,FARMACIA,3 ORIENTE Nº 319,CENTRO,75700,Tehuacan,PUEBLA,1101560856,03/01/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
TEPEXI,FARMACIA,"DEFENSORES DEL 6 DE JULIO 
Nº 26",,,Tepexi de Rodriguez,PUEBLA,1061140857,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
NECAXA,FARMACIA,AQUILES SERDAN Nº 100,CENTRO,73200,Juan Galindo,PUEBLA,1010930859,07/01/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CARMEN,FARMACIA,"AV. ADOLFO LOPEZ MATEOS 
Nº 509",,75114,Acajete,PUEBLA,1090010860,05/06/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER SUKASA Y FARMACIA,FARMACIA,CONSTITUCION Nº 9-B,CENTRO,73780,Libres,PUEBLA,1040960861,19990713,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MARTIN,FARMACIA,QUINTANA ROO Nº 10315-B,POPULAR,72470,Puebla,PUEBLA,1061140862,04/07/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIDAD MEDICO FAMILIAR Nº 47 XOXTLA,FARMACIA,GUILLERMO PRIETO S/N,,72620,San Miguel Xoxtla,PUEBLA,1051370864,08/02/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BELEN,FARMACIA,3 ORIENTE # 207 LOCAL-5,,72990,Amozoc,PUEBLA,1090150865,19960228,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANCHEZ,FARMACIA,9 NORTE # 205,CENTRO,72000,Puebla,PUEBLA,1061140882,19930114,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANCHEZ,FARMACIA,21 NORTE # 5607,CLEOTILDE TORRES,72050,Puebla,PUEBLA,1061140883,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANCHEZ,FARMACIA,"CALLEJON DE VERAZA # 11 
LOCAL-2",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330884,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
SANCHEZ,FARMACIA,"AVENIDA 16 DE SEPTIEMBRE 
NORTE Nº 2 L-B",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330885,06/02/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANCHEZ,FARMACIA,"AV. 16 DE SEPTIEMBRE SUR # 
203 LOCAL B",CENTRO,74000,San Martín Texmelucan,PUEBLA,1051330886,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESMERALDA,FARMACIA,"5 DE MAYO Nº 25 ESQUINA 
CENTENARIO",SECCION 1ª CENTRO,74800,Tehuitzingo,PUEBLA,1081570887,19990430,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
INDEPENDENCIA,FARMACIA,INDEPENDENCIA Nº 111,CENTRO,74583,Chietla,PUEBLA,1070520888,19991115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL PASTILLERO DE TEPEACA,FARMACIA,CALLE 2 ORIENTE Nº 209,CENTRO,75200,Tepeaca,PUEBLA,1091640889,19991125,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HAITI,FARMACIA,"BOULEVARD DEL NIÑO 
POBLANO Nº 147",CONCEPCION LA CRUZ,72487,Puebla,PUEBLA,1061140890,19990428,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL PASTILLERO DE ATLIXCO,FARMACIA,"AV. INDEPENDENCIA Nº 1915-
B",FRANCISCO I. MADERO,74290,Atlixco,PUEBLA,1050190891,19991125,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PAREDES,FARMACIA,"AV. INDEPENDENCIA 
ORIENTE # 307-C",CENTRO,75700,Tehuacán,PUEBLA,1101560892,19990415,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DROGUERIA ESTRADA,DROGUERIA,3 ORIENTE # 13,LA LIBERTAD,72130,Puebla,PUEBLA,1061140893,19920414,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"MANMED, S.A. DE C.V.",FARMACIA,VALENCIA Nº 140,2ª SECC. GABRIEL P.,72425,PueblA,PUEBLA,1061140894,01/11/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN MIGUEL,FARMACIA,3 SUR Nº 513,CENTRO,75520,Chalchicomula de Sesma,PUEBLA,1040460895,01/10/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
OCYR,FARMACIA,CALLE SINALOA Nº 10502-A,COATEPEC,72490,Puebla,PUEBLA,1061140897,19991217,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ELIZABETH,FARMACIA,CALLE MORELOS Nº 35,,74940,Acatlán,PUEBLA,1080030898,19991217,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
U. M. F. Nº 4 LA CONSTANCIA,FARMACIA,"AVENIDA ESTEBAN DE 
ANTUÑANO Nº 6",LUZ OBRERA,72110,Puebla,PUEBLA,1061140899,12/09/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN JUAN,FARMACIA,11 SUR # 303,CENTRO,74200,Atlixco,PUEBLA,1050190901,19991216,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"NACIONALES, S.A. DE C.V.",FARMACIA,"GRAN AVENIDA O 27 NORTE 
Nº 810",AMOR,72140,Puebla,PUEBLA,1061140903,02/05/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SOL,FARMACIA,5 NORTE Nº 109,CENTRO,75700,Tehuacán,PUEBLA,1101560905,04/02/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE ASIS,FARMACIA,ADALBERTO GARCIA Nº 31,LA CRUZ,74583,Chietla,PUEBLA,1070520905,03/01/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"UNIVERSITARIA ""ALEXANDER FLEMING""",FARMACIA,"AVENIDA INDEPENDENCIA 
PONIENTE Nº 214",ZARAGOZA,75770,Tehuacan,PUEBLA,1101560908,03/02/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"DEL CENTRO MEDICO TECAMACHALCO,S.A.DE CV",FARMACIA,CALLE 6 SUR Nº 104-A,CENTRO,75480,Tecamachalco,PUEBLA,1091540908,19000330,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
GODINA HERRERA EDITH MARIA,FARMACIA,19 SUR Nº 2715-4,VOLCANES,72410,Puebla,PUEBLA,1061140909,19000418,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANDY,FARMACIA,24 NORTE Nº 201-C,REMEDIOS,72370,Puebla,PUEBLA,1061141000,19000417,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL CENTRO,FARMACIA,"PLAZA DE LA CONSTITUCION 
# 23",CENTRO,72980,Amozoc,PUEBLA,1090151001,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
INDEPENDENCIA,FARMACIA,AV. INDEPENDENCIA # 1306,ALVARO OBREGON,74260,Atlixco,PUEBLA,1050191002,19000331,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
PATY,FARMACIA,"AV. AQUILES SERDAN # 1 
LOCAL-1",CENTRO,74129,San Martín Texmelucan,PUEBLA,1051331003,19940725,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL HOSPITAL GRAL. DR.ROBERTO CORDERO M.,FARMACIA,"CARRET. INTERNACIONAL A 
OAXACA Nº 1",BARRIO SAN JUAN C.,74400,Izucar de Matamoros,PUEBLA,1070871004,19000425,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ROSANGEL,FARMACIA,2 SUR Nº 200,CENTRO,75520,Chalchicomula de Sesma,PUEBLA,1040461005,19000428,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
U.M.F. Nº 22,FARMACIA,HIDALGO Nº 409-A,CENTRO,73800,Teziutlan,PUEBLA,1031741006,05/09/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL PUEBLO,FARMACIA,MELCHOR OCAMPO Nº 8,I. ROMERO VARGAS,72120,Puebla,PUEBLA,1061141007,05/12/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL NIÑO DOCTOR,FARMACIA,CALLE NACIONAL Nº 26,,75950,Altepexi,PUEBLA,1100131008,05/12/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANATORIO DE ESPECIALIDADES 2000,FARMACIA,CALLE GUERRERO Nº 3,,75140,Soltepec,PUEBLA,1041521009,19000515,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA CECILIA,FARMACIA,3 SUR Nº 109,CENTRO,74200,Atlixco,PUEBLA,1050191010,19000517,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA PROVIDENCIA,FARMACIA,"AVENIDA MANUEL AVILA 
CAMACHO Nº 702",CENTRO,74200,Atlixco,PUEBLA,1050191011,19000517,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SANTA ELENA,FARMACIA,3 PONIENTE Nº 902-B,CENTRO,74200,Atlixco,PUEBLA,1050191012,19000517,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL HOSPITAL INTEGRAL DE CUETZALAN,FARMACIA,MIGUEL ALVARADO Nº 85,CENTRO,73560,Cuetzalan del Progreso,PUEBLA,1030441018,19000731,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA DE DESCUENTO OCOTLAN,FARMACIA,5 DE MAYO SUR # 25-C,CENTRO,73680,Zacapoaxtla,PUEBLA,1032071019,10/02/1995,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
EL PASTILLERO DE ACATLAN,FARMACIA,HIDALGO Nº 19,CENTRO,74940,Acatlan de Osorio,PUEBLA,1080031021,06/02/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE LA CLINICA DE ESPECIALIDADES MEDICAS,FARMACIA,16 DE SEPTIEMBRE Nº 4,CENTRO,75000,Rafael Lara Grajales,PUEBLA,1041171022,19000626,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,"CALLE DE LA PEDRERA Nº 
2513-F",LAS CUARTILLAS,72050,Puebla,PUEBLA,1061141023,06/06/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LAS PILAS,FARMACIA,5 DE FEBRERO Nº 523,LAS PILAS,73970,Xiutetelco,PUEBLA,1031991029,19000915,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIAS SAN ANGEL,FARMACIA,CORREGIDORA Nº 58-C,CENTRO,73160,Huauchinango,PUEBLA,1010721032,09/12/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"COSTCO DE MEXICO, S.A. DE C.V.",FARMACIA,"BOULEVARD DEL NIÑO 
POBLANO Nº 2904",ANGELOPOLIS,72197,Puebla,PUEBLA,1061141033,09/05/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SUPER FARMACIA MEDINA,FARMACIA,"LIC. MANUEL HIDALGO 
HINOJAR Nº 2-C",CENTRO,73800,Teziutlan,PUEBLA,1031741034,19000925,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAM'S CLUB,FARMACIA,"BLVD. NORTE HEROES DEL 5 
DE MAYO Nº 2322",STA. MARIA LA RIVERA,72010,Puebla,PUEBLA,1061141035,19000525,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SAM'S CLUB LA NORIA,FARMACIA,CIRCUITO INTERIOR N° 1920,EX-HACIENDA LA NORIA,72410,Puebla,PUEBLA,1061141036,09/08/2011,"GRUPO II Y III, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE 
ORIGEN ANIMAL  Y HEMODERIVADOS"
TEO TRATAMIENTO MED. PARA BAJAR DE PESO,FARMACIA,39 ORIENTE Nº 1206-101 A,ANZUREZ,72530,Puebla,PUEBLA,1061141039,10/11/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SIMBOLO,FARMACIA,"BLVD. HEROES 5 DE MAYO Nº 
1101",SANTA MARIA,72080,Puebla,PUEBLA,1061141041,12/08/1999,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE APOLLO, S.A. DE C.V.",FARMACIA,3 ORIENTE Nº 305-D,CENTRO,75700,Tehuacán,PUEBLA,1101561043,10/11/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA MARIA,FARMACIA,CALLE MATAMOROS Nº 101,BARRIO SAN ANTONIO,74940,Acatlan,PUEBLA,1080031044,06/10/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"UNIVERSITARIA ALEXANDER FLEMING ""CENTRO""",FARMACIA,"AV. DON JUAN DE PALAFOX Y 
MENDOZA Nº 229-A",CENTRO,72000,Puebla,PUEBLA,1061141047,19001127,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
UNIVERSITARIA ALEXANDER FLEMING,FARMACIA,"PROLONGACION RIO 
PAPAGAYO Nº 6301",SAN MANUEL,72570,Puebla,PUEBLA,1061141048,19010115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
VALERIA HERBERTH CORONEL,FARMACIA,"PRIVADA MONTE ALBAN Nº 
4714",REFORMA AGUA AZUL,72430,Puebla,PUEBLA,1061141049,19010115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA FE,FARMACIA,AV. OAXACA # 25-B,CENTRO,74400,Izucar de Matamoros,PUEBLA,1070871050,19010115,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA,FARMACIA,"CALZADA IGNACIO 
ZARAGOZA Nº 266",LOS PINOS,72240,Puebla,PUEBLA,1061141054,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA,FARMACIA,AV. 11 SUR Nº 3104,CHULA VISTA,72420,Puebla,PUEBLA,1061141055,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AURRERA,FARMACIA,"BOULEVARD HEROES 5 DE 
MAYO Nº 3126 LOCAL-A",LADRILLERA DE B.,72530,Puebla,PUEBLA,1061141056,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA,FARMACIA,AV. SAN BALTAZAR Nº 3230,EX-HDA. LA MARGARITA,72560,Puebla,PUEBLA,1061141057,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AURRERA,FARMACIA,"AV. PROLONGACION 
REFORMA Nº 3117",LA PAZ,72160,Puebla,PUEBLA,1061141058,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BODEGA AURRERA VIA CAPU,FARMACIA,"BLVD. NORTE HEROES 5 DE 
MAYO Nº 2318",S.FELIPE HUEYOTLIPAN,72030,Puebla,PUEBLA,1061141059,01/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL VILASECA ESPARZA,FARMACIA,12 NORTE Nº 1802,EL ALTO,72000,Puebla,PUEBLA,1061141060,19010123,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
AURRERA MAYORAZGO,FARMACIA,"PROLONGACION 11 SUR Nº 
8307",EX-HDA. MAYORAZGO,72450,Puebla,PUEBLA,1061141061,19010131,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
WAL MART LAS ANIMAS,FARMACIA,"BOULEVARD ATLIXCO Nº 
3304",NUEVA ANTEQUERA,72180,Puebla,PUEBLA,1061141062,02/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,"CAMINO REAL A CHOLULA Nº 
5207 LOC.1",CONCEPCION B. VISTA,72150,San Andres Cholula,PUEBLA,1051201063,06/06/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,AVENIDA HIDALGO Nº 502,CENTRO,72760,San Pedro Cholula,PUEBLA,1051411064,06/06/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,18 SUR Nº 5301,SAN MANUEL,72570,Puebla,PUEBLA,1061141065,06/06/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,CALLE EBANO Nº 55,BUGAMBILIAS,72580,Puebla,PUEBLA,1061141066,12/05/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMARCIA SAGRADO CORAZON,FARMACIA,JESUS N. MERINO Nº 8,CENTRO,75400,Los Reyes de Júarez,PUEBLA,1091181068,19010119,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SANTA MARIA,FARMACIA,PORTAL HIDALGO Nº 21,CENTRO,75150,Acatzingo,PUEBLA,1090041069,01/11/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA UNIDAD MEDICA BARIATRICA,FARMACIA,"CUAUHTEMOC PONIENTE Nº 
499",S.FELIPE HUEYOTLIPAN,72030,Puebla,PUEBLA,1061141070,02/01/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"HOME MART MEXICO, S.A. DE C.V.",FARMACIA,VIA ATLIXCAYOTL Nº 5317,UNIDAD TERRITORIAL A,72400,Puebla,PUEBLA,1061141072,19010223,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL AHORRO,FARMACIA,AV. 14 ORIENTE Nº 3801,AMERICA SUR,72340,Puebla,PUEBLA,1061141075,12/12/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMADROGUERIA MEDINA, S.A. DE C.V.",FARMACIA Y DROGUERIA,14 ORIENTE Nº 2222,HUMBOLDT,72370,Puebla,PUEBLA,1061141076,03/02/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA SIMBOLO,FARMACIA,"BLVD. MUNICIPIO LIBRE Nº 
555",LOMA BELLA,72080,Puebla,PUEBLA,1061141078,19001122,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMATODO,FARMACIA,"BLVD. NORTE H. DEL 5 DE 
MAYO Nº 1502-A",SANTA MA. LA RIBERA,72230,Puebla,PUEBLA,1061141079,09/04/1900,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"SANATORIO GUTIERREZ, S.A. DE C.V.",FARMACIA,12 NORTE Nº 1805-A,CENTRO,72000,Puebla,PUEBLA,1061141080,02/02/1901,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DE DIOS,FARMACIA,JUAN C. BONILLA Nº 201-B,CENTRO,73800,Teziutlán,PUEBLA,1031741081,19010116,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
