ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA SAN JOSE,FARMACIA,AV. AGRICULTURA Nº 103,CENTRO,31900,GÓMEZ FARÍAS,CHIHUAHUA,08025090001,28/05/2002,ESTUPEFACIENTES
FARMACIA LA AMISTAD,FARMACIA,CALLE 1ª SUR Nº 909,OSCAR SOTO MAYNEZ,31968,NAMIQUIPA,CHIHUAHUA,08048090001,28/05/2002,PSICOTRÓPICOS
FARMACIA SAN JOSE,FARMACIA,OCAMPO S/N,CENTRO,31920,IGNACIO ZARAGOZA,CHIHUAHUA,08034090001,28/05/2002,TOXOIDES
FARMACIA LA PRINCIPAL,FARMACIA,"AV. CONSTITUCION Y 5 DE 
MAYO S",CENTRO,31900,GÓMEZ FARÍAS,CHIHUAHUA,08025090002,28/05/2002,TOXOIDES
BOTICA RODRIGUEZ,FARMACIA,"CALLE CUARTA Y ROJAS 
DOMINGUEZ",PORFIRIO ORNELAS,32881,OJINAGA,CHIHUAHUA,08052090002,28/05/2002,TOXOIDES
FARMACIA SAM'S CLUB,FARMACIA,"AV. EJERCITO NACIONAL Nº 
7445",PARTIDO IGLESIAS,32399,JUÁREZ,CHIHUAHUA,08037090040,28/05/2002,PSICOTRÓPICOS
FARMACIA NUEVA,FARMACIA,CALLE 27 Nº 2215,OBRERA,31350,CHIHUAHUA,CHIHUAHUA,08019090030,28/05/2002,TOXOIDES
FARMACIA DE LOURDES,FARMACIA,"RUBEN POSADA POMPA Nº 
4308",JARDINES DE SAN JOSE,32390,JUÁREZ,CHIHUAHUA,08037090041,29/05/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. U.M.F. Nº 58,BOTICA,"MANUEL GOMEZ MORENO Nº 
2601",MEZQUITES,31125,CHIHUAHUA,CHIHUAHUA,08019100002,11/06/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. U.M.F. Nº 29,BOTICA,"CARLOS FUERO Y CALLE 22 
S/N",PACIFICO,31030,CHIHUAHUA,CHIHUAHUA,08019100003,11/06/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. U.M.F. Nº 4,BOTICA,MANZANA Nº 1,AVALOS,31090,CHIHUAHUA,CHIHUAHUA,08019100004,11/06/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. U.M.F. Nº 28,BOTICA,DOMICILIO CONOCIDO,FRANCISCO PORTILLO,33810,AQUILES SERDAN,CHIHUAHUA,08004100001,11/06/2002,PSICOTRÓPICOS
"FARMACIA INT. NUEVA WAL MART DE MEXICO, S. DE R. L. DE 
C. V.",FARMACIA,"AV. EJERCITO NACIONAL Nº 
7445",PARTIDO IGLESIAS,32530,JUÁREZ,CHIHUAHUA,08037090042,12/06/2002,PSICOTRÓPICOS
FARMACIA ARIES,FARMACIA,"ADOLFO LOPEZ MATEOS Nº 
501",CENTRO,33180,GUACHOCHI,CHIHUAHUA,08027090002,17/06/2002,PSICOTRÓPICOS
BOTICA INTRAHOSPITALARIA  U. M. F. Nº 64,BOTICA,HENEQUEN Nº 1581,SALVARCAR,32690,JUÁREZ,CHIHUAHUA,08037100003,09/07/2002,PSICOTRÓPICOS
FARMACIA VICTOR,FARMACIA,JUAN ESCUTIA Nº 1700 SUR,MELCHOR OCAMPO,32380,JUÁREZ,CHIHUAHUA,08037090043,09/07/2002,PSICOTRÓPICOS
FARMACIA DE LOS PUENTES,FARMACIA,INTERNACIONAL Nº 799,CENTRO,32000,JUÁREZ,CHIHUAHUA,08037090044,23/07/2002,TOXOIDES
BOTICA INTRAHOSP. U.M.F. Nº 56,BOTICA,"MIGUEL HIDALGO Y BORO Nº 
3904",DURANGO,32160,JUÁREZ,CHIHUAHUA,08037100004,23/07/2002,PSICOTRÓPICOS
BOTICA INTRAHOSP. HOSPITAL REGIONAL DE JIMENEZ,BOTICA,INDEPENDENCIA S/N,CENTRO,33981,JIMÉNEZ,CHIHUAHUA,08036100001,31/07/2002,ESTUPEFACIENTES
FARMACIA SAM'S CLUB CHIHUAHUA,FARMACIA,"PERIFERICO DE LA JUVENTUD 
Nº 2",FRACCIONAMIENTO HACIENDA,31328,CHIHUAHUA,CHIHUAHUA,08019090032,04/09/2002,HEMODERIVADOS
FARMACIA DEL TEMPLO,FARMACIA,AGUSTIN MELGAR Nº 1007-B,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090007,04/09/2002,TOXOIDES
FARMACIA ISSSTE Nº 063,FARMACIA,AMERICAS Y UNIVERSIDAD,LAS GRANJAS,31160,CHIHUAHUA,CHIHUAHUA,08019090033,04/09/2002,TOXOIDES
"SANBORN HERMANOS, S. A.  (FARMACIA)",FARMACIA,INDIANA Nº 3300-E,LAS AGUILAS,31230,CHIHUAHUA,CHIHUAHUA,08019090034,05/09/2002,PSICOTRÓPICOS
BOTICA INTRAHOSPITALARIA DE U. M. F. Nº 3,BOTICA,"CALLE 2ª Y AV. HIDALGO Nº 
15",CENTRO,32900,ALDAMA,CHIHUAHUA,08002100001,05/09/2002,PSICOTRÓPICOS
FARMACIA CIMA,FARMACIA,"HACIENDAS DEL VALLE Nº 
7120",PLAZA LAS HACIENDAS,31238,CHIHUAHUA,CHIHUAHUA,08019090038,05/09/2002,HEMODERIVADOS
"FARMACIA DE LA CLINICA CHIHUAHUA, S. A. DE C. V.",FARMACIA,"PASEO BOLIVAR Nº 12 INT. 
100",CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090036,05/09/2002,SUEROS DE ORIGEN ANIMAL
FARMACIA SANBORNS PLAZA DEL SOL,FARMACIA,"PERIFERICO DE LA JUVENTUD 
Nº 3",LAS HACIENDAS,31250,CHIHUAHUA,CHIHUAHUA,08019090037,05/09/2002,PSICOTRÓPICOS
"FARMACIA BOTICA CENTRAL, SUC. ALDAMA",FARMACIA,HIDALGO Nº 200,CENTRO,32900,ALDAMA,CHIHUAHUA,08002090001,05/09/2002,PSICOTRÓPICOS
"BOTICA NUEVA DE CAMARGO, S. A. DE C. V.",FARMACIA,"GONZALEZ ORTEGA Y 
JIMENEZ S/N",CENTRO,33700,CAMARGO,CHIHUAHUA,08011090002,13/09/2002,PSICOTRÓPICOS
"BOTICA SANTA ROSALIA, S. A. DE C. V.",FARMACIA,"INDEPENDENCIA Y LERDO DE 
TEJAD",CENTRO,33700,CAMARGO,CHIHUAHUA,08011090003,13/09/2002,PSICOTRÓPICOS
"TEO CORPORATIVO, S. A. DE C. V. II",FARMACIA,"AV. MANUEL J. CLOUTHIER Nº 
101",SALVARCAR JUAREZ,32690,JUÁREZ,CHIHUAHUA,08037090045,01/10/2002,PSICOTRÓPICOS
FARMACIA NUEVA LATINO,FARMACIA,"AV. ADOLFO LOPEZ MATEOS 
Nº 380",MONUMENTAL,32310,JUÁREZ,CHIHUAHUA,08037090046,01/10/2002,PSICOTRÓPICOS
BOTICA INTRAHOSPITALARIA DE LA U. M. F. Nº 21,BOTICA,"CENTENARIO Y LERDO DE 
TEJADA S",CENTRO,33700,CAMARGO,CHIHUAHUA,08011100001,10/10/2002,HEMODERIVADOS
BOTICA INTRAHOSPITALARIA DE LA U. M. F. Nº 20,BOTICA,AV. FERNANDO BAEZA Nº 201,CENTRO,33000,DELICIAS,CHIHUAHUA,08021100002,10/10/2002,HEMODERIVADOS
"FARMACIA KORINA, S. A. DE C. V.",FARMACIA,"PROLONGACION JUAN 
RANGEL DE BI",ALTAVISTA,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090009,28/10/2002,VACUNAS
SMART AEROPUERTO,FARMACIA,BLVD. ZARAGOZA Nº 6880,PARQUE INDUSTRIAL ZARAGO,32680,JUÁREZ,CHIHUAHUA,08037090047,29/10/2002,PSICOTRÓPICOS
FARMACIA SMART ARRIAGA,FARMACIA,"AV. PONCIANO ARRIAGA Nº 
2250",PARQUE INDUSTRIAL AZTECA,32679,JUÁREZ,CHIHUAHUA,08037090048,29/10/2002,TOXOIDES
FARMACIA YAMA,FARMACIA,"PASCUAL OROZCO Nº 3205-
101",LA CIMA,31310,CHIHUAHUA,CHIHUAHUA,08019090039,29/10/2002,PSICOTRÓPICOS
HOSPITAL DE LA MUJER,BOTICA,"PASEO TRIUNFO DE LA 
REPUBLICA",PARTIDO ESCOBEDO,32330,JUÁREZ,CHIHUAHUA,08037100005,19/11/2002,PSICOTRÓPICOS
"FARMACIA CUAUHTEMOC, S. A. DE C. V.    SUC. HOSP. 
REGIONAL",FARMACIA,"CALZADA BELISARIO CHAVEZ Y 
AV.",AGRICOLA SAN ANTONIO,31510,CUAUHTEMOC,CHIHUAHUA,08017090008,28/11/2002,SUEROS DE ORIGEN ANIMAL
"FARMACIA CENTRO CLINICO DEL NOROESTE, S. A. DE C. V.",FARMACIA,CUARTA Nº 470,ZONA CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090009,28/11/2002,HEMODERIVADOS
BOTICA INTRAHOSP. DE LA UNIDAD DE MED. FAM. Nº 37,BOTICA,"SAN CARLOS Y 2 NACIONES 
S/N",CENTRO,31824,ASCENSIÓN,CHIHUAHUA,08005100001,28/11/2002,PSICOTRÓPICOS
FARMACIA CRISTO MEDICO,FARMACIA,"AGUSTIN MELGAR Y RAYON 
Nº 485",CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090011,28/11/2002,HEMODERIVADOS
FARMACIA JANOS,FARMACIA,"CARRETERA JANOS AGUA 
PRIETA KM",CENTRO,31840,JANOS,CHIHUAHUA,08035090001,29/11/2002,PSICOTRÓPICOS
DROGUERIA MEXICO,FARMACIA,AV. MORELOS Nº 234,ZONA CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090010,09/12/2002,HEMODERIVADOS
FARMACIA SMART POLITECNICO,FARMACIA,"PERIFERICO DE LA JUVENTUD 
N° 3",PUERTA DE HIERRO II ETAP,31207,CHIHUAHUA,CHIHUAHUA,08019090040,09/12/2002,TOXOIDES
FARMACIA YAÑEZ,FARMACIA,CALLE 3ª Nº 511,CENTRO,31943,MADERA,CHIHUAHUA,08040090001,09/12/2002,PSICOTRÓPICOS
"FARMACIA BOTICA CENTRAL, SUC. ALAMEDAS",FARMACIA,"FEDOR DOSTOIEVSKY Nº 910 
B LOC",ALAMEDAS,31100,CHIHUAHUA,CHIHUAHUA,08019090041,09/12/2002,PSICOTRÓPICOS
FARMACIA ASCENSION,FARMACIA,AV. DOS NACIONES Nº 764,CENTRO,31830,ASCENSIÓN,CHIHUAHUA,08005090002,09/12/2002,PSICOTRÓPICOS
BOTICA INTRAHOSPITALARIA DE LA U.M.F. Nº 12,BOTICA,OCAMPO Y DOBLADO S/N,CENTRO,33130,MEOQUI,CHIHUAHUA,08045090001,09/12/2002,PSICOTRÓPICOS
"BOTICA INTRAHOSPITALARIA UNIDAD DE MEDICINA 
FAMILIAR Nº 62",BOTICA,"SOTO Y GAMA Y PORFIRIO 
PARRA S",FCO. I. MADERO,32170,JUÁREZ,CHIHUAHUA,08037100006,09/12/2002,PSICOTRÓPICOS
"FARMACIA DE PENSIONES CIVILES DEL ESTADO DELEGACION 
CUAUHTEM",FARMACIA,AV. GUERRERO Nº 502,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090012,09/12/2002,PSICOTRÓPICOS
FARMACIA SORIANA UNIVERSIDAD,FARMACIA,AV. UNIVERSIDAD Nº 3500,MAGISTERIAL,31150,CHIHUAHUA,CHIHUAHUA,08019090042,19/12/2002,TOXOIDES
FARMACIA SIMBOLO,FARMACIA,AV. TECNOLOGICO Nº 6902,SANTA BARBARA,31150,CHIHUAHUA,CHIHUAHUA,08019090043,19/12/2002,PSICOTRÓPICOS
FARMACIA NIÑOS HEROES,FARMACIA,AV. NIÑOS HEROES Nº 1,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090044,19/12/2002,TOXOIDES
FARMACIA FUENTES MARES,FARMACIA,JOSE FUENTES MARES Nº 300,SANTA ROSA 10º SECTOR,31050,CHIHUAHUA,CHIHUAHUA,08019090045,19/12/2002,TOXOIDES
FARMACIA SORIANA,FARMACIA,AV. INDIANA Nº 3300,RESIDENCIAL CAMPESTRE,31234,CHIHUAHUA,CHIHUAHUA,08019090046,19/12/2002,TOXOIDES
FARMACIA BOTICA CENTRAL SUC. SAN RAFAEL,FARMACIA,11ª Nº 4814-A,SAN RAFAEL,31030,CHIHUAHUA,CHIHUAHUA,08019090047,18/02/2003,TOXOIDES
FARMACIA UNIDAD DE MEDICINA FAMILIAR Nº 50,BOTICA,IRLANDA Y GUADIANA S/N,EL MIRADOR,32260,JUÁREZ,CHIHUAHUA,08037100007,18/02/2003,PSICOTRÓPICOS
FARMACIA CHIHUAHUA DE DESCUENTO,FARMACIA,"JOSE MARIA IGLESIAS Y RIO 
AROS",INF. NACIONAL,31120,CHIHUAHUA,CHIHUAHUA,08019090048,19/02/2003,PSICOTRÓPICOS
FARMACIA DEL TEMPLO,FARMACIA,4ª Nº 305,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090013,19/02/2003,PSICOTRÓPICOS
FARMACIA UNIDAD DE MEDICINA FAMILIAR Nº 43,BOTICA,AV. JUAREZ Nº 266,GUADALUPE D. B.,32744,GUADALUPE,CHIHUAHUA,08037090024,19/02/2003,PSICOTRÓPICOS
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,ALDAMA Nº 503,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090050,20/02/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,MIRADOR Nº 5900,CENTRO,31238,CHIHUAHUA,CHIHUAHUA,08019090051,25/02/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,DOVSTOYESKY Nº 706,LAS ALAMEDAS,31109,CHIHUAHUA,CHIHUAHUA,08019090052,25/02/2003,PSICOTRÓPICOS
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,AV. OCAMPO Nº 1890,SANTA RITA,31000,CHIHUAHUA,CHIHUAHUA,08019090053,25/02/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,SILVESTRE TERRAZAS Nº 9000,LOS PINOS,31416,CHIHUAHUA,CHIHUAHUA,08019090054,25/02/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,LIBERTAD Nº 321,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090055,25/02/2003,TOXOIDES
"DROGUERIA BENAVIDES, S.A .DE C. V.",FARMACIA,"DIVISION DEL NORTE ESQ. 
ANTONI",SAN FELIPE,31214,CHIHUAHUA,CHIHUAHUA,08019090056,25/02/2003,TOXOIDES
FARMACIA IMPE,FARMACIA,RIO SENA Nº 1100,ALFREDO CHAVEZ,31410,CHIHUAHUA,CHIHUAHUA,08019090057,25/02/2003,PSICOTRÓPICOS
PROFARMACIA,FARMACIA,AV. INDEPENDENCIA Nº 1205,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090058,25/02/2003,PSICOTRÓPICOS
FARMACIA SMART SAUCITO,FARMACIA,AV. FRANCISCO VILLA N° 5701,EL SAUCITO,31110,CHIHUAHUA,CHIHUAHUA,08019090059,25/02/2003,PSICOTRÓPICOS
FARMACIA CITY CLUB,FARMACIA,"AV. PERIFERICO DE LA 
JUVENTUD",FRACC. LOS MEZQUITES,31125,CHIHUAHUA,CHIHUAHUA,08019090060,03/03/2003,PSICOTRÓPICOS
FARMACIA HOSPITAL,FARMACIA,AV. MORELOS Nº 1705,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090014,04/03/2003,HEMODERIVADOS
FARMACIA PLAZA,FARMACIA,20 DE NOVIEMBRE Nº 1011,CENTRO,31880,BUENAVENTURA,CHIHUAHUA,08010090001,04/03/2003,PSICOTRÓPICOS
BOTICA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,BOTICA,BENITO JUAREZ Nº 97,CENTRO,33500,SAN FRANCISCO DEL ORO,CHIHUAHUA,08059100001,04/03/2003,SUEROS DE ORIGEN ANIMAL
"CLINICA HOSPITAL DUBLAN, S. A. DE C. V.   FARMACIA",FARMACIA,BENITO JUAREZ Nº 3200,DUBLAN,31710,NUEVO CASAS GRANDES,CHIHUAHUA,08050090001,04/03/2003,ESTUPEFACIENTES
FARMACIA MARGARITA,FARMACIA,VICTORIA Nº 907,CENTRO,31880,BUENAVENTURA,CHIHUAHUA,08010090002,04/03/2003,PSICOTRÓPICOS
BOTICA INTRAHOSP. DEL HOSP. RURAL DE GPE. Y CALVO,BOTICA,DOMICILIO CONOCIDO,BARRIO SANTO NIÑO,33470,GUADALUPE Y CALVO,CHIHUAHUA,08011090004,04/03/2003,PSICOTRÓPICOS
FARMACIA SAN ISIDRO,FARMACIA,"4ª Nº 602, CENTRO",EL TERRERO,31960,NAMIQUIPA,CHIHUAHUA,08048090003,12/03/2003,PSICOTRÓPICOS
FARMACIA Y MERCERIA WALL,FARMACIA,"CAMPO 101 CARRETERA 
CUAUHTEMOC",VIANA,31610,CUAUHTEMOC,CHIHUAHUA,08017090015,12/03/2003,VACUNAS
"FARMACIA APOTEKE OBREGON, S. A. DE C. V.",FARMACIA,CUAUHTEMOC Nº 210,CENTRO,31610,CUAUHTEMOC,CHIHUAHUA,08017090016,12/03/2003,VACUNAS
FARMACIA MARTEL,FARMACIA,JUAREZ Nº 201,CENTRO,33000,MEOQUI,CHIHUAHUA,08021090006,12/03/2003,PSICOTRÓPICOS
"DROGUERIA BENAVIDES, S. A. DE C. V.  SUC. MEDICA SUR",FARMACIA,EJERCITO NACIONAL Nº 6325,FRACC. LOS PORTALES,32395,JUÁREZ,CHIHUAHUA,08037090049,12/03/2003,PSICOTRÓPICOS
XOCO FARMACIAS,FARMACIA,"AV. FRANCISCO I. MADERO Nº 
74-","LA JUNTA, CENTRO",31690,GUERRERO,CHIHUAHUA,08031090003,14/03/2003,HEMODERIVADOS
FARMACIA DE FATIMA,FARMACIA,PORFIRIO DIAZ Nº 1301 SUR,MELCHOR OCAMPO,32330,JUÁREZ,CHIHUAHUA,08037090050,14/03/2003,PSICOTRÓPICOS
"BOTICA INTRAHOSPITALARIA HOSP. RURAL ""S"" Nº 18",BOTICA,GUERRERO Y TEPORACA S/N,BARRIO DEL SEGURO,33211,BOCOYNA,CHIHUAHUA,08009100002,19/03/2003,PSICOTRÓPICOS
FARMACIA 24 HORAS,FARMACIA,2ª NORTE Nº 302,CENTRO,33000,DELICIAS,CHIHUAHUA,08021090007,19/03/2003,PSICOTRÓPICOS
BOTICA INTRAHOSP. U. M. F. Nº 30,BOTICA,BLVD. LIBRE COMERCIO Nº 1,FRONTERIZA,32881,OJINAGA,CHIHUAHUA,08052100001,19/03/2003,PSICOTRÓPICOS
FARMACIA DEL HOSPITAL GENERAL REGIONAL Nº 1,DROGUERIA,"AV. UNIVERSIDAD Y GARCIA 
CONDE",CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019110005,19/03/2003,HEMODERIVADOS
FARMACIA RIO,FARMACIA,ALLENDE Y 4ª Nº 276,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090017,19/03/2003,ANTITOXINAS DE ORIGEN ANIMAL
BOTICA INTRAHOSP. DE LA U. M. F. Nº 40,BOTICA,"CARRTERA SUECO-CASAS 
GRANDES S","CENTRO, RICARDO FLORES M",31880,BUENAVENTURA,CHIHUAHUA,08010100001,20/03/2003,PSICOTRÓPICOS
"FARMACIA CUAUHTEMOC, S. A. DE C. V., SUC. GLORIETA",FARMACIA,AV. MORELOS Nº 1370,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090018,07/04/2003,ANTITOXINAS DE ORIGEN ANIMAL
"FARMACIA CUAUHTEMOC, S. A. DE C. V., SUC. ALLENDE",FARMACIA,AV. ALLENDE Nº 741,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090019,07/04/2003,HEMODERIVADOS
"FARMACIA CUAUHTEMOC, S. A. DE C. V.",FARMACIA,AV. MORELOS Nº 321,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090020,07/04/2003,HEMODERIVADOS
BOTICA SAN ANTONIO,FARMACIA,3ª Nº 154,CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090021,07/04/2003,HEMODERIVADOS
FARMACIA GUADALUPE,FARMACIA,JUAN ESCUTIA Nº 311,CENTRO,33130,MEOQUI,CHIHUAHUA,08045090001,07/04/2003,PSICOTRÓPICOS
BOTICA DE LA LUZ,FARMACIA,AV. JUAREZ Nº 904,CENTRO,31680,GUERRERO,CHIHUAHUA,08031090004,07/04/2003,TOXOIDES
"FARMACIA SANTOS, S. A.",FARMACIA,ALLENDE Y 5ª Nº 307,CENTRO,32881,OJINAGA,CHIHUAHUA,08052090003,09/04/2003,TOXOIDES
FARMACIA EL CARMEN,FARMACIA,MORELOS Y 21 DE MARZO S/N,"CENTRO, RICARDO FLORES M",31880,BUENAVENTURA,CHIHUAHUA,08010090003,09/04/2003,PSICOTRÓPICOS
"FARMACIA BOTICA CENTRAL, SUC. SIERRA",FARMACIA,RIO SENA Nº 1100,ALFREDO CHAVEZ,31410,CHIHUAHUA,CHIHUAHUA,08019090063,24/04/2003,TOXOIDES
"BOTICA INTRAHOSPITALARIA DE LA U.M.F. Nº 8 SANTA 
BARBARA",BOTICA,DOMICILIO CONOCIDO S/N,JESUS GARCIA,33580,SANTA BARBARA,CHIHUAHUA,08060100001,24/04/2003,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA SANTA CLARA,FARMACIA,AV. JUAREZ Nº 104-B,CENTRO,33700,CAMARGO,CHIHUAHUA,08011090004,24/04/2003,PSICOTRÓPICOS
"FARMACIA CUAUHTEMOC, S. A. DE C. V.    SUC. MARLO",FARMACIA,"AV. JUAREZ Nº 915 LOCAL Nº 
1",CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090022,24/04/2003,ANTITOXINAS DE ORIGEN ANIMAL
FARMACIA MARINA,FARMACIA,2ª Y MORELOS S/N,CENTRO,31990,MATACHÍ,CHIHUAHUA,08043090001,30/04/2003,PSICOTRÓPICOS
HOME MART,FARMACIA,"PERIF. DE LA JUVENTUD Nº 
6500",FRACC. SAUCITO,31125,CHIHUAHUA,CHIHUAHUA,08019090067,30/04/2003,PSICOTRÓPICOS
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,CALLE 3ª NTE. Nº 300,CENTRO,33000,DELICIAS,CHIHUAHUA,08021090008,07/05/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,HIDALGO Y ZARAGOZA ESQ.,CENTRO,33130,MEOQUI,CHIHUAHUA,08045090002,07/05/2003,TOXOIDES
"DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,"AV. RIO SAN PEDRO PTE. Nº 
101",CENTRO,33000,DELICIAS,CHIHUAHUA,08021090009,07/05/2003,TOXOIDES
SERVICIOS MEDICOS MUNICIPALES,BOTICA,SANTIAGO BLANCAS Nº 1310,SALVARCAR,32574,JUÁREZ,CHIHUAHUA,08037100008,07/05/2003,PSICOTRÓPICOS
"TEO CORPORATIVO, S. A. DE C. V.",FARMACIA,"AV. PROL. EJERCITO 
NACIONAL Nº",PRADERA DORADA,32618,JUÁREZ,CHIHUAHUA,08037090051,14/05/2003,PSICOTRÓPICOS
FARMACIA SAN FELIPE Nº 4,FARMACIA,JUAN BALDERAS Nº 4060,FRANCISCO I. MADERO,32160,JUÁREZ,CHIHUAHUA,08037090052,14/05/2003,TOXOIDES
FARMACIA SELENE,FARMACIA,"20 DE NOVIEMBRE Y M. 
HIDALGO N","CENTRO, EJIDO BENITO JUA",31884,BUENAVENTURA,CHIHUAHUA,08010090004,14/05/2003,PSICOTRÓPICOS
FARMACIA ASCENSION,FARMACIA,"AV. 5 DE MAYO S/N ENTRE 
PROGRE","CENTRO, PUERTO PALOMAS",31380,ASCENSIÓN,CHIHUAHUA,08005090003,14/05/2003,TOXOIDES
FARMACIA ARGOSA,FARMACIA,4ª Y RAYON Nº 216,SECTOR CENTRO,31500,CUAUHTEMOC,CHIHUAHUA,08017090023,14/05/2003,TOXOIDES
FARMACIA FAMILIAR,FARMACIA,"AV. MALECON E ING. MANUEL 
CARD",CENTRO,32000,JUÁREZ,CHIHUAHUA,08037090053,14/05/2003,PSICOTRÓPICOS
FARMACIA GARCIA,FARMACIA,SILICE Nº 1008 INTERIOR A,PALO CHINO,32299,JUÁREZ,CHIHUAHUA,08037090054,14/05/2003,PSICOTRÓPICOS
FARMACIA LA IDEAL,FARMACIA,"AV. MORELOS ENTRE 38 Y 41 
N° 3",FRANCISCO VILLA,31600,CUAUHTEMOC,CHIHUAHUA,08017090025,23/05/2003,HEMODERIVADOS
BOTICA INTRAHOSP. DEL HOSP. GRAL. CUAUHTEMOC,BOTICA,AV. MORELOS Y 17ª Nº 1732,FRACC. SAN ANTONIO,31530,CUAUHTEMOC,CHIHUAHUA,08017100003,26/05/2003,PSICOTRÓPICOS
FARMACIA DEL REAL,FARMACIA,CALLE 3ª Nº 310,CENTRO,31530,CUAUHTEMOC,CHIHUAHUA,08017090024,26/05/2003,TOXOIDES
FARMACIA DEL CENTRO,FARMACIA,AV. JUAREZ Nº 2,CENTRO,31980,TEMÓSACHIC,CHIHUAHUA,08063090002,26/05/2003,PSICOTRÓPICOS
SUPER FARMACIA EL CAMINO SUCURSAL Nº 3,FARMACIA,RAUL SOTO REYES S/N,PRI,33850,HIDALGO DEL PARRAL,CHIHUAHUA,08032090010,27/05/2003,PSICOTRÓPICOS
SUPER FARMACIA EL CAMINO SUCURSAL Nº 2,FARMACIA,"CARLOS FUERO Y AV. 20 DE 
NOVIE",CENTRO,33800,HIDALGO DEL PARRAL,CHIHUAHUA,08032090011,27/05/2003,PSICOTRÓPICOS
FARMACIA REPUBLICA DE SUPER DESCUENTO,FARMACIA,AV. MIRADOR Nº 4705-3,RESIDENCIAL CAMPESTRE,31238,CHIHUAHUA,CHIHUAHUA,08019090065,27/05/2003,PSICOTRÓPICOS
"FARMACIA FARMACOS ESPECIALIZADOS, S. A. DE C. V.",FARMACIA,OJINAGA Nº 11,CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090066,27/05/2003,PSICOTRÓPICOS
FARMACIA DEL CENTRO,FARMACIA,"BLVD. GOMEZ MORIN N° 
11050 LOC",PARTIDO SENECU,31980,TEMÓSACHIC,CHIHUAHUA,08063090001,02/06/2003,PSICOTRÓPICOS
FARMACIA SANTA MARIA,FARMACIA,JUAN ESCUTIA Nº 305,CENTRO,33130,MEOQUI,CHIHUAHUA,08045090004,06/06/2003,HEMODERIVADOS
FARMACIA LA MISION,FARMACIA,"MANUEL J. CLOUTHIER N° 
8510",INFONAVIT AEROPUERTO,32690,JUÁREZ,CHIHUAHUA,08037090055,01/07/2003,PSICOTRÓPICOS
FARMACIA DE JESUS,FARMACIA,SEVILLA N° 4285-A,SANTA ROSA,32250,JUÁREZ,CHIHUAHUA,08037090056,01/07/2003,PSICOTRÓPICOS
FARMACIA LINDA,FARMACIA,"LINAZA Y MANUEL J. 
CLOUTHIER N",INFONAVIT AMPLIACION AER,32800,JUÁREZ,CHIHUAHUA,08037090057,01/07/2003,PSICOTRÓPICOS
