ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIANUEVAWALMARTDEMEXICOS.DER.L.
C.V.",FARMACIA,PROL. AVE. HIDALGO # 5100,LOMAS DE ROSALES,89100,TAMPICO,TAMAULIPAS,28038090087,30/05/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA OPERADORA DE HOSPITALES ANGELES,FARMACIA,AVE. HIDALGO # 5503 E/AVE. VALLES Y PROL FAJA,FRAMBOYANES,89330,TAMPICO,TAMAULIPAS,28038090139,31/03/10,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA PETROLEOS MEXICANOS,FARMACIA,ISAURO ALFARO # 302 SUR,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090094,27/10/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA PETROLEOS MEXICANOS SATELITE
MADERO",FARMACIA,AVE. ALVARO OBREGON # 3011,REFINERIA MADERO,89540,CIUDAD MADERO,TAMAULIPAS,28009090032,12/04/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PROFAMEX,FARMACIA,"NAYARIT NO. 311 LOCAL ""B"" ENTRE DURANGO Y CHIHUAHUA",COL. UNIDAD NACIONAL,89510,CIUDAD MADERO,TAMAULIPAS,28009090079,28/11/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA PROMEMACU,FARMACIA,ACAPULCO # 105,FRACC. LOS CEDROS,89515,CIUDAD MADERO,TAMAULIPAS,28009090026,22/11/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS RIVERA,FARMACIA,"CALLEALTAMIRANO.221ENTRECALLESSORJUANAINESDELA
CRUZ Y 20 DE NOVIEMBRE",ZONA CENTRO,89000,TAMPICO,TAMAULIPAS,28038090253,30/09/19,PSICOTROPICOS
FARMACIA RUBA,FARMACIA,GUATEMALA N. 103 E/ALLENDE Y OBREGON,VICENTE GUERRERO,89580,CIUDAD MADERO,TAMAULIPAS,28009090076,03/02/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAM'S TAMPICO,FARMACIA,PROL. AV. HIDALGO NO. 6112,COL. ARENAL,89344,TAMPICO,TAMAULIPAS,28038090185,12/10/12,PSICOTROPICOS
"FARMACIADELSANATORIOSANTAMARIADE
TAMPICO",FARMACIA,CALLE GERONIMO GONZALEZ NO. 214,COL. EX COUNTRY CLUB,83250,TAMPICO,TAMAULIPAS,28038090254,21/10/19,PSICOTROPICOS
FARMACIA SUPER FARMACIAS EL FENIX S.A. DE C.V.,FARMACIA,AVE. ALVARO OBREGON # 300. PTE.,CENTRO,89400,CIUDAD MADERO,TAMAULIPAS,28009090022,11/05/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIASUPERMERCADOSINTERNACIONALES
H.E.B.",FARMACIA,AV. HIDALGO NO. 6313 ESQ. CON FAJA DE ORO,CHOFERES,89337,TAMPICO,TAMAULIPAS,28038090157,25/03/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIASUPERMERCADOSINTERNACIONALES
H.E.B.",FARMACIA,AVE. EJERCITO MEXICANO # 717,TAMPICO,89120,TAMPICO,TAMAULIPAS,28038090160,11/07/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"SUPERMERCADOSINTERNACIONALESHEBS.A.
DE.C.V",FARMACIA,BLVD. ADOLFO LOPEZ MATEOS SUR NO. 201,COL. UNIDAD NACIONAL,89410,CIUDAD MADERO,TAMAULIPAS,28009090095,19/11/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JUAN,FARMACIA,SALVADOR DIAZ MIRON # 709 PTE.,CASCAJAL,89280,TAMPICO,TAMAULIPAS,28038090167,16/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"ALSADELAC MEDICAMENTOS DE PATENTE, S. DE R.L. 
DE C.V.",FARMACIA,AVE. HIDALGO N° 1601 ENTRE MARTOCK Y SANTO DOMINGO,MARTOCK,89170,TAMPICO,TAMAULIPAS,28038090241,13/11/17,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA SAN JUAN,FARMACIA,AV. HIDALGO NO. 1900 ESQ. OLMO,COL. ALTAVISTA,89240,TAMPICO,TAMAULIPAS,28038090169,16/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JUAN SUC. AEROPUERTO,FARMACIA,CARR. TAMPICO-MANTE KM. 9 # 714,LAS AMERICAS,89329,TAMPICO,TAMAULIPAS,28038090170,16/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JUAN,FARMACIA,JOSEFA ORTIZ DE DOMINGUEZ #  600-C,LAGUNA DE LA PUERTA,89310,TAMPICO,TAMAULIPAS,28038090171,16/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JUAN SUC. DE LA CRUZ,FARMACIA,VICENTE GUERRERO # 804,MORELOS,89290,TAMPICO,TAMAULIPAS,28038090172,16/02/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SUPERFARMACIA EL FENIX,FARMACIA,AVE. MADERO # 100,UNIDAD NACIONAL,89410,CIUDAD MADERO,TAMAULIPAS,28009090048,07/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SORIANA S.A. DE C.V.,FARMACIA,AVE. EJERCITO MEXICANO #1101,FRACC. TAMPICO,89137,TAMPICO,TAMAULIPAS,28038090014,11/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SORIANA,FARMACIA,CARR. TAMPICO-MANTE # 6905,FCO. JAVIER MINA,89318,TAMPICO,TAMAULIPAS,28038090033,27/02/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SAN JUAN SUC. ALTAMIRA,FARMACIA,ALTAMIRA # 523,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090037,11/03/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA SANBORN HERMANOS S.A.,FARMACIA,AVE. HIDALGO # 5107,FRAMBOYANES,89330,TAMPICO,TAMAULIPAS,28038090040,30/04/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIASPORTCLINICAAMBULTAORIASS.A.DE
C.V.",FARMACIA,AV. HIDALGO NO. 6307,COL. NUEVO AEROPUERTO,89337,TAMPICO,TAMAULIPAS,28038090196,11/02/14,ESTUPEFACIENTES Y PSICOTROPICOS
TAGO PHARMA S.A. DE C.V.,FARMACIA,"GUATEMALANO.901LOCALAENTREESQ.PACHUCAY18DE
MARZO",VICENTE GUERRERO,89580,CD. MADERO,TAMAULIPAS,28009090118,22/11/18,PSICOTROPICOS
FARMACIA TIENDAS CHEDRAUI S.A. DE C.V.,FARMACIA,AVE. EMILIO PORTES GIL # 1403,TAMAULIPAS,89060,TAMPICO,TAMAULIPAS,28038090071,25/08/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA CITY CLUB,FARMACIA,AVE. EJERCITO MEXICANO # 1101,TAMPICO,89137,TAMPICO,TAMAULIPAS,28038090230,31/01/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS SORIANA S.A. DE C.V.,FARMACIA,AVE. MONTERREY NTE. NO. 700,UNIDAD NACIONAL,89510,CIUDAD MADERO,TAMAULIPAS,28009090040,22/02/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDA DE DESCUENTO ARTELI,FARMACIA,AVE. UNIVERSIDAD # 402,LOS PINOS,89139,TAMPICO,TAMAULIPAS,28038090115,27/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIATIENDADEDESCUENTOARTELIS.A.DE
C.V.",FARMACIA,AVE. HIDALGO # 4201 ESQ. C/AGUA DULCE,PETROLERA,89110,TAMPICO,TAMAULIPAS,28038090118,26/02/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIATIENDADEDESCUENTOARTELIS.A.DE
C.V.",FARMACIA,JUAREZ # 106 SUR,CENTRO,89000,TAMPICO,TAMAULIPAS,28038090119,26/02/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TU PIEL,FARMACIA,1 DE MAYO # 906 PTE.,1 DE MAYO,89450,CIUDAD MADERO,TAMAULIPAS,28009090030,03/02/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA TIENDAS CHEDRAUI S.A. DE C.V.,FARMACIA,AV. HIDALGO S/N,FRACC. LOMAS DEL NARANJAL,89349,TAMPICO,TAMAULIPAS,28038090181,06/08/12,PSICOTROPICOS
UNIDAD DE MEDICINA FAMILIAR N. 77,FARMACIA,BLVD. ADOLFO LOPEZ MATEOS S/N,,89400,CIUDAD MADERO,TAMAULIPAS,28009090011,18/09/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA UNIVERSIDAD II,FARMACIA,AV. UNIVERSIDAD N. 503 L-3 ENTRE CALLE 16 Y A,LAS AMERICAS,89420,CIUDAD MADERO,TAMAULIPAS,28009090072,08/09/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA UNIDAD DE MEDICINA FAMILIAR N. 38,FARMACIA,CANADA # 207,INFONAVIT,89366,TAMPICO,TAMAULIPAS,28038090002,25/01/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA VISATEC,FARMACIA,"ABEDULESNO.201ENTREAV.VALLESYPASEODELOS
FLAMBOYANES",COL. FLAMBOYANES,89330,TAMPICO,TAMAULIPAS,28038090240,12/01/18,PSICOTROPICOS
FARMACIA WAL MART CIUDAD MADERO,FARMACIA,ADOLFO LOPEZ MATEOS # 301,RICARDO FLORES MAGON,89460,CIUDAD MADERO,TAMAULIPAS,28009090058,24/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA WAL MART SUPERCENTER ALIJADORES,FARMACIA,HIDALGO NO. 1302,COL. ALIJADORES,89250,TAMPICO,TAMAULIPAS,28038090166,09/12/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIAWALMARTSUPERCENTERAEROPUERTO
TAMPICO",FARMACIA,AVE. HIDALGO # 6904 E/R. CHAMPAYAN Y COLIMA,MEXICO,89348,TAMPICO,TAMAULIPAS,28038090135,24/02/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA WALMART SUPERCENTER PLAYA
MIRAMAR",FARMACIA,AVENIDA RODOLFO TORRE CANTU NO. 503,AMPLIACION UNIDAD NACIONAL,89510,CIUDAD MADERO,TAMAULIPAS,28009090115,21/02/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
BOTICA INTERNACIONAL,FARMACIA,12 ABASOLO Y GONZALEZ # 1205 L-G,CENTRO,87395,MATAMOROS,TAMAULIPAS,28022100002,04/11/04,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA ARISTOS DEL GOLFO S.A. DE C.V.,FARMACIA,PRIMERA # 1105-B,CENTRO,87395,MATAMOROS,TAMAULIPAS,28022090103,16/06/06,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA AVANCE,FARMACIA,MORELOS NO. 131 ENTRE CALLE 8-A Y CALLE 7-A,CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090251,14/08/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BARIATRICA,FARMACIA,VALLE DEL MAGDALENA # 20,VALLE ALTO,87380,MATAMOROS,TAMAULIPAS,28022090074,31/03/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. CATORCE 33137,FARMACIA,CATORCE,SAN FRANCISCO,87350,MATAMOROS,TAMAULIPAS,28022090114,21/02/07,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA BENAVIDES SUC. PEDRO CARDENAS,FARMACIA,AVE. PEDRO C. # 44 /MARTE R GOMEZ Y JINIVE,SAN MIGUEL,87453,MATAMOROS,TAMAULIPAS,28022090170,23/05/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. SENDERO,FARMACIA,AVE. CONSTITUYENTES # 300,FRACC. QUINTA REAL,87345,MATAMOROS,TAMAULIPAS,28022090156,24/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 2,FARMACIA,GONZALEZ ESQ. # 513,CENTRO,87395,MATAMOROS,TAMAULIPAS,28022090173,10/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. MATAMOROS 9,FARMACIA,PUERTO RICO NO. 1,RINCON COLONIAL,87386,MATAMOROS,TAMAULIPAS,28022090144,05/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 8,FARMACIA,AVE. LAURO VILLAR  # 157,MODELO,87360,MATAMOROS,TAMAULIPAS,28022090174,10/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 7,FARMACIA,ALVARO OBREGON # 77,CENTRO,87395,MATAMOROS,TAMAULIPAS,28022090175,10/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. CONSULADO,FARMACIA,PRIMERA # 254,JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090116,17/04/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. PUERTA MEXICO,FARMACIA,AVE. ALVARO OBREGON # 65,JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090119,07/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. OCAMPO,FARMACIA,PRIMERA # 30,MODELO,87360,MATAMOROS,TAMAULIPAS,28022090120,06/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. ROBERTO GUERRA,FARMACIA,AVE. ROBERTO GUERRA # 129,ROBERTO F. GARCIA,87370,MATAMOROS,TAMAULIPAS,28022090121,06/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 1,FARMACIA,ABASOLO NO. 96,ZONA CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090123,06/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA BENAVIDES SUC. LAURO VILLAR,FARMACIA,AV. LAURO VILLAR,COL. MODELLO,87360,MATAMOROS,TAMAULIPAS,28022090124,06/06/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. PUERTO RICO,FARMACIA,"AVE.PUERTORICO#1ENTREAV.VIRGILIOGARZARUIZYAV.
PALMAS",RINCON COLONIAL,87386,MATAMOROS,TAMAULIPAS,28022090225,09/07/14,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. SAN RAFAEL,FARMACIA,ALBINO HERNANDEZ ESQUINA,SAN RAFAEL,87500,MATAMOROS,TAMAULIPAS,28022090145,05/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 4,FARMACIA,ROBERTO GUERRA CARDENAS #195,POPULAR,87370,MATAMOROS,TAMAULIPAS,28022090147,05/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATAMOROS 6,FARMACIA,DIAGONAL CUAUHTEMOC NO. 192,COL. SAN FRANCISCO,87350,MATAMOROS,TAMAULIPAS,28022090150,06/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. CAVAZOS LERMA,FARMACIA,AVE. DEL NIÐO ENTRE AIDA DE LA GARZA,ENRIQUE CARDENAS GLZ,87450,MATAMOROS,TAMAULIPAS,28022090151,06/09/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. PLAZA FIESTA,FARMACIA,AVE. PEDRO CARDENAS S/N,FRACC. VICTORIA,87390,MATAMOROS,TAMAULIPAS,28022090241,27/01/17,PSICOTROPICOS
FARMACIA BODEGA AURRERA LAURO VILLAR,FARMACIA,AVE. CANTINFLAS S/N Y AV. LAURO VILLAR,LAS BRISAS,87444,MATAMOROS,TAMAULIPAS,28022090199,08/02/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL C.E.M.Q.,FARMACIA,PRIMERA NO. 1105 ALTOS,ZONA CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090098,07/02/06,PSICOTROPICOS
"FARMACIACECENTROESTATALDESALUDMENTAL
LAS VILLAS DE LA ESPERANZA",FARMACIA,EJIDO LA GLORIA,EJIDO LA GLORIA,87560,H. MATAMOROS,TAMAULIPAS,28022090243,25/05/18,PSICOTROPICOS
FARMACIA CENTRO MEDICO INTERNACIONAL,FARMACIA,AVE. LONGORIA # 9,FRACC. VICTORIA SECCION FIESTA,87390,MATAMOROS,TAMAULIPAS,28022090078,31/05/05,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA CMAIN,FARMACIA,CANALES # 130 E/AVE. DEL MAESTRO Y NEPTUNO,ALIANZA,87410,MATAMOROS,TAMAULIPAS,28022090196,16/06/10,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DE LAS ROSAS,FARMACIA,AV. DE LAS ROSAS NO. 7 ENTRE 14 Y 16,COL. JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090207,28/09/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL POTOSI,FARMACIA,AVE. DEL MAESTRO # 66,PRAXEDIS BALBOA,87430,MATAMOROS,TAMAULIPAS,28022090025,25/06/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL RIO,FARMACIA,AVE. ALVARO OBREGON # 59 L-2/GARDENIA Y MAR.,JARDIN,87380,MATAMOROS,TAMAULIPAS,28022090178,07/07/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
DERMATIKS FARMACIA,FARMACIA,CALLE 5o. No. 714 ENTRE ESQUINA  Y VICTORIA,ZONA CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090240,26/01/17,PSICOTROPICOS
FARMACIA DIET CLINIC,FARMACIA,2DA. # 44,JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090072,21/03/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DOS FRONTERAS,FARMACIA,BLVD. MANUEL CAVAZOS LERMA # 85,JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090028,06/08/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DE LA GARZA,FARMACIA,ALVARO OBREGON # 72,JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090083,13/12/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA DEL PUEBLO,FARMACIA,4TA. Y SOLERNAU NO. 181,COL. EUZKADI,87314,MATAMOROS,TAMAULIPAS,28022090230,12/01/15,PSICOTROPICOS
FARMACIA EXPRESS,FARMACIA,SEXTA # 99 E/RAYON Y VICTORIA,CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090172,09/06/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA EXPRESS,FARMACIA,AV. ALVARO OBREGON NO. 33-D ENTRE CLAVELES Y GARDENIAS,COL. JARDIN,87330,MATAMOROS,TAMAULIPAS,28022090234,25/06/15,"PSICOTROPICOS (GRUPO II, GRUPO III)"
FARMACIA EMMANUEL,FARMACIA,FIDENCIO TREJO Y BERNARDO GTZ. DE LARA #236,POPULAR,87370,MATAMOROS,TAMAULIPAS,28022090013,08/03/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS ESPECIALIZADA ESTRELLA,FARMACIA,AVE. LAURO VILLAR # 129,MODELO,87360,MATAMOROS,TAMAULIPAS,28022090017,17/04/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA ECONOMAS,FARMACIA,CANALES NO. 1002-D ENTRE ROBERTO F. GARCIA,ZONA CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090205,16/08/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA FAMILIAR,FARMACIA,CARR. SENDERO NACIONAL NO. 301,ZONA INDUSTRIAL,87325,MATAMOROS,TAMAULIPAS,28022090226,09/07/14,PSICOTROPICOS
FARMACIA FARMA-PLUS,FARMACIA,AV. PUERTO RICO NO. 1-B,RESIDENCIAL LA PLAZA,87344,MATAMOROS,TAMAULIPAS,28022090237,18/05/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA ""FUENTES DE SALUD""",FARMACIA,AV. CHAPULTEPEC NO. 500 ENTRE RIO GUAYALEJO Y SAN PABLO,DEL VALLE,87320,MATAMOROS,TAMAULIPAS,28022090238,18/05/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GEO,FARMACIA,"AVE. CESAR SALAZAR NO. 44, ESQ. CON MEXICANLO",AMPLIACION VALLE ALTO,87380,MATAMOROS,TAMAULIPAS,28022090239,19/07/16,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,CALLE MORELOS NO. 1310 ENTRE 14 Y GUERRERO,ZONA CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090179,07/07/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,AVE. LAURO VILLAR # 8502 E/PATRIOTISMO Y SUR,CD. INDUSTRIAL,87390,MATAMOROS,TAMAULIPAS,28022090190,02/10/09,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,G. GONZALEZ # 609,CENTRO,87300,MATAMOROS,TAMAULIPAS,28022090165,14/01/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,RIO BRAVO NO. 526,COL. SAN FRANCISCO,87350,MATAMOROS,TAMAULIPAS,28022090167,31/01/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AVE. TAMAULIPAS NO. 42,COL. MODELO,87360,MATAMOROS,TAMAULIPAS,28022090183,18/12/18,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
