ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
"F. MEDALFA Hospital Genenral Dr. Miguel 
Silva",Farmacia,Isidro Huarte y Samuel Ramos s/n Interios 1-A,Centro,58020,Morelia,Michoacán,16 053 09 0512,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALFA Hospital de Especialidad 
Psiquiatrico ""Dr. José Torres Orozco""",Farmacia,Miguel Arreola Hidalgo No. 450,Poblado Ocolusen,58279,Morelia,Michoacán,16 053 09 0513,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALDA Hospital de Especialidad 
Infantil ""Eva Samano de Lopez Mateos""",Farmacia,Bosque Cuauhtemoc s/n,Centro,58000,Morelia,Michoacán,16 053 09 0514,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALFA Centro Estatal de Atención 
Oncologica",Farmacia,Gertrudis Bocanegra No. 300,Cuauhtémoc,58020,Morelia,Michoacán,16 053 09 0515,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
"Comercializadora Farmapronto S.A. de 
C.V. SUC. ""ME""",Farmacia,José María Morelos No. 926,Jesús del Monte,58350,Morelia,Michoacán,16 053 09 0516,15/05/2018,"Ps.,V.,T.,S.,A,H."
F. Santa Teresita,Farmacia,Francisco Gonzalez Bocanegra No. 18 Int. A,"Tenencia de Santa 
María de Guido",58110,Morelia,Michoacán,16 053 09 0517,15/05/2018,"E.,Ps.,V.,T.,S.,A.,H."
F. Guadalajara S.A. de C.V.,Farmacia,José maría Morelos Norte No. 5350,Los Angeles,58100,Morelia,Michoacán,16 053 09 0518,15/05/2018,"Ps.,V.,H."
"Comercializadora Farmapronto S.A. de 
C.V. ""MB""",Farmacia,"Vicente Santa María No. 72 Local 12, 13 y 14 
Mza. 47",Ventura Puente,58020,Morelia,Michoacán,16 053 09 0520,15/05/2018,"Ps.,V.,T.,S.,A.,H."
F. Salud Total,Farmacia,Av. Guadalupe Victoria No. 1751,Prados Verdes,58110,Morelia,Michoacán,16 053 09 0521,18/05/2018,"E.,Ps.,V.,T.,S.,A.,H"
"Departamento de ETS y SIDA/CAPASITS 
Morelia",Botica,Santiago Tapia No. 14,Centro,58000,Morelia,Michoacán,16 053 10 0522,22/05/2018,V
Clinica Vista Bella S.C.,Farmacia,Cumachuen No. 113,Lomas de Vista Bella,58098,Morelia,Michoacán,16 053 09 0523,04/06/2018,"E.,Ps.,V.,T.,S.,A.,H."
FEMASA de México Farmacias del Sol,Farmacia,Iretiticateme No. 754,Felix Ireta,58070,Morelia,Michoacán,16 053 09 0524,24/08/2018,"E.,Ps.,V.,T.,S.,A,H."
F. La Paz,Farmacia,"Boulevard Rafael García de León No. 1694 Int.-
A",Cinco de Diciembre,58280,Morelia,Michoacán,16 053 09 0525,24/08/2018,"E.,Ps.,V.,T.,S.,A.,H."
Farmacias del Ahorro,Farmacia,Periferico Paseo de la Republica No. 2420,"Josefa Ortiz de 
Dominguez",58088,Morelia,Michoacán,16 053 09 0526,08/11/2018,"Ps.,V.,T.,S.,A.,H."
"Comercializadora Farmapronto S.A. de 
C.V. SUC. ""MF""",Farmacia,"Av. Francisco I. Madero Oriente No. 1168 Lote 
30",Vasco de Quiroga,58230,Morelia,Michoacán,16 053 09 0527,05/03/2019,"Ps.,V.,T.,S.,A.,H."
Farmacia Guadalajara S.A. de C.V.,Farmacia,Av. Michoacán No. 726,Melchor Ocampo,58338,Morelia,Michoacán,16 053 09 0528,06/02/2019,"Ps.,V.,T.,S.,A.,H."
F. del Civil,Farmacia,Samuel Ramos No. 541-A,Centro,58000,Morelia,Michoacán,16 053 09 0529,25/03/2019,"Ps.,V.,T.,S.,H."
"Centro Materno Infantil San José, A.C.",Farmacia,Mariano Elizaga No.164,Centro,58000,Morelia,Michoacán,16 053 09 0530,22/05/2019,"E.,Ps.,V.,T.,S.,A.,H."
"Comercializadora  Farmapronto S.A. de 
C.V. Sucursal ""MG""",Farmacia,"Av. Atecuaro Lote 3,4,5 Manzana 12",Lomas del Salto,58090,Morelia,Michoacán,16 053 09 0531,24/05/2019,"Ps.,V.,T.,S.,A.,H."
Rossy,Farmacia,Av. Acueducto No. 2800,Lomas de Hidalgo,58980,Queréndaro,Michoacán,16 072 09 0168,13/12/2002,"Ps., V., T."
Sanccor,Farmacia,Av. Alvaro Obregón # 246,Centro,58980,Queréndaro,Michoacán,16 072 09 0169,13/12/2002,"Ps., V."
La Dieciocho,Farmacia,Av. 18 De Marzo # 205,Centro,58980,Queréndaro,Michoacán,16 072 09 0170,16/12/2002,"Ps., V.,T."
Morelos,Farmacia,Morelos # 345,Centro,58980,Queréndaro,Michoacán,16 072 09 0001,03/06/2005,Ps.
La Salud,Farmacia,Av. Lázaro Cardenas Sur #21 - A,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0001,27/06/2001,"Ps., V., T., S., A., H."
Súper Farmacias Mex. Suc. Sta. A. Maya,Farmacia,Venustiano Carranza # 108,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0002,08/09/2006,"Ps., V., T., S., A., H."
La Salud,Farmacia,Av. Morelos Oriente # 305 - A,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0003,21/09/2006,"Ps., V., T., S., A., H."
"Súper Farmacias Mexicana Matriz Sta. A. 
M.",Farmacia,Venustiano Carranza # 108,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0004,14/08/2007,"Ps., V., T., S., A., H."
Farmapronto,Farmacia,Vasco De Quiroga # 7,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0005,23/02/2010,"Ps., V., T., S., A., H."
Farmamedic´s,Farmacia,L. Cardenas Norte No. 58-A,Centro,58900,Santa Ana Maya,Michoacán,16 078 09 0006,11/01/2012,"Ps., V., T., S., A., H."
Farmacias Alternativas,Farmacia,Av. Adolfo López Mateos Norte # 6,Centro,58880,Tarímbaro,Michoacán,16 088 09 0001,22/02/2006,"Ps., V., T., S., A."
Súper Farmacias Mexicanas,Farmacia,Oro # 69 y 75,Centro,58880,Tarímbaro,Michoacán,16 088 09 0002,19/06/2006,"Ps., V., T., S., A., H."
"Botica Del Centro Michoacano De Salud 
Mental",Botica,Entre La Salle Morelia y Club Erandeni,Centro,58110,Tarímbaro,Michoacán,16 088 10 0003,15/12/2006,"E., Ps., T., S."
Farmacia Greman,Farmacia,Morelos # 22,B: San Marcos,58880,Tarímbaro,Michoacán,16 088 09 0004,04/05/2007,"E., PS., V., T."
Farmacia San Pedro,Farmacia,Miguel Hidalgo S/N Local 3,Sin colonia,58880,Tarímbaro,Michoacán,16 088 09 0005,04/05/2007,"E., Ps."
Farmacia Guadalajara,Farmacia,Carretera Morelia Zinapecuaro # 1,Paseos del Valle,58880,Tarímbaro,Michoacán,16 088 09 0006,12/07/2007,"Ps., V., T., S., H."
Michoacan,Farmacia,Revolucion #120 - A,El Zapote,58890,Tarímbaro,Michoacán,16 088 09 0008,02/07/2008,"Ps., T., S."
Bodega Aurrera Los Sauces,Farmacia,Caarretera Morelia Zinapécuaro Km. 2,Rinconada los Sauces,58880,Tarimbaro,Michoacán,16 088 09 0009,15/07/2008,"Ps., V., T., S., H."
Farmacia Del Sagrado Corazón,Farmacia,Convento De Tlalpujahua # 65,Misión del Valle,58880,Tarímbaro,Michoacán,16 088 09 0010,14/09/2009,"Ps., V.,  T., S., A."
Farmacia Guadalajara,Farmacia,Hacienda Duran #50,Haciendad del Sol,58880,Tarímbaro,Michoacán,16 088 09 0011,08/03/2011,"E., Ps., V., T., S."
De Dios,Farmacia,Fray Juan De  Utrera # 182,Centro,58962,Zinapécuaro,Michoacán,16 110 09 0162,15/12/2004,"Ps., V., T., S., A., H."
Villa,Farmacia,Hidalgo # 41 - A,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0001,04/07/2000,"Ps., V., T., S., H."
San Pedro,Farmacia,20 De Noviembre # 13 - C,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0002,08/08/2000,"Ps., V., T."
Ideal,Farmacia,20 De Noviembre # 18,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0003,11/12/2000,"Ps., V."
San José De Zinapecuaro,Farmacia,Allende # 8-D,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0004,11/12/200,"Ps., V., T."
La Esperanza,Farmacia,Ramon López Lara # 67 - B,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0005,19/06/2009,"Ps., V., T."
Farmacia Azteca,Farmacia,Av. Morelos # 172,Centro,58863,Zinapécuaro,Michoacán,16 110 09 0007,30/05/2006,Ps.
La Esperanza II,Farmacia,Hidalgo # 31 - E,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0008,11/12/2015,"Ps.,V.,T."
Farmacia Del Mercado,Farmacia,Allende # 5,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0009,14/12/2006,Ps.
La Providencia,Farmacia,Av. Morelos # 12,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0010,06/03/2007,"E., Ps."
Farmacia Maru De Descuento,Farmacia,Ramon López Lara # 6 - D,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0011,03/04/2007,"Ps., V."
Sagrado Corazón,Farmacia,16 De Septiembre # 205,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0012,03/04/2007,"E., Ps., V. T., S., A., H."
San José,Farmacia,Allende # 8 - D,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0013,30/06/2008,"Ps., V., T., A."
Farma Ahorro,Farmacia,Morelos # 58,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0014,19/06/2009,"Ps., V., T., S., A., H."
Nuestra Señora De La Concepción,Farmacia,Felix Ireta # 12,Centro,58930,Zinapécuaro,Michoacán,16 110 09 0015,20/11/2009,"Ps., V., T."
"Inst. Mexicano del Seguro Social U.M.F. 
No. 70",Botica,Carretera Zinapécuaro-Huajúmbaro C540,Del Seguro,58950,Zinapécuaro,Michoacán,16 110 09 0017,21/12/2010,"E., Ps., V., T., S., A."
Farmacia mi bodega Aurrera Zinapécuaro,Farmacia,"Libramiento Leopoldo Izincunegui tercero # 
339",Bella Vista,58936,Zinapécuaro,Michoacán,16 110 09 0017,11/01/2012,"Ps., V., T., S., A., H."
Farmapronto,Farmacia,Ramón López Lara No. 61,Centro,58935,Zinapécuaro,Michoacán,16 110 09 0018,18/02/2013,"E., Ps., V., T., S., A., H."
"San Francisco de Asis, S.A. de C.V.",Farmacia,Av. Morelos No. 21-B,Centro,58943,Zinapécuaro,Michoacán,16 110 09 0020,23/02/2017,"Ps.,V.,T.,S.,A.,H."
Santa Maria,Farmacia,Juarez # 186 - A,Centro,59940,Cotija,Michoacán,16 019 10 0001,23/06/2000,"Ps., V., T., S., A., H."
Super Farmacia Madero,Farmacia,"Madero # 48, S/C",Centro,59940,Cotija,Michoacán,16 019 09 0002,30/11/2000,"PS., V., T., S., A."
Dulce Maria,Farmacia,"Colon # 147, S/C",Centro,59940,Cotija,Michoacán,16 019 09 0003,28/01/2002,"Ps., V., T., S., A."
San Juan Diego,Farmacia,Mario Moreno # 160,Alameda,59940,Cotija,Michoacán,16 019 09 0004,06/10/2003,"Ps., V., T., S., A., H."
Mi Farmacia Super  La Magnifica,Farmacia,Juarez # 80,Centro,59940,Cotija,Michoacán,16 019 09 0016,12/11/2010,"Ps., V., T., S., A., H."
Centro De Salud Michoacan,Farmacia,Ignacio Aldama # 185,Centro,59940,Cotija,Michoacán,16 019 09 0006,16/01/2004,"Ps., V., T."
Farmacia Sahuayo,Farmacia,Amado Nervo # 117 B,Centro,59940,Cotija,Michoacán,16 019 09 0007,31/01/2018,"Ps., V., T., S., A., H."
Providencia,Farmacia,Juarez # 99,Centro,59940,Cotija,Michoacán,16 019 09 0008,27/06/2005,"Ps., V., T., S., A., H."
La Guadalupana,Farmacia,Hidalgo # 72,Centro,59940,Cotija,Michoacán,16 019 09 0009,27/06/2005,"Ps., V., T., S., A., H."
De Descuento,Farmacia,Madero # 85,Centro,59940,Cotija,Michoacán,16 019 09 0010,27/06/2005,"Ps., V., T."
Farmacia Flores,Farmacia,Hidalgo # 14,Centro,59940,Cotija,Michoacán,16 019 09 0011,19/09/2006,"Ps., V., T., S., A., H."
Juarez,Farmacia,Juarez # 99,Centro,59940,Cotija,Michoacán,16 019 09 0012,24/01/2007,"Ps., V., S, H."
Farmacia Del Sagrado Corazon,Farmacia,Amado Nervo # 9,Centro,59940,Cotija,Michoacán,16 019 09 0013,04/04/2008,"Ps., V., T., S., A., H."
"I.M.S.S. Unidad de Medicina Familiar No. 
13",Botica,Monseñor Rafael Guizar y Valencia No. 281,Acapulquito,59940,Cotija,Michoacán,16 019 10 0014,24/10/2016,"Ps., V., T., S., A., H."
Farmacia y Abarrotes San José,Farmacia,Juárez # 174,Centro,59940,Cotija,Michoacán,16 019 09 0015,12/01/2011,"Ps., V., T., H."
Farmacia San Angel,Farmacia,Juárez No. 399,Centro,59940,Cotija,Michoacán,16 019 09 0018,30/06/2015,"Ps.,V.,T.,S."
Farmacia Guadalajara S.A. de C.V.,Farmacia,Madero No. 506,Centro,59940,Cotija,Michoacán,16 019 09 0019,21/12/2015,"Ps.,V.,T.,S."
"Urgencias Medico Quirurgicas de Cotija 
S.A. de C.V.",Farmacia,Juarez No. 162,Centro,59940,Cotija,Michoacán,16 019 09 0020,21/09/2016,"Ps.,V.,T.,S.,H"
Mi Farmacia Super La Magnifica,Farmacia,Juarez Ote. No. 73,Centro,59940,Cotija,Michoacán,16 019 09 0021,09/04/2018,"Ps.,V.,T.,S.,A., H."
Farmacia Genericos del Mercado,Farmacia,Portal Guerrero No. 27,Centro,59940,Cotija,Michoacán,16 019 09 0022,08/11/2018,"Ps.,V.,T.,S.,H."
Del Perpetuo Socorro,Farmacia,Allende # 14 - 1,Centro,59580,Chavinda,Michoacán,16 023 09 0001,24/10/2000,"Ps., V., T., S., A"
La Original,Farmacia,Portal Juarez # 7,Centro,59580,Chavinda,Michoacán,16 023 09 0002,21/07/2005,"Ps., V., T., S., A., H."
San Juan,Botica,Nacional # 179,Centro,59780,Chilchota,Michoacán,16 025 10 0001,04/10/2000,"Ps., V., T., S., A."
Sagrado Corazón De Jesús,Farmacia,Caretera Nacional # 50 - A,Centro,59790,Chilchota,Michoacán,16 025 09 0002,06/10/2003,"Ps., V., T., S., A., H."
Santiago Apóstol,Farmacia,H. Galeana # 80,Centro,59780,Chilchota,Michoacán,16 025 09 0003,07/04/2005,"Ps., V., T., S., A., H."
Grupo Farmacia Zamora S.A. de C.V.,Farmacia,Nacional No. 30,Centro,59760,Chilchota,Michoacán,16 025 09 0004,11/08/2017,"Ps.,V.,T.,S.,H"
F. Divina Providencia,Farmacia,Aquiles Serdán No. 8,Centro,59780,Chilchota,Michoacán,16 025 09 0005,15/05/2018,"Ps.,V.,T.,S.,A.,H."
F. Santa María,Farmacia,Aquiles Serdan No. 6-A,Centro,59780,Chilchota,Michoacán,16 025 09 0006,28/08/2018,"Ps.,V.,T.,S.,A.,H."
La Original,Farmacia,Madero # 61 - A,Centro,59730,Ecuandureo,Michoacán,16 030 09 0002,12/03/2013,"Ps., V., T., S., A., H."
Valpuesta,Farmacia,Madero # 16 - A,Centro,59730,Ecuandureo,Michoacán,16 030 09 0003,03/04/2003,"Ps., V., T., S., A., H."
Farmacia DIF Ecuandureo,Farmacia,Zaragoza No. 58-A,Centro,59730,Ecuandureo,Michoacán,16 030 09 0004,12/11/2012,"Ps., V., T.,  S., H."
Divino Niño,Farmacia,Villaseñor No. 6-A,Centro,59730,Ecuandureo,Michoacán,16 030 09 0006,27/06/2017,"Ps.,T.,S.,A.,H."
Botica,Farmacia,Allende No. 9,Centro,59730,Ecuandureo,Michoacán,16 030 10 0007,25/08/2017,"Ps.,V.,T.,S.,A.,H."
Santa Margarita,Farmacia,Matamoros # 26,Centro,59280,Ixtlán,Michoacán,16 042 09 0001,06/10/2008,"Ps., V., T., S., H."
Farmacia De Dios,Farmacia,Morelos y Union,Centro,59280,Ixtlán,Michoacán,16 042 09 0003,11/11/2008,"Ps., V., T., S., A., H."
Del Campesino,Farmacia,Union # 57,Centro,59280,Ixtlán,Michoacán,16 042 09 0004,26/03/2001,"Ps., V., T., S., A."
Sagrado Corazón De Jesús,Farmacia,Juarez y Union # 1,Centro,59280,Ixtlán,Michoacán,16 042 09 0005,26/03/2001,"Ps., V., T., S., A."
San Martin,Farmacia,Morelos # 4,Centro,59280,Ixtlán,Michoacán,16 042 09 0006,01/03/2007,"Ps., V., T., S., A., H."
San Rafael Arcángel,Farmacia,Matamoros No. 39 B,Centro,59280,Ixtlán,Michoacán,16 042 09 0007,14/01/2013,Ps.
Farmacia San Javier,Farmacia,Telegrafos No. 83,Centro,59280,Ixtlán,Michoacán,16 042 09 0008,24/10/2016,Ps.
Guadalajara,Farmacia,Madero # 110,Centro,44200,Jacona,Michoacán,16 043 09 0001,07/06/2000,"Ps., V., T., S., A., H."
La Original,Farmacia,Madero # 119,Centro,59730,Jacona,Michoacán,16 043 09 0002,23/06/2000,"Ps., V., T., T., S., A., H."
Colonial,Farmacia,Francisco I. Madero Sur # 977-A,Lomas de San Pablo,59890,Jacona,Michoacán,16 043 09 0003,19/07/2000,"Ps., V., T., S., A."
Maternidad San Agustin De Jacona,Farmacia,Abasolo # 343 Norte,Centro,59800,Jacona,Michoacán,16 043 09 0004,06/10/2000,"Ps., V., T., S., A."
Botica Unidad Medicina Familiar # 21,Botica,20 De Noviembre S/N,Ejidal,59820,Jacona,Michoacán,16 043 10 0005,24/11/2003,Ps.
Grupo Farmacia Zamora,Farmacia,Amado Nervo # 4,Centro,59620,Jacona,Michoacán,16 043 09 0006,23/04/2001,"Ps., V., T., S., A."
Farmacias Abc De Mexico,Farmacia,Madero # 137,Centro,59800,Jacona,Michoacán,16 043 09 0007,21/02//2008,"PS., V., T., S., A."
Farmacias Michoacanas,Farmacia,Av. Constitucion # 85 - B,Centro,59800,Jacona,Michoacán,16 043 09 0008,19/01/2010,"Ps., V., S., A., H."
Farmacias del Ahorro,Farmacia,"Jose Maria Morelos # 2, Loc. 5 A 7",Centro,59800,Jacona,Michoacán,16 043 09 0009,28/09/2010,"E., Ps., V., T., S., A., H."
Farmacia Sams Zamora,Farmacia,"Calzada Zamora - Jacona Francisco I. Madero 
No. 850",El Ensueño,59813,Jacona,Michoacán,16 043 09 0010,08/11/2018,"Ps., V., T., S., A., H."
Farmacia San Pedro,Farmacia,Av. Madero No. 320-C,San Pedro,59850,Jacona,Michoacán,16 043 09 0011,13/01/2016,"Ps.,V.,T.,S.,H."
Farmacia Pasión por Servir,Farmacia,Aquiles Serdán No. 84,Centro,59800,Jacona,Michoacán,16 043 09  0012,21/09/2016,"Ps.,V.,T.,S.,H."
Farmacia Guadalajara S.A. de C.V.,Farmacia,AV. Francisco I. Madero No. 960,Linda Vista,59840,Jacona,Michoacán,16 043 09 0013,16/06/2017,"Ps.,V.,T.,S.,H."
Grupo Farmacia Zamora S.A. de C.V.,Farmacia,Madero No. 840 A,San Pablo,59853,Jacona,Michoacán,16 043 09 0014,06/02/2019,"Ps.,V.,T.,S.,A.,H."
Especialidades Medicas,Farmacia,Av. Lazaro Cardenas # 67,Centro,59510,Jiquilpan,Michoacán,16 045 09 0077,18/04/2005,"Ps., T., S."
Del Espiritu Santo,Farmacia,Justo Sierra # 105 - C,Centro,59510,Jiquilpan,Michoacán,16 045 09 0001,13/01/2003,"Ps., V., T., S., A., H."
Farmacia Del Angel,Farmacia,Av. Lazaro Cardenas # 103,Centro,59510,Jiquilpan,Michoacán,16 045 09 0002,12/07/2007,"Ps., V., T., S., A., H."
San Francisco,Farmacia,5 De Mayo # 19 - C,Centro,59510,Jiquilpan,Michoacán,16 045 09 0004,08/11/2000,"Ps., V., T., S., A."
Del Centro,Farmacia,Portal Matamoros # 78,Centro,59510,Jiquilpan,Michoacán,16 045 09 0005,08/11/2000,"Ps., V., T., S., A."
San Luis,Farmacia,Prof. Fajardo # 106 Esq. Vicente Guerrero,Centro,59510,Jiquilpan,Michoacán,16 045 09 0006,14/12/2000,"Ps., V., T., S., A."
D'liz,Farmacia,General Arteaga # 88,Centro,59510,Jiquilpan,Michoacán,16 045 09 0007,25/01/2002,"Ps., V., T., S., A."
San Rafael,Farmacia,Carret. Nal. Jiquilpan - Sahuayo S/N,Fracc. Arboledas,59510,Jiquilpan,Michoacán,16 045 09 0008,29/01/2002,"Ps., V., T., A., H."
Med Farm,Farmacia,Lazaro Cardenas # 22 - B,Centro,59510,Jiquilpan,Michoacán,16 045 09 0009,29/01/2002,"Ps., V., T., S., A."
Flores,Farmacia,General Arteaga # 88,Centro,59510,Jiquilpan,Michoacán,16 045 09 0010,02/10/2002,"Ps., V., T., S., A., H."
Unidad De Medicina Familiar # 6,Botica,18 De Marzo # 92 Oriente,Centro,59510,Jiquilpan,Michoacán,16 045 09 0012,12/02/2003,"Ps., V., T., S., A.,H."
Ulises,Farmacia,Cinco De Mayo # 11,Centro,59510,Jiquilpan,Michoacán,16 045 09 0013,13/05/2003,"Ps., V., T., S., A., H."
D'liz,Farmacia,Av. Lázaro Cárdenas # 69,Centro,59510,Jiquilpan,Michoacán,16 045 09 0014,06/10/2003,"Ps., V., T., S., A., H."
Jacqueline,Farmacia,Av. Lázaro Cárdenas # 29,Centro,59510,Jiquilpan,Michoacán,16 045 09 0014,08/09/2004,"Ps., V., T., S., A., H."
Columba III,Farmacia,Av. Lázaro Cárdenas # 8,Centro,59510,Jiquilpan,Michoacán,16 045 09 0015,23/08/2004,"Ps., V., T., S., A., H."
Jiquilpan,Farmacia,Lázaro Cárdenas Sur # 1,Centro,59510,Jiquilpan,Michoacán,16 045 09 0016,21/09/2004,"Ps., V., T., S., A., H."
Farmacia Karen,Farmacia,Av. Lázaro Cárdenas # 85,Centro,59510,Jiquilpan,Michoacán,16 045 09 0017,04/12/2007,"Ps., V., T., S., A., H."
Farmacia Centro Médico,Farmacia,Octaviana Sánchez # 16-a Poniente,Centro,59570,Jiquilpan,Michoacán,16 045 09 0018,15/04/2011,"E., Ps., V., T., S.,A., H."
Farmacia Genericos,Farmacia,Diego José Abad # 140,Centro,59510,Jiquilpan,Michoacán,16 045 09 0019,10/10/2011,"Ps., V., T., S., H."
Unidad de Medicina Familiar Jiquilpan,Botica,Adolfo Ruiz Cortinez s/n,La Selva,59551,Jiquilpan,Michoacán,16 045 10 0020,27/10/2011,"Ps., V., T., S., H."
Farmacia de la Esperanza,Farmacia,Av. Lázaro Cárdenas s/n local 1,Centro,59510,Jiquilpan,Michoacán,16 045 09 0021,19/04/2012,"Ps., V., S., H."
Farmacia Soriana Express Jiquilpan,Farmacia,Av. Las Palmas No. 255,Guadalupe,59510,Jiquilpan,Michoacán,16 045 09 0022,19/07/2012,"Ps., V., T., A., H."
F. Flores de Sahuayo,Farmacia,General Arteaga No. 84-A,Centro,59510,Jiquilpan,Michoacán,16 045 09 0024,05/04/2019,"Ps.,V.,T.,S.,A.,H."
Farmacia DISUR del UNEME Jiquilpan,Farmacia,Dr. Miguel Silva No. 150,Buenos Aires,59510,Jiquilpan,Michoacán,16 045 09 0025,17/08/2017,"E.,Ps., V., T., S.,A., H."
"Farmacias El Fenix del Centro Hospital 
Grl. Lázaro Cárdenas del Rio",Farmacia,Dr. Miguel Silva No. 150,Buenos Aires,59510,Jiquilpan,Michoacán,16 045 09 0027,23/02/2018,"E.,Ps.,V.,T.,S.,A,.H."
"F. MEDALFA del UNEME Jiquilpan 
Hospital ""General Lázaro Cárdenas del 
Rio""",Farmacia,Dr. Miguel Silva No. 150,Buenos Aires,59510,Jiquilpan,Michoacán,16 045 09 0028,16/03/2018,"E.,Ps.,V.,T.,S.,A.,H."
F. Guadalajara S.A. de C.V.,Farmacia,Av. 5 de Mayo Oriente No. 42,Centro,59510,Jiquilpan,Michoacán,16 045 09 0029,15/05/2018,"Ps.,V.,T.,S.,A.,H."
Farmacia Columba,Farmacia,Arteaga No. 88,Centro,59510,Jiquilpan,Michoacán,16 045 09 0030,27/02/2019,"Ps.,V.,T.,S.,H."
F. del Hogar,Farmacia,18 de Marzo No. 10 Int. 10 B,Centro,59510,Jiquilpan,Michoacán,16 045 09 0031,23/05/2019,"Ps.,V.,T.,S.,A.,H."
Super Farmacia El Portal,Farmacia,Morelos # 28,Centro,59500,"Marcos 
Castellanos",Michoacán,16 051 09 0001,19/05/2008,"Ps., V., T., S., A., H."
Zally,Farmacia,Portal Hidalgo # 3,Centro,59500,"Marcos 
Castellanos",Michoacán,16 051 09 0002,04/03/2004,"Ps., V., T., S., A., H."
Del Perpetuo Socorro,Farmacia,Independencia # 38,Centro,59500,"Marcos 
Castellanos",Michoacán,16 051 09 0003,18/06/2004,"Ps., V., T., S., A., H."
Farmacia Del Centro,Farmacia,Portal Morelos # 88,Centro,59500,"Marcos 
Castellanos",Michoacán,16 051 09 0004,13/09/2007,Ps.
Farmacia De Descuento San Andrés,Farmacia,Reforma # 16 - A,Centro,59500,"Marcos 
Castellanos",Michoacán,16 051 09 0005,07/07/2009,"Ps., V., T., S., H."
Los Arcos,Farmacia,Obreros # 263,San Gregorio,59190,Pajacuarán,Michoacán,16 062 09 0001,23/06/2000,"Ps., V., T., S., A."
Del Pueblo,Farmacia,Portal Ocampo # 20,Centro,59180,Pajacuarán,Michoacán,16 062 09 0002,30/06/2000,"Ps., V., T., H."
Farmacia López,Farmacia,Jose Mora Del Rio # 168,Centro,59180,Pajacuarán,Michoacán,16 062 09 0003,22/09/2006,"Ps., V., T., S."
De Fatima,Farmacia,Santos Degollado # 1,Centro,58760,Purépero,Michoacán,16 070 09 0003,05/05/2016,"Ps., V., T., S., A., H."
La Mejor,Farmacia,Plaza Principal # 1,Centro,58760,Purépero,Michoacán,16 070 09 0004,06/10/2000,"Ps., V., T., S., A."
Popular,Farmacia,Portal Guerrero # 77,Centro,58760,Purépero,Michoacán,16 070 09 0005,06/10/2000,"Ps., V., T., S., A."
Santa Maria,Farmacia,Degollado # 20,Centro,58760,Purépero,Michoacán,16 070 09 0006,05/06/2003,"Ps., V., T., S., A., H."
Del Pueblo,Farmacia,Portal Hidalgo # 8,Centro,58780,Purépero,Michoacán,16 070 09 0007,02/03/2001,"Ps., V., T., S., A."
Jesus,Farmacia,Alvaro Obregón # 64,Centro,58760,Purépero,Michoacán,16 070 09 0009,26/09/2002,"Ps., V., T., S., A., H."
Cristal,Farmacia,5 De Mayo # 31 - A,Centro,58760,Purépero,Michoacán,16 070 09 0011,17/12/2002,"Ps., V., T., S., A., H."
Faby,Farmacia,5 De Mayo # 130,Centro,58760,Purépero,Michoacán,16 070 09 0012,03/04/2003,"Ps., V., T., S., A., H."
5 De Mayo,Farmacia,5 De Mayo # 163 - A,Centro,58760,Purépero,Michoacán,16 070 09 0013,03/04/2003,"Ps., V., T., S., A., H."
Super Farmacia Del Niño Doctor,Farmacia,Guerrero # 99,Centro,58760,Purépero,Michoacán,16 070 09 0014,04/02/2004,"Ps., V., T., S., A."
La Nueva Santa Anita,Farmacia,Francisco I. Madero # 163,Centro,58760,Purépero,Michoacán,16 070 09 0015,10/06/2010,"Ps., V., T., S., H."
F. Mi Bodega Aurrerá Purepero de Echaiz,Farmacia,Lázaro Cárdenas No. 231,Centro,58760,Purépero,Michoacán,16 070 09 0016,23/08/2012,"Ps., V., T., S., A., H."
