ESTABLECIMIENTO,GIRO,CALLE,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  
II, III), VACUNAS, TOXOIDES, SUEROS 
DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS, 
(I,II,III,V,T,S,A,H) METADONA, 
OXYCONTIN)"
SANTO DOMINGO,FARMACIA,"GUERRERO NO. 13,",CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014090015,19-dic-11,"PSICOTRÓPICOS GRUPO II, III, 
HEMODERIVADOS"
"ANEXA AL SANATORIO DE 
ESPECIALIDADES LA 
SOLEDAD",FARMACIA,AGUASCALIENTES N.49,CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014090016,16-nov-18,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
ANEXA A UMF,FARMACIA,RIVERA DEL RIO S/N,CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014100004,13-ago-04,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ANEXA A UMF ISSSTE,BOTICA,RIVERA DEL RIO S/N,CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014100004,13-ago-04,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ANEXA A CLINICA MEDICA 
QUIRURGICA SAN JOSE""",BOTICA,DISTRITO FEDERAL N.9 Z.,CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,11014100005,28-mar-05,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"HOSPITAL GENERAL 
DOLORES HIDALGO 
<<CUNA DE LA 
INDEPENDENCIA 
NACIONAL>>",FARMACIA,"CARR.DOLORES HIDALGO-
XOCONOSTLE NO. 750","SAN ANTONIO DEL 
PRETORIO",C.P. 37805,DOLORES HIDALGO,GUANAJUATO,11014090018,03-may-19,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III, 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"""ANEXA A U.M.F. N.12",BOTICA,"AV. NORTE S/N ENTRE 
SONORA Y TAMAULIPAS",CENTRO,C.P. 37800,DOLORES HIDALGO,GUANAJUATO,1101410003,01-jul-03,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ISSEG 41,FARMACIA,AV. JUAREZ N.129-A,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090001,17-sep-03,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ANEXA AL IMSS UMF 50""",BOTICA,"CANTARRANAS N.29,",ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090001,06-dic-03,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"NORIA ALTA S/N RED MEDICA 
DE LA UAG",COL. NORIA ALTA,C.P. 36050,GUANAJUATO,GUANAJUATO,11015090002,17-sep-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,PONCIANO AGULAR N. 15,"PONCIANO AGULAR N. 
15",C.P. 36000,GUANAJUATO,GUANAJUATO,11015090003,17-sep-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"AV. JUAREZ N. 129-A,",ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090045,17-nov-17,"PSICOTRÓPICOS GRUPO II, III 
,VACUNAS, TOXOIDES, SUEROS DE 
ORIGEN ANIMA Y ANTITOXINAS DE 
ORIGEN ANIMAL"
"""EL FENIX""",FARMACIA,AV. JUAREZ N. 104-106,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090005,27-mar-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"PASEO DE LA PRESA N. 44-C Y 
D",PASEO DE LA PRESA.,C.P. 36094,GUANAJUATO,GUANAJUATO,11015090005,21-sep-04,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ISSEG 89""",FARMACIA,"CARR GTO-JUVENTINO ROSAS 
KM 7.5 LOCAL 3","CARR GTO-JUVENTINO 
ROSAS KM 7.5 LOCAL 3",C.P. 36262,GUANAJUATO,GUANAJUATO,11015090007,22-ene-08,"PSICOTRÓPICOS GRUPO II, III  vacunas 
toxoides sueros de origen animal"
"""MINERA DE GTO""",FARMACIA,PASEO DE LA PRESA N. 85,PASEO DE LA PRESA,C.P. 36094,GUANAJUATO,GUANAJUATO,11015090010,25-jun-02,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III  toxoides"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,CARR. GTO- SILAO KM.10.5,COL. SANTA TERESA,C.P. 36250,GUANAJUATO,GUANAJUATO,11015090010,24-abr-01,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""TEO""",FARMACIA,"ALHONDIGA N.72-ALTOS SAN 
JAVIER",ALHÓNDIGA,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090011,07-ago-02,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ISSEG No. 100,FARMACIA,PASEO DE LA PRESA No. 136-B,PASEO DE LA PRESA,C.P. 36094,GUANAJUATO,GUANAJUATO,11015090050,29-ago-18,"PSICOTRÓPICOS GRUPO II, III , vacunas 
toxoides suero, antitoxinas de origen 
animal y hemoderivados"
ISSEG No. 101,FARMACIA,"ANTIGUA CARR A GTO-SILAO 
NO. 3 A LA F 2DA CUARTEL",MARFIL,C.P. 36250,GUANAJUATO,GUANAJUATO,11015090012,09-mar-09,"PSICOTRÓPICOS GRUPO II, III , vacunas 
toxoides sueros y antitoxinas 
hemoderivados"
ISSEG NO 102,FARMACIA,GUANAJUATO-SILAO km. 55,"GUANAJUATO-SILAO km. 
55",C.P. 36250,GUANAJUATO,GUANAJUATO,11015090013,18-feb-03,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""COMERCIAL MEXICANA""",FARMACIA,AV. JUAREZ N.131,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090014,09-jul-03,"PSICOTRÓPICOS GRUPO II, III toxoides 
sueros antitoxinas hemoderivados"
ISSEG No. 104,FARMACIA,SOPEÑA No. 16-A,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090049,23-ago-18,"PSICOTRÓPICOS GRUPO II, III"
"""ISSEG N. 11""",FARMACIA,"SOSTENES ROCHA NO.32 
LOCAL NO. 2",ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090018,05-jul-07,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ANEXA A IMSS N.46""",BOTICA,HOYOS COLORADOS S/N,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,1101509002,13-dic-00,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""ISSEGN. 10""",FARMACIA,"VIALIDAD POZUELOS 
CIRCUITO INTERIOR 1 LOCAL A",COL. LOMAS POZUELOS,C.P. 36080,GUANAJUATO,GUANAJUATO,11015090020,12-sep-06,"PSICOTRÓPICOS GRUPO II, III  vacunas 
toxoides sueros"
"FARMACIA FRESKO 
POZUELOS",FARMACIA,"BLVD. POZUELOS SIN 
NUMERO",COL. POZUELOS,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090035,30-oct-15,"PSICOTRÓPICOS GRUPO II, III 
VACUNAS, TOXOIDES, SUEROS FDE 
ORIGEN ANIMAL , ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS"
"""SANTA  FE""",FARMACIA,PLAZA DE LA PAZ N.52,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090023,07-ago-07,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ISSEG No. 163,FARMACIA,NORIA ALTA S/N,COL. NORIA ALTA,C.P. 36050,GUANAJUATO,GUANAJUATO,11015090025,30-ene-08,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"ANEXA AL HOSPITAL 
GENERAL GUANAJUATO. 
DR. VALENTIN GRACIA",FARMACIA,"CARR. CUOTA GTO- SILAO KM. 
6.5","CARR. CUOTA GTO- 
SILAO KM. 6.5",C.P. 36251,GUANAJUATO,GUANAJUATO,11015090053,08-ene-19,"ESTUPEFACIENTES FRACCIÓN I , 
PSICOTRÓPICOS FRACCIONES II Y III , 
VACUNAS, TOXOIDES, ANTITOXINAS DE 
ORIGEN ANIMAL Y HEMODERIVADOS."
"FARMACIA ANEXA A 
TIENDA ISSSTE NO. 227",FARMACIA,CARR. GTO-SILAO Km. 5 .5,COL. MARFIL,C.P. 36250,GUANAJUATO,GUANAJUATO,11015090027,31-ago-09,"ESTUPEFACIENTES GRUPO 
IPSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"SORIANA SUPER SUC. 
SAN JAVIER",FARMACIA,"CARRETERA PANORAMICA 
CARRIZO SAN JAVIER S/N",COL. SAN JAVIER,C.P. 36020,GUANAJUATO,GUANAJUATO,11015090028,17-dic-10,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
FARMACIAS DEL AHORRO,FARMACIA,"AV. JUAREZ NO. 226,",ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015090040,19-dic-16,"PSICOTRÓPICOS GRUPO II, III , 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS DE ORIGEN ANIMAL Y 
HEMODERIVADOS"
"HOSPITAL GENERAL DE 
SUBZONA NO. 10",FARMACIA,CANTADOR N. 17,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015100001,08-ene-02,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
ANEXA A CLINICA ISSSTE,FARMACIA,CERRO DEL HORMIGUERO S/N,"CERRO DEL 
HORMIGUERO S/N",C.P. 36080,GUANAJUATO,GUANAJUATO,11015100001,28-nov-01,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"CLINICA PLAZA DE LA PAZ 
S.A DE C.V.",BOTICA,PLAZA DE LA PAZ N. 20,ZONA CENTRO,C.P. 36000,GUANAJUATO,GUANAJUATO,11015100002,09-ene-03,"ESTUPEFACIENTES GRUPO I 
PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"ANEXA A CENTRO DE 
READAPTACION SOCIAL 
DE GUANAJUATO",FARMACIA,"CARRETERA A PUENTECILLAS 
KM. 10","CARRETERA A 
PUENTECILLAS KM. 10",C.P. 36262,GUANAJUATO,GUANAJUATO,11015100003,12-dic-03,"PSICOTRÓPICOS GRUPO II, III 
PRODUCTOS BIOLÓGICOS"
"""BOTICA DEL SANATORIO""",BOTICA,SEPTIMO CONGRESO No. 35,CENTRO,36990,HUANIMARO,GUANAJUATO,11016090001,07-feb-01,"II y III, TOXOIDES, SUEROS Y VACUNAS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,PLAZA PRINCIPAL No. 2,CENTRO,36990,HUANIMARO,GUANAJUATO,11016090001,04-sep-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""ISSEG No. 57""",FARMACIA,JESUS MA. MONTAÑO S/N,CENTRO,36990,HUANIMARO,GUANAJUATO,11016090002,22-nov-01,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""SAN JUAN BAUTISTA""",FARMACIA,PLAZA PRINCIPAL No.15,CENTRO,36990,HUANIMARO,GUANAJUATO,11016090002,08-mar-01,"II y III, TOXOIDES Y ANTITOXINAS"
"ANEXA A HOSPITAL 
NUESTRA SEÑORA DE 
GUADALUPE""",BOTICA,BENITO JUÁREZ No. 37,CENTRO,36990,HUANIMARO,GUANAJUATO,11016100001,04-dic-02,II y III
"""ISSEG No. 12""",FARMACIA,ALVARO OBREGON No. 274-B,CENTRO,36580,IRAPUATO,GUANAJUATO,11017090001,18-sep-01,II y III
"""GENERICOS, SIMILARES Y 
EQUIVALENTES""",FARMACIA,MANUEL DOBLADO No. 66,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090002,27-oct-00,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,AV. DE LA REFORMA No. 286,FRACC. GÁMEZ,36650,IRAPUATO,GUANAJUATO,11017090003,20-sep-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,OAXACA No.1473-F,MIGUEL HIDALGO,36550,IRAPUATO,GUANAJUATO,11017090003,06-dic-00,"II y III, VACUNAS Y TOXOIDES"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"AV. EJERCITO NACIONAL No. 
1185,",LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090004,21-sep-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""SUPER FARMACIA DEL 
NIÑO DOCTOR""",FARMACIA,MD. SOSTENES ROCHA L-1,SANTA ANITA,36500,IRAPUATO,GUANAJUATO,11017090005,21-sep-01,II y III
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,JARDIN HIDALGO No. 7-A,"ALDAMA,",36530,IRAPUATO,GUANAJUATO,11017090005,25-jun-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"ANEXA A HOSPITAL DE 
CARDIOLOGÍA LOS 
ÁNGELES",FARMACIA,"BLVD. ESCUELA MEDICO 
MILITAR No. 236",CENTRO,36660,IRAPUATO,GUANAJUATO,11017090006,09-abr-10,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ISSEG No. 13""",FARMACIA,"BLVD. DIAZ ORDAZ Y J.M. 
COVARRUBIAS S/N",LOS EUCALIPTOS,36500,IRAPUATO,GUANAJUATO,11017090008,24-sep-01,"II y III, VACUANAS, TOXOIDES Y 
SUEROS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"LEANDRO VALLE ESQ. 20 DE 
NOVIEMBRE  No. 332",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090009,09-feb-01,"I, II y III, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,ALLENDE No. 57,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090010,09-feb-01,"I, II y III, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ISSEG No. 60""",FARMACIA,INSURGENTES No. 26 PTE,CENTRO,36540,IRAPUATO,GUANAJUATO,11017090011,14-nov-01,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,COLON No. 307,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090011,11-feb-01,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,AV. DE LA REFORMA No. 242,FRACC. GÁMEZ,36660,IRAPUATO,GUANAJUATO,11017090012,08-mar-01,"I, II y III, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DE IRAPUATO""",FARMACIA,ALLENDE No. 64-1,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090014,07-may-09,"II y III, VACUNAS, TOXOIDES, SUEROS,  
ANTITOXINAS Y HEMODERIVADOS"
"""HOSPITALIZACIÓN TORRE 
MÉDICA""",FARMACIA,"AV. DE LA REFORMA No. 56 - 
309",FRACC. GÁMEZ,36650,IRAPUATO,GUANAJUATO,11017090015,25-oct-11,"I, II y III, VACUNAS Y TOXOIDES"
"""SANTA MARIA""",FARMACIA,MOCTEZUMA No. 662,CENTRO,36510,IRAPUATO,GUANAJUATO,11017090016,04-sep-02,"II y III, TOXOIDES Y SUEROS"
"""ANEXA A U.M.F. No. 45""",BOTICA,"PRESA DE LAS ANGOSTURA Y 
OVIACHIC S/N",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090018,27-mar-01,"II y III, VACUNAS, TOXOIDES Y 
ANTITOXINAS"
"""SAM'S CLUB""",FARMACIA,"AV. PASEO GUANAJUATO No. 
1101",SAN GABRIEL,36640,IRAPUATO,GUANAJUATO,11017090018,07-ago-09,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""BODEGA AURRERA""",FARMACIA,BLVD. DIAZ ORDAZ No. 1333-H,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090018,20-sep-02,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ANEXA AL U.M.F. No. 44""",FARMACIA,PROL. AV. DEL TRABAJO S/N,INDEPENDENCIA,36559,IRAPUATO,GUANAJUATO,11017090019,27-mar-01,"II y III, VACUNAS, TOXOIDES Y 
ANTITOXINAS"
"""FARMACIAS ABC DE 
MEXICO""",FARMACIA,AV. DE LA REFORMA No. 200,FRACC. GAMEZ,36650,IRAPUATO,GUANAJUATO,11017090021,20-feb-08,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""FARMACIA No. 2""",BOTICA,AV. DE LA REFORMA No. 307,"FRACCIONAMIENTO 
GAMEZ",36690,IRAPUATO,GUANAJUATO,11017090021,27-mar-01,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""BOTICA DE LA CRUZ II""",DROGUERÍA,SANTOS DEGOLLADO No. 232,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090022,28-mar-01,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,GUANAJUATO No. 1326-A-B,SOLIDARIDAD,36570,IRAPUATO,GUANAJUATO,11017090023,05-jun-03,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""ANEXA AL CENTRO 
INTEGRAL DE ATENCIONA 
JOVENES""",BOTICA,DIF No. 1,FRACC. COLON,36500,IRAPUATO,GUANAJUATO,11017090023,28-mar-01,"II y III, TOXOIDES"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,INDEPENDENCIA No. 1653,MIGUEL HIDALGO,36530,IRAPUATO,GUANAJUATO,11017090024,10-jun-03,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"CALZADA INSURGENTES No. 
743",EL CANTADOR,36570,IRAPUATO,GUANAJUATO,1101709-0025,01-jul-03,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""FARMACIA COMERCIAL 
CITY FRESKO S DE RL DE 
CV",FARMACIA,BLVD. DEL BOSQUE No. 1,LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090130,24-may-16,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN JAVIER""",FARMACIA,JOSE MA. OLVERA No. 835-A,INSURGENTES,36580,IRAPUATO,GUANAJUATO,11017090029,28-mar-01,"II y III, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""CARVIL""",FARMACIA,MARIANO J. GARCIA No. 47,BENITO JUAREZ,36550,IRAPUATO,GUANAJUATO,11017090029,04-nov-03,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""GUADALAJARA""",FARMACIA,"JUAN JOSE TORRES LANDA 
LOCALES 1 Y 2",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090030,28-feb-01,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN GABRIEL""",FARMACIA,2DA. SAN GABRIEL No. 2915,2DA. SAN GABRIEL,36500,IRAPUATO,GUANAJUATO,11017090031,28-mar-01,"II y III, VACUNAS, TOXOIDES, SUEROS"
"ANEXA CENTRO 
UROGINECOLOGICO 
SIGLO XXI",FARMACIA,5 DE FEBRERO No. 256,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090031,25-mar-04,II y III
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,CASIMIRO LICEAGA No. 326,ALVARO OBREGÓN,36530,IRAPUATO,GUANAJUATO,11017090032,30-mar-04,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""BENAVIDES""",FARMACIA,"LEANDRO VALLE ESQ. COLON 
No. 245",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090034,22-feb-07,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ISSEG No. 126""",FARMACIA,"AVENIDA DE LA REFORMA No. 
1239,",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090035,19-may-04,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"FARMACIA ANEXA A 
HOSPITAL GÉNOVA DE 
IRAPUATO S.A. DE C.V.",FARMACIA,GENOVA No. 200,"RESIDENCIA 
CAMPESTRE",36500,IRAPUATO,GUANAJUATO,11017090148,27-feb-17,"ESTUPEFACIENTES FRACCIÓN I, 
PSICOTRÓPICOS FRACCIÓNII y III, 
VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"PORTAL CARRILLO PUERTO 
No. 1-A",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090037,05-ago-04,
"""BRIONES""",FARMACIA,ALVARO OBREGON No. 253-A,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090037,04-abr-01,"II y III, TOXOIDES, SUEROS Y 
ANTITOXINAS"
ANEXA A TIENDA SORIANA,FARMACIA,AV. ARBOLEDAS No. 1200,FRACC. SAN MIGUELITO,36510,IRAPUATO,GUANAJUATO,11017090038,14-abr-01,"II y III, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""ISSEG No. 127""",FARMACIA,"BLVD. VILLAS DE IRAPUATO 
No. 1596 LOCAL 9","PLAZA COMERCIAL LAS 
PLAZAS",36500,IRAPUATO,GUANAJUATO,11017090038,25-ago-04,II y III
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"BLVD. GUSTAVO DÍAZ ORDAZ 
No. 3195-B",LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090039,17-sep-04,II y III
"""GUADALAJARA""",FARMACIA,AV. SAN PEDRO No. 504,FRACC. GUERRERO,36520,IRAPUATO,GUANAJUATO,11017090040,16-dic-08,"II y III, SUEROS, TOXOIDES, 
ANTITOXINAS Y HEMODERIVADOS"
""" ANEXA A TIENDA DE 
AUTOSERVICIO SUPER 
CENTER IRAPUATO""",FARMACIA,PASEO DE IRAPUATO No. 1209,PRIMERA SAN GABRIEL,36500,IRAPUATO,GUANAJUATO,11017090041,13-ene-05,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""ISSEG No. 129""",FARMACIA,AV. DE LA REFORMA No. 352-A,FRACC. GÁMEZ,36650,IRAPUATO,GUANAJUATO,11017090042,03-sep-08,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,LAZARO CARDENAS No. 936-B,LAS PALOMAS,36690,IRAPUATO,GUANAJUATO,11017090043,17-feb-05,"II y III, VACUANAS, TOXOIDES Y 
SUEROS"
"""ISSEG No. 77""",FARMACIA,JUSTO SIERRA No. 6,CENTRO,36560,IRAPUATO,GUANAJUATO,11017090044,05-jul-05,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,BLVD. SAN ROQUE No. 919,FRACC. SAN ROQUE,36580,IRAPUATO,GUANAJUATO,11017090045,30-abr-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""ISSEG No. 114""",FARMACIA,"AV. INDEPENDENCIA No. 2172-
A",SAN MIGUELITO,36657,IRAPUATO,GUANAJUATO,11017090045,22-jul-11,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""FARMACOS 
ESPECIALIZADOS""",FARMACIA,BLVD. DIAZ ORDAZ No. 3557-A,LAS REYNAS,36660,IRAPUATO,GUANAJUATO,11017090046,13-dic-05,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"AV. SAN PEDRO Y AV. GPE. 
VICTORIA S/N",SAN PEDRO,36530,IRAPUATO,GUANAJUATO,11017090046,03-may-01,II y III
"""SORIANA""",FARMACIA,"BLVD. GUSTAVO DIAZ ORDAZ 
No. 1016",CENTRO,36500,IRAPUATO,GUANAJUATO,11017090047,21-dic-05,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,SOSTENES ROCHA No. 740-A,"BARRIO DE SAN 
CAYETANO",36530,IRAPUATO,GUANAJUATO,11017090047,03-may-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""ISSEG No. 116""",FARMACIA,"MARIANO ABASOLO No. 1806 
LOCAL 4-C",GANADERA,36500,IRAPUATO,GUANAJUATO,11017090048,24-nov-08,"II y III, VACUNAS,TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,MARIANO ABASOLO No. 2300,SAN ANTONIO,36550,IRAPUATO,GUANAJUATO,11017090048,03-may-01,II y III
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,"BLVD. DIAZ ORDAZ Y OBRERO 
MUNDIAL No. 597",,36500,IRAPUATO,GUANAJUATO,11017090049,03-may-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""GUADALAJARA""",FARMACIA,AV. CASIMIRO LICEAGA No. 470,ALVARO OBREGON,36530,IRAPUATO,GUANAJUATO,11017090050,27-mar-06,"I, II y III, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""SAN FRANCISCO DE 
ASIS""",FARMACIA,MANUEL DOBLADO No. 6-B,CENTRO,36500,IRAPUATO,GUANAJUATO,11017090050,08-may-01,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
